Opponent,Location,Team Score,Opponent Score,Goal Differential
Crystal Palace,Home,0,1,-1
Nottingham Forest,Away,1,2,-1
Manchester City,Home,1,2,-1
Everton,Home,2,2,0
Tottenham,Away,1,2,-1
Newcastle United,Home,0,8,-8
West Ham,Away,0,2,-2
Fulham,Away,1,3,-2
Manchester United,Home,1,2,-1
Arsenal,Away,0,5,-5
Wolverhampton,Home,2,1,1
Brighton,Away,1,1,0
Bournemouth,Home,1,3,-2
Burnley,Away,0,5,-5
Liverpool,Home,0,2,-2
Brentford,Home,1,0,1
Chelsea,Away,0,2,-2
Aston Villa,Away,1,1,0
Luton,Home,2,3,-1
Manchester City,Away,0,2,-2
West Ham,Home,2,2,0
Crystal Palace,Away,2,3,-1
Aston Villa,Home,0,5,-5
Luton,Away,3,1,2
Brighton,Home,0,5,-5
Wolverhampton,Away,0,1,-1
Arsenal,Home,0,6,-6
Bournemouth,Away,2,2,0
Fulham,Home,3,3,0
Liverpool,Away,1,3,-2
Chelsea,Home,2,2,0
Brentford,Away,0,2,-2
Burnley,Home,1,4,-3
Manchester United,Away,2,4,-2
Newcastle United,Away,1,5,-4
Nottingham Forest,Home,1,3,-2
Everton,Away,0,1,-1
Tottenham,Home,0,3,-3
