Opponent,Location,Team Score,Opponent Score,Goal Differential
Newcastle United,Away,0,2,-2
West Ham,Home,1,0,1
Everton,Away,1,1,0
Tottenham,Home,0,2,-2
Manchester City,Away,0,6,-6
Bournemouth,Home,2,3,-1
Fulham,Home,2,3,-1
Leeds United,Away,0,4,-4
Aston Villa,Home,1,1,0
Wolverhampton,Away,0,1,-1
Brighton,Away,0,0,0
Liverpool,Home,1,0,1
Arsenal,Away,0,5,-5
Brentford,Home,2,2,0
Crystal Palace,Home,1,0,1
Manchester United,Away,0,3,-3
Chelsea,Home,1,1,0
Southampton,Away,1,0,1
Leeds United,Home,2,0,2
Bournemouth,Away,1,1,0
Leicester City,Home,1,0,1
Fulham,Away,0,2,-2
Manchester City,Home,1,1,0
West Ham,Away,0,4,-4
Everton,Home,2,2,0
Tottenham,Away,1,3,-2
Newcastle United,Home,1,2,-1
Wolverhampton,Home,1,1,0
Leicester City,Away,1,2,-1
Aston Villa,Away,0,2,-2
Manchester United,Home,0,2,-2
Liverpool,Away,2,3,-1
Brighton,Home,3,1,2
Brentford,Away,1,2,-1
Southampton,Home,4,3,1
Chelsea,Away,2,2,0
Arsenal,Home,1,0,1
Crystal Palace,Away,1,1,0
