Opponent,Location,Team Score,Opponent Score,Goal Differential
Aston Villa,Home,1.0,2.0,-1.0
Crystal Palace,Away,2.0,0.0,2.0
Manchester City,Home,1.0,3.0,-2.0
Fulham,Away,1.0,1.0,0.0
Chelsea,Home,0.0,3.0,-3.0
Brentford,Away,1.0,1.0,0.0
Ipswich Town,Home,4.0,1.0,3.0
Tottenham,Away,1.0,4.0,-3.0
Manchester United,Home,2.0,1.0,1.0
Nottingham Forest,Away,0.0,3.0,-3.0
Everton,Home,0.0,0.0,0.0
Newcastle United,Away,,,
Arsenal,Home,,,
Leicester City,Away,,,
Wolverhampton,Home,,,
Bournemouth,Away,,,
Brighton,Home,,,
Southampton,Away,,,
Liverpool,Home,,,
Manchester City,Away,,,
Fulham,Home,,,
Crystal Palace,Home,,,
Aston Villa,Away,,,
Chelsea,Away,,,
Brentford,Home,,,
Arsenal,Away,,,
Leicester City,Home,,,
Newcastle United,Home,,,
Everton,Away,,,
Wolverhampton,Away,,,
Bournemouth,Home,,,
Liverpool,Away,,,
Southampton,Home,,,
Brighton,Away,,,
Tottenham,Home,,,
Manchester United,Away,,,
Nottingham Forest,Home,,,
Ipswich Town,Away,,,
