player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title
Erling Haaland,7,630,10,6.0582634806633,0,0.7252968773245811,35,4,1,0,F,Manchester City
Bryan Mbeumo,7,630,6,2.8736132569611073,0,2.2478057965636253,16,14,2,0,F M,Brentford
Cole Palmer,7,606,6,3.2841596640646458,5,4.842091785743833,24,23,3,0,M,Chelsea
Luis Díaz,7,466,5,3.459167916327715,1,1.3779878756031394,15,10,0,0,M S,Liverpool
Danny Welbeck,7,616,4,3.71456491202116,1,0.5168764814734459,19,8,1,0,F,Brighton
Mohamed Salah,7,610,4,4.183415651321411,4,2.24532413482666,22,14,0,0,M,Liverpool
Chris Wood,7,583,4,3.425256371498108,0,0.651040056720376,12,2,1,0,F,Nottingham Forest
Kai Havertz,7,630,4,5.68936438113451,1,0.9180230423808098,25,5,0,0,F,Arsenal
Ollie Watkins,7,556,4,5.3783760741353035,2,1.2299459353089333,16,7,0,0,F,Aston Villa
Liam Delap,7,559,4,2.2103191763162613,0,0.2535342238843441,11,5,2,0,F,Ipswich
Nicolas Jackson,7,555,4,5.272956937551498,3,1.0870961993932724,19,7,2,0,F,Chelsea
Noni Madueke,6,493,4,2.886466428637505,0,0.546117477118969,22,6,0,0,M,Chelsea
Jhon Durán,7,154,4,2.5164694413542747,0,0.0569250509142875,10,1,1,0,S,Aston Villa
Mateo Kovacic,7,536,3,0.5276163890957832,0,0.2777852490544319,12,8,2,0,M S,Manchester City
Raúl Jiménez,7,338,3,2.9450791627168655,1,1.6314907297492027,15,6,0,0,F S,Fulham
Yoane Wissa,4,297,3,3.0045496821403503,1,0.3643055185675621,9,4,1,0,F,Brentford
Harvey Barnes,7,389,3,1.6856889352202415,1,1.384017899632454,14,6,0,0,F S,Newcastle United
Dwight McNeil,7,624,3,0.7842300273478031,2,2.93228940712288,12,22,1,0,M,Everton
Matheus Cunha,7,559,3,2.1099280901253223,0,1.130626492202282,21,10,1,0,M S,Wolverhampton Wanderers
Brennan Johnson,7,524,3,3.291470915079117,0,0.5358202457427979,21,6,1,0,F S,Tottenham
Antoine Semenyo,7,613,3,3.0244927257299423,1,2.03547865152359,31,7,2,0,F M,Bournemouth
Son Heung-Min,5,450,2,0.9137054327875376,2,1.8791195675730703,7,14,0,0,F,Tottenham
Jamie Vardy,7,588,2,1.727541595697403,0,0.2467178404331207,5,3,2,0,F,Leicester
Dominic Solanke,5,450,2,4.465284913778305,1,0.5228581428527832,13,3,0,0,F,Tottenham
Jarrod Bowen,7,614,2,1.37489452958107,2,2.511239245533943,15,19,0,0,F M,West Ham
Dominic Calvert-Lewin,7,604,2,2.7887333668768406,1,0.431667298078537,15,1,1,0,F,Everton
Gabriel,7,630,2,2.4920845590531826,0,0.3396926820278168,11,2,1,0,D,Arsenal
Jean-Philippe Mateta,7,465,2,1.8242800142616031,0,0.5090273935347795,7,7,0,0,F S,Crystal Palace
Rayan Ait Nouri,7,582,2,1.6048302464187143,2,0.9951588958501816,9,9,3,0,D M,Wolverhampton Wanderers
James Maddison,7,591,2,2.099719777703285,2,2.3459843397140503,15,13,2,0,M,Tottenham
Diogo Jota,6,478,2,3.803277149796486,2,0.8164496086537838,14,3,1,0,F,Liverpool
Georginio Rutter,6,315,2,1.4375724643468857,0,0.4861112833023071,16,4,0,0,F M S,Brighton
Emile Smith-Rowe,7,485,2,1.5576376169919968,1,0.8844844400882721,12,6,0,0,M S,Fulham
Bukayo Saka,7,585,2,2.7129223346710205,7,6.073503442108631,25,27,1,0,F M,Arsenal
Lucas Paquetá,7,537,2,1.9698817674070597,0,0.4962936155498028,11,8,1,0,M S,West Ham
Stephy Mavididi,7,386,2,1.4435222744941711,0,0.4317829199135303,6,4,0,0,M S,Leicester
Leandro Trossard,7,343,2,1.6491164043545723,0,1.1365916579961777,10,10,0,1,F S,Arsenal
Gabriel Martinelli,7,450,2,1.7728253230452538,2,1.9617911204695704,8,11,0,0,F M S,Arsenal
James Justin,7,630,2,0.4327024258673191,1,0.4810571633279323,6,3,1,0,D,Leicester
Anthony Gordon,7,608,2,2.7966997176408768,0,1.3331596218049526,9,15,0,0,F,Newcastle United
João Pedro,4,281,2,0.957430237904191,0,0.5293770525604486,6,3,1,0,M S,Brighton
Tomas Soucek,7,459,2,2.5912737660109997,0,0.4661024510860443,16,9,2,0,M S,West Ham
Amadou Onana,6,447,2,1.3526869267225266,0,0.0470345839858055,6,1,2,0,M,Aston Villa
Jørgen Strand Larsen,7,584,2,1.4044700972735882,1,1.1669492181390524,9,3,0,0,F,Wolverhampton Wanderers
Facundo Buonanotte,6,379,2,1.2212695255875587,2,1.2551833353936672,8,6,2,0,F M S,Leicester
