name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,last_season_clean_sheet_probability,last_season_total_saves,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty,recent_minutes_3g,recent_minutes_5g,adjusted_fixture_difficulty,clean_sheets_3g_avg,clean_sheets_5g_avg,clean_sheets_ema,clean_sheets_momentum_3g,clean_sheets_momentum_5g,saves_3g_avg,saves_5g_avg,saves_ema,saves_momentum_3g,saves_momentum_5g,goals_conceded_3g_avg,goals_conceded_5g_avg,goals_conceded_ema,goals_conceded_momentum_3g,goals_conceded_momentum_5g,expected_goals_conceded_3g_avg,expected_goals_conceded_5g_avg,expected_goals_conceded_ema,expected_goals_conceded_momentum_3g,expected_goals_conceded_momentum_5g,bonus_3g_avg,bonus_5g_avg,bonus_ema,bonus_momentum_3g,bonus_momentum_5g,saves_clean_sheets_3g,expected_goals_conceded_saves_3g,saves_clean_sheets_5g,expected_goals_conceded_saves_5g,saves_per_90
David Raya Martin,Arsenal,Wolverhampton,2024-08-17,True,90.0,0.0,0.47,3.0,0.0,8.0,1.0,1.0,0.0,1.0,2143198.0,8.0,0.0,90.0,1.0,3.0,0.5,46.0,22.51,10.0,Arsenal,False,Aston Villa,,0.11,90.0,90.0,,1.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47,0.47,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.41,3.0,1.41,3.0
David Raya Martin,Arsenal,Aston Villa,2024-08-24,False,90.0,0.0,1.28,3.0,0.0,10.0,3.0,1.0,0.0,1.0,2377063.0,9.0,0.0,90.0,1.0,3.0,0.5,46.0,22.51,2.0,Arsenal,True,Brighton,,-0.42,180.0,180.0,,1.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.74,0.405,0.405,2.0,2.0,1.6666666666666667,1.0,1.0,3.0,2.625,3.0,2.625,3.0
David Raya Martin,Arsenal,Brighton,2024-08-31,True,90.0,1.0,1.83,3.0,0.0,2.0,0.0,0.0,0.0,1.0,2865351.0,6.67,0.0,90.0,0.67,3.0,0.5,46.0,22.51,9.0,Arsenal,False,Tottenham,,-0.3,270.0,270.0,,0.6666666666666666,0.6666666666666666,0.6666666666666667,-0.6666666666666666,-0.6666666666666666,3.0,3.0,3.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,1.1933333333333334,1.1933333333333334,1.1033333333333335,0.6366666666666667,0.6366666666666667,1.3333333333333333,1.3333333333333333,1.1111111111111114,-1.3333333333333333,-1.3333333333333333,2.0,3.58,2.0,3.58,3.0
David Raya Martin,Arsenal,Tottenham,2024-09-15,False,90.0,0.0,0.74,5.0,0.0,9.0,2.0,1.0,0.0,1.0,2823889.0,7.25,0.0,90.0,0.75,3.5,0.5,46.0,22.51,4.0,Arsenal,False,Manchester City,,-1.51,270.0,360.0,,0.6666666666666666,0.75,0.7777777777777779,0.33333333333333337,0.25,3.6666666666666665,3.5,3.6666666666666665,1.3333333333333335,1.5,0.3333333333333333,0.25,0.22222222222222224,-0.3333333333333333,-0.25,1.2833333333333334,1.08,0.9822222222222223,-0.5433333333333334,-0.3400000000000001,1.6666666666666667,1.5,1.4074074074074077,0.33333333333333326,0.5,2.444444444444444,4.705555555555556,2.625,3.7800000000000002,3.5
David Raya Martin,Arsenal,Manchester City,2024-09-22,False,90.0,2.0,2.16,9.0,0.0,4.0,0.0,0.0,0.0,1.0,2945014.0,6.6,0.0,90.0,0.6,4.6,0.5,46.0,22.51,1.0,Arsenal,True,Leicester City,,0.47,270.0,450.0,,0.3333333333333333,0.6,0.5185185185185187,-0.3333333333333333,-0.6,5.666666666666667,4.6,5.444444444444445,3.333333333333333,4.4,1.0,0.6,0.8148148148148148,1.0,1.4,1.5766666666666669,1.296,1.374814814814815,0.5833333333333333,0.8640000000000001,0.6666666666666666,1.2,0.9382716049382719,-0.6666666666666666,-1.2,1.8888888888888888,8.934444444444447,2.76,5.9616,4.6
David Raya Martin,Arsenal,Leicester City,2024-09-28,True,90.0,2.0,0.32,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3172537.0,5.2,0.0,90.0,0.5,4.0,0.5,46.0,22.51,2.0,Arsenal,True,Southampton,,0.24,270.0,450.0,,0.3333333333333333,0.4,0.34567901234567916,-0.3333333333333333,-0.4,5.0,4.2,3.9629629629629637,-4.0,-3.2,1.3333333333333333,1.0,1.2098765432098766,0.6666666666666667,1.0,1.0733333333333335,1.2660000000000002,1.02320987654321,-0.7533333333333334,-0.9460000000000002,0.6666666666666666,1.0,0.6255144032921813,-0.6666666666666666,-1.0,1.6666666666666665,5.366666666666667,1.6800000000000002,5.3172000000000015,4.0
David Raya Martin,Arsenal,Southampton,2024-10-05,True,90.0,1.0,0.65,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3344605.0,3.6,0.0,90.0,0.43,3.57,0.5,46.0,22.51,1.0,Arsenal,False,Bournemouth,,-0.04,270.0,450.0,,0.0,0.2,0.23045267489711946,0.0,-0.2,3.6666666666666665,3.8,2.9753086419753094,-2.6666666666666665,-2.8,1.6666666666666667,1.2,1.139917695473251,-0.6666666666666667,-0.19999999999999996,1.0433333333333337,1.1400000000000001,0.8988065843621401,-0.39333333333333365,-0.4900000000000001,0.0,0.4,0.4170096021947876,0.0,-0.4,0.0,3.8255555555555567,0.76,4.332,3.5714285714285716
David Raya Martin,Arsenal,Bournemouth,2024-10-19,False,90.0,2.0,1.82,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3429779.0,3.4,0.0,90.0,0.38,3.38,0.5,46.0,22.51,0.0,Arsenal,True,Liverpool,,0.24,270.0,450.0,,0.0,0.2,0.15363511659807966,0.0,-0.2,1.3333333333333333,3.6,2.6502057613168732,0.6666666666666667,-1.6,1.6666666666666667,1.4,1.4266117969821674,0.33333333333333326,0.6000000000000001,0.9300000000000002,1.1380000000000001,1.2058710562414268,0.8899999999999999,0.6819999999999999,0.0,0.4,0.2780064014631918,0.0,-0.4,0.0,1.2400000000000002,0.7200000000000001,4.096800000000001,3.375
David Raya Martin,Arsenal,Liverpool,2024-10-27,True,90.0,2.0,0.85,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3259267.0,1.6,0.0,90.0,0.33,3.22,0.5,46.0,22.51,3.0,Arsenal,False,Newcastle United,,-0.44,270.0,450.0,,0.0,0.0,0.10242341106538645,0.0,0.0,1.6666666666666667,3.0,2.433470507544582,0.33333333333333326,-1.0,1.6666666666666667,1.8,1.6177411979881118,0.33333333333333326,0.19999999999999996,1.106666666666667,1.16,1.087247370827618,-0.25666666666666693,-0.30999999999999994,0.0,0.0,0.1853376009754612,0.0,0.0,0.0,1.844444444444445,0.0,3.4799999999999995,3.2222222222222223
David Raya Martin,Arsenal,Newcastle United,2024-11-02,False,90.0,1.0,0.53,3.0,0.0,3.0,0.0,0.0,0.0,1.0,3200996.0,1.4,0.0,90.0,0.3,3.2,0.5,46.0,22.51,2.0,Arsenal,False,Chelsea,,-0.9,270.0,450.0,,0.0,0.0,0.06828227404359098,0.0,0.0,2.3333333333333335,1.8,2.6223136716963884,0.6666666666666665,1.2,1.6666666666666667,1.6,1.411827465325408,-0.6666666666666667,-0.6000000000000001,1.0666666666666669,0.834,0.9014982472184121,-0.5366666666666668,-0.30399999999999994,0.0,0.0,0.12355840065030749,0.0,0.0,0.0,2.4888888888888894,0.0,1.5011999999999999,3.2
David Raya Martin,Arsenal,Chelsea,2024-11-10,False,90.0,1.0,1.28,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3095312.0,1.6,0.0,90.0,0.27,3.09,0.5,46.0,22.51,,Arsenal,True,Nottingham Forest,,1.2,270.0,450.0,,0.0,0.0,0.04552151602906066,0.0,0.0,2.3333333333333335,2.0,2.4148757811309256,-0.3333333333333335,0.0,1.3333333333333333,1.4,1.274551643550272,-0.33333333333333326,-0.3999999999999999,0.8866666666666668,1.0260000000000002,1.0276654981456081,0.3933333333333332,0.2539999999999998,0.0,0.0,0.082372267100205,0.0,0.0,0.0,2.0688888888888894,0.0,2.0520000000000005,3.090909090909091
David Raya Martin,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,Arsenal,False,West Ham,,-0.34,180.0,360.0,,0.0,0.0,0.04552151602906066,,,1.6666666666666667,1.8,2.4148757811309256,,,0.6666666666666666,1.2,1.274551643550272,,,0.6033333333333335,0.8960000000000001,1.0276654981456081,,,0.0,0.0,0.082372267100205,,,0.0,1.005555555555556,0.0,1.6128000000000002,0.0
