name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded
Konstantinos Tsimikas,Liverpool,Norwich,2021-08-14,False,DL,90,0,0.1594687104225158,0,0.0,6,2,0,4.9,0,1,0
Konstantinos Tsimikas,Liverpool,Arsenal,2021-11-20,True,DL,90,0,0.0,0,0.2404377907514572,6,0,2,5.2,0,1,0
Konstantinos Tsimikas,Liverpool,Tottenham,2021-12-19,False,Sub,8,0,0.0,0,0.0,0,0,0,0.3,0,0,0
Konstantinos Tsimikas,Liverpool,Burnley,2021-08-21,True,DL,90,0,0.0,1,0.3992407023906708,11,0,4,9.9,2,1,0
Konstantinos Tsimikas,Liverpool,Leeds United,2021-12-28,False,DL,90,0,0.0,0,0.1825388520956039,2,0,3,7.4,0,0,1
Konstantinos Tsimikas,Liverpool,Chelsea,2022-01-02,False,DL,90,0,0.0238855201750993,0,0.0503135286271572,1,1,1,3.8,0,0,2
Konstantinos Tsimikas,Liverpool,Norwich,2022-02-19,True,DL,90,0,0.4297989010810852,1,0.5534740686416626,5,3,2,9.8,0,0,1
Konstantinos Tsimikas,Liverpool,Chelsea,2021-08-28,True,Sub,4,0,0.0,0,0.0992757827043533,1,0,1,1.8,0,0,0
Konstantinos Tsimikas,Liverpool,Tottenham,2022-05-07,True,Sub,26,0,0.0,0,0.0315708070993423,0,0,1,3.2,0,0,0
Konstantinos Tsimikas,Liverpool,Aston Villa,2022-05-10,False,DL,90,0,0.0,0,0.0873290300369262,2,0,3,6.9,0,0,1
Konstantinos Tsimikas,Liverpool,Southampton,2022-05-17,False,DL,90,0,0.0357831418514251,0,0.2779336869716644,2,1,4,10.1,0,0,1
Konstantinos Tsimikas,Liverpool,Crystal Palace,2021-09-18,True,DL,90,0,0.021637363359332,0,0.2088907808065414,5,1,4,11.9,0,1,0
Konstantinos Tsimikas,Liverpool,Watford,2021-10-16,False,Sub,26,0,0.0,0,0.0,1,0,0,0.6,0,0,0
