name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded
Dynel Simeu,Southampton,West Ham,False,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Tottenham,True,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Brentford,True,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Wolverhampton,False,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Manchester City,True,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Tottenham,False,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Manchester United,False,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Everton,True,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Norwich,True,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Aston Villa,False,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Newcastle United,True,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Watford,True,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Leicester City,False,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Chelsea,True,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Arsenal,True,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Burnley,False,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Brighton,False,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Crystal Palace,True,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Brentford,False,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Liverpool,True,0,0,0.0,0,0,0
Dynel Simeu,Southampton,Leeds United,False,0,0,0.0,0,0,0
