name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded
Ethan Pinnock,Brentford,Arsenal,2021-08-13,True,DC,90,0,0.0,1,0.0521447248756885,11,0,1,4.8,2,1,0
Ethan Pinnock,Brentford,Burnley,2021-10-30,False,DC,90,0,0.0,0,0.0,1,0,0,1.7,0,0,3
Ethan Pinnock,Brentford,Norwich,2021-11-06,True,DC,90,0,0.1415291428565979,0,0.5963968634605408,1,3,1,9.4,0,0,2
Ethan Pinnock,Brentford,Newcastle United,2021-11-20,False,DC,90,0,0.0,0,0.0,1,0,0,3.7,0,0,3
Ethan Pinnock,Brentford,Everton,2021-11-28,True,DC,90,0,0.0674361735582351,0,0.0,6,1,0,3.7,0,1,0
Ethan Pinnock,Brentford,Tottenham,2021-12-02,False,DC,90,0,0.0,0,0.0,1,0,0,1.7,0,0,2
Ethan Pinnock,Brentford,Leicester City,2021-12-05,False,DC,90,0,0.0,0,0.0751934647560119,1,0,1,3.2,0,0,2
Ethan Pinnock,Brentford,Brighton,2021-12-26,False,DC,90,0,0.5067782402038574,0,0.0,1,2,0,6.8,0,0,2
Ethan Pinnock,Brentford,Crystal Palace,2021-08-21,False,DC,90,0,0.0095262303948402,0,0.0,6,1,0,1.3,0,1,0
Ethan Pinnock,Brentford,Manchester City,2021-12-29,True,DC,90,0,0.0,0,0.1249788850545883,2,0,2,5.2,0,0,1
Ethan Pinnock,Brentford,Aston Villa,2022-01-02,True,DC,90,0,0.0,0,0.0,2,0,0,2.2,0,0,1
Ethan Pinnock,Brentford,Southampton,2022-01-11,False,DC,67,0,0.0,0,0.0,1,0,0,1.7,0,0,3
Ethan Pinnock,Brentford,Liverpool,2022-01-16,False,DC,90,0,0.0,0,0.0,1,0,0,1.9,0,0,3
Ethan Pinnock,Brentford,Manchester United,2022-01-19,True,DC,90,0,0.1065774410963058,0,0.0,1,3,0,11.3,0,0,3
Ethan Pinnock,Brentford,Wolverhampton,2022-01-22,True,DC,90,0,0.1064698621630668,0,0.0,1,2,0,4.6,0,0,2
Ethan Pinnock,Brentford,Manchester City,2022-02-09,False,DC,90,0,0.0,0,0.0,1,0,0,1.3,0,0,2
Ethan Pinnock,Brentford,Crystal Palace,2022-02-12,True,DC,90,0,0.0,0,0.0,7,0,0,2.5,1,1,0
Ethan Pinnock,Brentford,Arsenal,2022-02-19,False,DC,90,0,0.0,0,0.0,1,0,0,3.0,0,0,2
Ethan Pinnock,Brentford,Newcastle United,2022-02-26,True,DC,90,0,0.0,0,0.0,1,0,0,2.4,0,0,2
Ethan Pinnock,Brentford,Norwich,2022-03-05,False,DC,90,0,0.0,0,0.0417023859918117,2,0,1,4.1,0,0,1
Ethan Pinnock,Brentford,Burnley,2022-03-12,True,DC,90,0,0.0,0,0.0,8,0,0,2.9,2,1,0
Ethan Pinnock,Brentford,Aston Villa,2021-08-28,False,DC,90,0,0.0184314623475074,0,0.0,2,1,0,2.5,0,0,1
Ethan Pinnock,Brentford,Leeds United,2022-03-20,False,DC,90,0,0.0,0,0.0,0,0,0,0.9,0,0,2
Ethan Pinnock,Brentford,Chelsea,2022-04-02,False,DC,90,0,0.0,0,0.0,2,0,0,1.5,0,0,1
Ethan Pinnock,Brentford,West Ham,2022-04-10,True,DC,90,0,0.0,0,0.0,6,0,0,1.5,0,1,0
Ethan Pinnock,Brentford,Watford,2022-04-16,False,DC,20,0,0.0,0,0.0,1,0,0,0.2,0,0,0
Ethan Pinnock,Brentford,Brighton,2021-09-11,True,DC,90,0,0.0,0,0.0,2,0,0,1.6,0,0,1
Ethan Pinnock,Brentford,Wolverhampton,2021-09-18,False,DC,90,0,0.0,0,0.0,8,0,0,1.5,2,1,0
Ethan Pinnock,Brentford,Liverpool,2021-09-25,True,DC,42,1,0.7205510139465332,0,0.0,7,1,0,8.2,0,0,1
Ethan Pinnock,Brentford,West Ham,2021-10-03,False,DC,90,0,0.0123328575864434,0,0.0776836052536964,2,1,1,5.4,0,0,1
Ethan Pinnock,Brentford,Chelsea,2021-10-16,True,DC,90,0,0.0568762309849262,0,0.6769585013389587,2,1,3,7.5,0,0,1
Ethan Pinnock,Brentford,Leeds United,2021-10-24,True,DC,45,0,0.0,0,0.0794453546404838,1,0,2,3.3,0,0,1
