name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded
Thiago Emiliano da Silva,Chelsea,Crystal Palace,True,0,0,0.0,0,0,0
Thiago Emiliano da Silva,Chelsea,Newcastle United,False,90,6,2.9,0,1,0
Thiago Emiliano da Silva,Chelsea,Burnley,True,90,2,6.5,0,0,1
Thiago Emiliano da Silva,Chelsea,Leeds United,False,90,6,2.1,0,1,0
Thiago Emiliano da Silva,Chelsea,Manchester United,True,90,8,4.0,3,0,1
Thiago Emiliano da Silva,Chelsea,Watford,False,45,1,0.9,0,0,0
Thiago Emiliano da Silva,Chelsea,West Ham,False,90,8,7.3,1,0,3
Thiago Emiliano da Silva,Chelsea,Leicester City,True,90,1,3.3,0,0,2
Thiago Emiliano da Silva,Chelsea,Everton,True,90,2,6.2,0,0,1
Thiago Emiliano da Silva,Chelsea,Wolverhampton,False,90,8,3.8,2,1,0
Thiago Emiliano da Silva,Chelsea,Aston Villa,False,51,1,2.5,0,0,1
Thiago Emiliano da Silva,Chelsea,Arsenal,False,0,0,0.0,0,0,0
Thiago Emiliano da Silva,Chelsea,Brighton,True,0,0,0.0,0,0,0
Thiago Emiliano da Silva,Chelsea,Liverpool,True,90,1,2.1,0,0,2
Thiago Emiliano da Silva,Chelsea,Manchester City,False,90,2,1.0,0,0,1
Thiago Emiliano da Silva,Chelsea,Brighton,False,90,2,3.5,0,0,1
Thiago Emiliano da Silva,Chelsea,Tottenham,True,90,13,6.2,2,1,0
Thiago Emiliano da Silva,Chelsea,Crystal Palace,False,90,8,2.4,2,1,0
Thiago Emiliano da Silva,Chelsea,Burnley,False,90,6,2.7,0,1,0
Thiago Emiliano da Silva,Chelsea,Norwich,False,90,2,3.6,0,0,1
Thiago Emiliano da Silva,Chelsea,Newcastle United,True,0,0,0.0,0,0,0
Thiago Emiliano da Silva,Chelsea,Liverpool,False,45,1,3.1,0,0,0
Thiago Emiliano da Silva,Chelsea,Brentford,True,90,0,2.4,0,0,4
Thiago Emiliano da Silva,Chelsea,Southampton,False,62,6,1.9,0,1,0
Thiago Emiliano da Silva,Chelsea,Arsenal,True,45,0,1.6,0,0,2
Thiago Emiliano da Silva,Chelsea,West Ham,True,90,7,3.6,1,1,0
Thiago Emiliano da Silva,Chelsea,Manchester United,False,90,2,1.9,0,0,1
Thiago Emiliano da Silva,Chelsea,Everton,False,90,2,4.4,0,0,1
Thiago Emiliano da Silva,Chelsea,Wolverhampton,True,90,1,5.4,0,0,2
Thiago Emiliano da Silva,Chelsea,Leicester City,False,0,0,0.0,0,0,0
Thiago Emiliano da Silva,Chelsea,Leeds United,True,90,2,4.7,0,0,1
Thiago Emiliano da Silva,Chelsea,Watford,True,90,2,0.0,0,0,1
Thiago Emiliano da Silva,Chelsea,Aston Villa,True,90,6,5.3,0,1,0
Thiago Emiliano da Silva,Chelsea,Tottenham,False,90,15,12.4,3,1,0
Thiago Emiliano da Silva,Chelsea,Manchester City,True,61,2,1.9,0,0,1
Thiago Emiliano da Silva,Chelsea,Southampton,True,90,1,3.2,0,0,1
Thiago Emiliano da Silva,Chelsea,Brentford,False,0,0,0.0,0,0,0
Thiago Emiliano da Silva,Chelsea,Norwich,True,90,6,3.6,0,1,0
