name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded
Alex Nicolao Telles,Man Utd,Leicester City,True,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Tottenham,False,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Manchester City,True,17,1,1.1,0,0,0
Alex Nicolao Telles,Man Utd,Watford,False,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Chelsea,False,90,2,1.5,0,0,1
Alex Nicolao Telles,Man Utd,Arsenal,True,90,1,4.4,0,0,2
Alex Nicolao Telles,Man Utd,Crystal Palace,True,90,6,5.1,0,1,0
Alex Nicolao Telles,Man Utd,Norwich,False,90,6,4.9,0,1,0
Alex Nicolao Telles,Man Utd,Newcastle United,False,90,2,6.9,0,0,1
Alex Nicolao Telles,Man Utd,Southampton,False,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Burnley,True,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Wolverhampton,True,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Aston Villa,False,90,4,6.2,0,0,2
Alex Nicolao Telles,Man Utd,Brentford,False,90,2,3.3,0,0,1
Alex Nicolao Telles,Man Utd,West Ham,True,90,6,3.7,0,1,0
Alex Nicolao Telles,Man Utd,Burnley,False,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Southampton,True,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Brighton,True,10,1,2.0,0,0,0
Alex Nicolao Telles,Man Utd,Leicester City,False,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Watford,True,73,9,9.4,3,1,0
Alex Nicolao Telles,Man Utd,Manchester City,False,90,0,3.7,0,0,4
Alex Nicolao Telles,Man Utd,Tottenham,True,90,4,5.6,0,0,2
Alex Nicolao Telles,Man Utd,Wolverhampton,False,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Leeds United,True,45,1,2.4,0,0,1
Alex Nicolao Telles,Man Utd,Everton,False,90,2,6.6,0,0,1
Alex Nicolao Telles,Man Utd,Norwich,True,73,4,5.8,0,0,2
Alex Nicolao Telles,Man Utd,Liverpool,False,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Arsenal,False,90,0,3.7,0,0,3
Alex Nicolao Telles,Man Utd,Chelsea,True,90,2,6.2,0,0,1
Alex Nicolao Telles,Man Utd,Brentford,True,90,12,5.0,3,1,0
Alex Nicolao Telles,Man Utd,Brighton,False,90,0,4.0,0,0,4
Alex Nicolao Telles,Man Utd,Crystal Palace,False,90,2,0.0,0,0,1
Alex Nicolao Telles,Man Utd,Newcastle United,True,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,West Ham,False,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Aston Villa,True,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Everton,True,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Leeds United,False,0,0,0.0,0,0,0
Alex Nicolao Telles,Man Utd,Liverpool,True,0,0,0.0,0,0,0
