name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Jan Paul van Hecke,Brighton,Everton,2024-08-17,False,90.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.9,0.0,1.0,0.0,0.45,1.0,6.0,0.0,90.0,1.0,1.61,0.48,0.19,37.22,1.0,Brighton,True,Manchester United,-2.4,0.39
Jan Paul van Hecke,Brighton,Manchester United,2024-08-24,True,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6,0.0,0.0,1.0,1.43,1.0,3.5,0.0,90.0,0.5,1.61,0.48,0.19,37.22,2.0,Brighton,False,Arsenal,-1.78,-0.56
Jan Paul van Hecke,Brighton,Arsenal,2024-08-31,False,90.0,0.0,0.06,0.0,0.0,2.0,2.0,0.0,3.4,0.0,0.0,1.0,2.08,1.0,3.0,0.02,90.0,0.33,1.61,0.48,0.19,37.22,6.0,Brighton,True,Ipswich Town,,
Jan Paul van Hecke,Brighton,Ipswich Town,2024-09-14,True,90.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0.35,1.0,3.75,0.02,90.0,0.5,1.61,0.48,0.19,37.22,4.0,Brighton,True,Nottingham Forest,-0.8,1.2
Jan Paul van Hecke,Brighton,Nottingham Forest,2024-09-22,True,90.0,0.0,0.0,1.0,0.3,4.0,0.0,1.0,4.8,0.0,0.0,2.0,1.53,1.0,3.8,0.21,90.0,0.4,1.61,0.48,0.19,37.22,0.0,Brighton,False,Chelsea,-0.59,-0.9
Jan Paul van Hecke,Brighton,Chelsea,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.21,75.0,0.4,1.61,0.48,0.19,37.22,0.0,Brighton,True,Tottenham,-0.36,0.74
Jan Paul van Hecke,Brighton,Tottenham,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.21,64.29,0.4,1.61,0.48,0.19,37.22,1.0,Brighton,False,Newcastle United,1.9,-0.44
Jan Paul van Hecke,Brighton,Newcastle United,2024-10-19,False,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0.0,0.07,0.0,2.2,0.2,57.38,0.33,1.61,0.48,0.19,37.22,1.0,Brighton,True,Wolverhampton,-1.51,-0.08
Jan Paul van Hecke,Brighton,Wolverhampton,2024-10-26,True,90.0,0.0,0.0,0.0,0.04,1.0,0.0,1.0,4.8,0.0,0.0,2.0,1.36,1.0,1.2,0.2,61.0,0.29,1.61,0.48,0.19,37.22,,,,,,
,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,Brighton,False,Liverpool,-1.55,-1.08
,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,Brighton,True,Manchester City,2.39,-1.18
,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,Brighton,False,Bournemouth,0.25,-0.04
