full_name,team,status,chance_of_playing_next_round,chance_of_playing_this_round
Ben Brereton Díaz,Southampton,Available,,
Tyler Dibling,Southampton,Available,100.0,100.0
Mateus Gonçalo Espanha Fernandes,Southampton,Available,,
Dominic Solanke-Mitchell,Spurs,Available,100.0,100.0
Ashley Phillips,Spurs,Unavailable,0.0,0.0
Brandon Austin,Spurs,Available,,
Rodrigo Bentancur,Spurs,Available,100.0,100.0
Lucas Bergvall,Spurs,Available,100.0,100.0
Yves Bissouma,Spurs,Available,100.0,100.0
Bryan Gil Salvatierra,Spurs,Unavailable,0.0,0.0
Ben Davies,Spurs,Available,,
Alfie Devine,Spurs,Unavailable,0.0,0.0
Radu Drăgușin,Spurs,Available,,
Emerson Leite de Souza Junior,Spurs,Unavailable,0.0,0.0
Fraser Forster,Spurs,Available,,
Archie Gray,Spurs,Available,,
Pierre-Emile Højbjerg,Spurs,Unavailable,0.0,0.0
Brennan Johnson,Spurs,Available,,
Dejan Kulusevski,Spurs,Available,,
Giovani Lo Celso,Spurs,Unavailable,0.0,0.0
James Maddison,Spurs,Available,,
Pedro Porro,Spurs,Available,100.0,100.0
Sergio Reguilón,Spurs,Available,,
Richarlison de Andrade,Spurs,Available,100.0,100.0
Cristian Romero,Spurs,Available,,
Pape Matar Sarr,Spurs,Available,,
Dane Scarlett,Spurs,Unavailable,0.0,0.0
Manor Solomon,Spurs,Unavailable,0.0,0.0
Son Heung-min,Spurs,Doubtful,75.0,25.0
Djed Spence,Spurs,Doubtful,50.0,0.0
Destiny Udogie,Spurs,Available,100.0,100.0
Micky van de Ven,Spurs,Available,100.0,100.0
Alejo Véliz,Spurs,Unavailable,0.0,0.0
Guglielmo Vicario,Spurs,Available,,
Timo Werner,Spurs,Available,100.0,100.0
Alfie Whiteman,Spurs,Available,,
Will Lankshear,Spurs,Available,100.0,100.0
Mikey Moore,Spurs,Available,100.0,100.0
Wilson Odobert,Spurs,Available,100.0,100.0
Aaron Wan-Bissaka,West Ham,Available,,
Edson Álvarez Velázquez,West Ham,Available,100.0,100.0
Michail Antonio,West Ham,Available,,
Alphonse Areola,West Ham,Available,100.0,100.0
Jarrod Bowen,West Ham,Available,,
Vladimír Coufal,West Ham,Available,,
Aaron Cresswell,West Ham,Available,100.0,100.0
George Earthy,West Ham,Unavailable,0.0,0.0
Emerson Palmieri dos Santos,West Ham,Available,100.0,100.0
Łukasz Fabiański,West Ham,Available,,
Wes Foderingham,West Ham,Available,,
Danny Ings,West Ham,Available,,
Max Kilman,West Ham,Available,,
Mohammed Kudus,West Ham,,0.0,0.0
Luis Guilherme Lira dos Santos,West Ham,Available,,
Lucas Tolentino Coelho de Lima,West Ham,Available,,
Konstantinos Mavropanos,West Ham,Available,,
Nayef Aguerd,West Ham,Unavailable,0.0,0.0
Tomáš Souček,West Ham,Available,,
Kurt Zouma,West Ham,Unavailable,0.0,0.0
Andy Irving,West Ham,Available,,
Crysencio Summerville,West Ham,Available,,
Guido Rodríguez,West Ham,Available,,
Niclas Füllkrug,West Ham,Injured,0.0,0.0
Jean-Clair Todibo,West Ham,Available,,
Kaelan Casey,West Ham,Available,,
Carlos Soler,West Ham,Available,,
Sam Johnstone,Wolves,Doubtful,75.0,75.0
Rayan Aït-Nouri,Wolves,Available,100.0,100.0
Boubacar Traoré,Wolves,Injured,0.0,0.0
Jean-Ricner Bellegarde,Wolves,Available,,
Daniel Bentley,Wolves,Available,,
Francisco Jorge Tomás Oliveira,Wolves,Unavailable,0.0,0.0
Tawanda Chirewa,Wolves,Unavailable,0.0,0.0
Leon Chiwome,Wolves,Available,100.0,100.0
Luke Cundle,Wolves,Available,,
Matheus Santos Carneiro Da Cunha,Wolves,Available,,
Craig Dawson,Wolves,Available,,
Matt Doherty,Wolves,Available,,
Tommy Doyle,Wolves,Available,,
Fábio Silva,Wolves,Unavailable,0.0,0.0
Nathan Fraser,Wolves,Unavailable,0.0,0.0
Enso González,Wolves,Injured,0.0,0.0
Gonçalo Manuel Ganchinho Guedes,Wolves,Available,,
Hugo Bueno López,Wolves,Unavailable,0.0,0.0
Hwang Hee-chan,Wolves,Injured,0.0,0.0
Joe Hodge,Wolves,Unavailable,0.0,0.0
Ki-Jana Hoever,Wolves,Unavailable,0.0,0.0
João Victor Gomes da Silva,Wolves,Available,,
José Malheiro de Sá,Wolves,Available,,
Saša Kalajdžić,Wolves,Injured,0.0,0.0
Tom King,Wolves,Available,,
Mario Lemina,Wolves,Available,100.0,100.0
Yerson Mosquera,Wolves,Injured,0.0,0.0
Nélson Cabral Semedo,Wolves,Available,100.0,100.0
Pedro Cardoso de Lima,Wolves,Available,,
Daniel Castelo Podence,Wolves,Unavailable,0.0,0.0
Rodrigo Martins Gomes,Wolves,Available,,
Santiago Bueno,Wolves,Available,100.0,100.0
Pablo Sarabia,Wolves,Available,,
Jørgen Strand Larsen,Wolves,Available,,
Toti António Gomes,Wolves,Available,100.0,100.0
Bastien Meupiyou,Wolves,Doubtful,50.0,50.0
André Trindade da Costa Neto,Wolves,Available,,
Carlos Roberto Forbs Borges,Wolves,Available,,
Alfie Pond,Wolves,Available,,
