full_name,position,team,is_captain,price
Mark Flekken,GK,Brentford,0,4.5
Diogo Dalot Teixeira,DEF,Man Utd,0,5.1
Rayan Aït-Nouri,DEF,Wolves,0,4.7
Joško Gvardiol,DEF,Man City,0,6.2
Bukayo Saka,MID,Arsenal,0,10.1
Dejan Kulusevski,MID,Spurs,0,6.3
Bryan Mbeumo,MID,Brentford,0,7.9
Bernardo Veiga de Carvalho e Silva,MID,Man City,0,6.5
Cole Palmer,MID,Chelsea,1,11.0
Erling Haaland,FWD,Man City,0,15.3
Raúl Jiménez,FWD,Fulham,0,5.8
Hákon Valdimarsson,GK,Brentford,0,4.0
Joachim Andersen,DEF,Fulham,0,4.3
Jacob Greaves,DEF,Ipswich,0,4.1
Ross Stewart,FWD,Southampton,0,4.5
