name,now_cost
Adrian Mazilu,4.5
James Milner,5.0
Yankuba Minteh,5.4
Mitoma Kaoru,6.6
Jakub Moder,4.4
Mark O’Mahony,4.5
Odeluga Offiah,4.0
Cameron Peupion,4.5
Jeremy Sarmiento Morante,4.9
Jason Steele,4.4
Deniz Undav,5.5
Jan Paul van Hecke,4.5
Joël Veltman,4.5
Bart Verbruggen,4.5
Adam Webster,4.4
Danny Welbeck,5.8
Mats Wieffer,4.9
Brajan Gruda,5.4
Yasin Ayari,5.0
Andrew Moran,5.0
Carl Rushworth,4.0
Georginio Rutter,5.5
Ferdi Kadioglu,4.5
Matt O'Riley,5.5
Imari Samuels,4.0
Andrey Nascimento dos Santos,4.5
Ângelo Gabriel Borges Damaceno,4.5
Benoît Badiashile,4.3
Lucas Bergström,4.0
Marcus Bettinelli,4.0
Moisés Caicedo Corozo,4.9
Cesare Casadei,4.5
Ben Chilwell,4.8
Carney Chukwuemeka,4.9
Levi Colwill,4.6
Marc Cucurella Saseta,5.0
David Datro Fofana,5.4
Deivid Washington de Souza Eugênio,5.0
Kiernan Dewsbury-Hall,5.7
Axel Disasi,4.4
Enzo Fernández,4.9
Conor Gallagher,5.9
Alfie Gilchrist,4.0
Malo Gusto,4.9
Reece James,4.9
Omari Kellyman,4.4
Roméo Lavia,4.5
Romelu Lukaku Bolingoli,6.3
Malang Sarr,4.5
Noni Madueke,6.5
Marc Guiu Paz,4.9
Mykhailo Mudryk,6.2
Nicolas Jackson,7.9
Christopher Nkunku,6.0
Cole Palmer,10.8
Đorđe Petrović,4.4
Renato Palma Veiga,4.5
Robert Sánchez,4.7
Tosin Adarabioyo,4.4
Wesley Fofana,4.5
Jadon Sancho,6.4
Pedro Lomba Neto,6.2
Caleb Wiley,4.0
Filip Jørgensen,4.3
João Félix Sequeira,6.2
Eddie Nketiah,5.9
Trevoh Chalobah,4.4
Naouirou Ahamada,4.5
Cheick Doucouré,4.9
Chris Richards,4.4
Chadi Riad Dnanou,4.4
Nathaniel Clyne,4.4
Malcolm Ebiowei,4.5
Eberechi Eze,6.8
Marc Guéhi,4.4
Dean Henderson,4.5
Rob Holding,4.4
Will Hughes,4.9
Daichi Kamada,5.2
Jefferson Lerma Solís,4.8
Jean-Philippe Mateta,7.4
Matheus França de Oliveira,4.4
Remi Matthews,4.0
Tyrick Mitchell,4.9
Daniel Muñoz,4.9
David Ozoh,4.5
Jesurun Rak-Sakyi,4.5
Jeffrey Schlupp,4.8
Joel Ward,4.4
Adam Wharton,4.9
Matt Turner,4.0
Ismaïla Sarr,5.8
Franco Umeh-Chibueze,4.5
Justin Devenny,4.5
Asher Agbinone,4.5
Kaden Rodney,4.5
Maxence Lacroix,4.5
Caleb Kporha,4.0
Armando Broja,5.4
Abdoulaye Doucouré,5.2
Norberto Bercique Gomes Betuncal,5.0
Jarrad Branthwaite,4.8
Dominic Calvert-Lewin,6.0
Séamus Coleman,4.3
Idrissa Gueye,4.9
James Garner,5.0
Jack Harrison,5.3
Mason Holgate,4.0
Tim Iroegbunam,4.5
João Neves Virgínia,4.0
Michael Keane,4.0
Neal Maupay,4.9
Dwight McNeil,5.6
Vitalii Mykolenko,4.3
Iliman Ndiaye,5.4
Nathan Patterson,4.4
Jordan Pickford,4.8
James Tarkowski,4.8
Youssef Ramalho Chermiti,4.9
Ashley Young,4.5
Jesper Lindstrøm,5.2
Jake O'Brien,4.7
Harrison Armstrong,4.5
Jenson Metcalfe,4.5
Asmir Begovic,4.0
Roman Dixon,4.0
Orel Mangala,5.0
Reiss Nelson,5.0
Emile Smith Rowe,5.8
Joachim Andersen,4.4
Adama Traoré,5.1
Andreas Hoelgebaum Pereira,5.3
Calvin Bassey,4.5
Steven Benda,4.0
Tom Cairney,4.8
Timothy Castagne,4.2
Issa Diop,4.5
Luke Harris,4.5
Alex Iwobi,5.5
Bernd Leno,5.0
Saša Lukić,4.9
Kevin Mbabu,4.0
Rodrigo Muniz Carvalho,5.8
Raúl Jiménez,5.6
Tim Ream,4.5
Harrison Reed,4.8
Antonee Robinson,4.7
Jay Stansfield,5.0
Kenny Tete,4.5
Carlos Vinícius Alves Morais,5.0
Harry Wilson,5.3
Ryan Sessegnon,4.3
Jorge Cuenca Barreno,4.4
Josh King,4.5
Martial Godo,4.5
Sander Berge,5.0
Ali Al-Hamadi,4.9
Elkan Baggott,4.0
Nathan Broadhead,4.9
Cameron Burgess,3.9
Wes Burns,4.9
Conor Chaplin,5.2
Harry Clarke,4.0
Leif Davis,4.5
Liam Delap,5.6
George Edmundson,4.0
Jacob Greaves,4.1
Marcus Myers-Harness,4.9
George Hirst,5.4
Cameron Humphreys,4.5
Omari Giraud-Hutchinson,5.3
Ben Johnson,4.0
Freddie Ladapo,4.5
Massimo Luongo,4.5
Sam Morsy,4.9
Corrie Ndaba,4.0
Cieran Slicker,4.0
