name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Christopher Nkunku,Chelsea,Liverpool,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,True,Brentford,4.46
Christopher Nkunku,Chelsea,Brentford,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,False,Tottenham,0.52
Christopher Nkunku,Chelsea,Tottenham,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,True,Manchester City,0.82
Christopher Nkunku,Chelsea,Manchester City,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,False,Newcastle United,-0.48
Christopher Nkunku,Chelsea,Newcastle United,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,True,Brighton,0.38
Christopher Nkunku,Chelsea,Brighton,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,False,Manchester United,1.57
Christopher Nkunku,Chelsea,Manchester United,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,False,Everton,-0.36
Christopher Nkunku,Chelsea,Everton,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,True,Sheffield,
Christopher Nkunku,Chelsea,Sheffield,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0,0,0,0,0,7.0,Chelsea,False,Wolverhampton,1.13
Christopher Nkunku,Chelsea,Wolverhampton,2023-12-24,False,Sub,32,1.0,0.77,0.0,0.0,7,4.0,0.0,10.3,2,False,0.0,0.0,3.2,0,0,0,0,0,2.0,Chelsea,True,Crystal Palace,-1.42
Christopher Nkunku,Chelsea,Crystal Palace,2023-12-27,True,AMC,70,0.0,0.05,0.0,0.07,2,1.0,1.0,2.7,0,True,1.4,0.15,9.27,0,0,0,0,0,0.0,Chelsea,False,West Ham,2.39
Christopher Nkunku,Chelsea,West Ham,,False,,0,,,,,0,,,0.0,0,False,1.8,0.16,8.5,0,0,0,0,0,1.0,Chelsea,False,Luton,
Christopher Nkunku,Chelsea,Luton,2023-12-30,False,Sub,28,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,False,1.8,0.16,10.0,0,0,0,0,0,0.0,Chelsea,True,Fulham,-0.78
Christopher Nkunku,Chelsea,Fulham,,True,,0,,,,,0,,,0.0,0,False,2.0,0.16,9.29,0,0,0,0,0,5.0,Chelsea,False,Liverpool,-0.82
Christopher Nkunku,Chelsea,Liverpool,2024-01-31,False,Sub,45,1.0,0.1,0.0,0.0,5,1.0,0.0,5.8,0,False,2.0,0.16,11.67,0,0,0,0,0,2.0,Chelsea,True,Wolverhampton,-1.65
Christopher Nkunku,Chelsea,Wolverhampton,2024-02-04,True,FW,71,0.0,0.49,0.0,0.03,2,2.0,1.0,6.7,0,True,1.6,0.03,15.38,0,0,0,0,0,1.0,Chelsea,False,Crystal Palace,-1.09
Christopher Nkunku,Chelsea,Crystal Palace,2024-02-12,False,Sub,45,0.0,0.08,0.0,0.0,1,1.0,0.0,2.1,0,False,1.6,0.12,17.12,0,0,0,0,0,1.0,Chelsea,False,Manchester City,-0.67
Christopher Nkunku,Chelsea,Manchester City,2024-02-17,False,Sub,26,0.0,0.21,0.0,0.0,1,2.0,0.0,2.9,0,False,1.8,0.13,17.61,0,0,0,0,0,0.0,Chelsea,False,Brentford,0.19
Christopher Nkunku,Chelsea,Brentford,,False,,0,,,,,0,,,0.0,0,False,1.8,0.18,16.68,0,0,0,0,0,0.0,Chelsea,True,Newcastle United,-0.46
Christopher Nkunku,Chelsea,Newcastle United,,True,,0,,,,,0,,,0.0,0,False,1.8,0.18,15.85,0,0,0,0,0,0.0,Chelsea,True,Luton,
Christopher Nkunku,Chelsea,Luton,,True,,0,,,,,0,,,0.0,0,False,0.8,0.15,15.1,0,0,0,0,0,0.0,Chelsea,True,Burnley,-0.18
Christopher Nkunku,Chelsea,Burnley,,True,,0,,,,,0,,,0.0,0,False,0.4,0.06,14.41,0,0,0,0,0,0.0,Chelsea,True,Manchester United,-1.38
Christopher Nkunku,Chelsea,Manchester United,,True,,0,,,,,0,,,0.0,0,False,0.2,0.04,13.78,0,0,0,0,0,0.0,Chelsea,False,Sheffield,
Christopher Nkunku,Chelsea,Sheffield,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,13.21,0,0,0,0,0,0.0,Chelsea,True,Everton,1.01
