name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Fábio Silva,Wolves,Manchester United,2023-08-14,False,Sub,13,0.0,0.25,0.0,0.06,1,3.0,1.0,7.9,0,False,0.0,0.0,13.0,0,0,0,0,0,0.0,Wolves,True,Newcastle United,-1.69,
Fábio Silva,Wolves,Newcastle United,,True,,0,,,,,0,,,0.0,0,False,1.0,0.25,6.5,0,0,0,0,0,0.0,Wolves,False,Sheffield,,-0.61
Fábio Silva,Wolves,Sheffield,2023-11-04,False,Sub,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,False,0.5,0.13,7.33,0,0,0,0,0,0.0,Wolves,True,Tottenham,0.14,0.69
Fábio Silva,Wolves,Tottenham,,True,,0,,,,,0,,,0.0,0,False,0.33,0.08,5.5,0,0,0,0,0,0.0,Wolves,False,Fulham,-0.7,0.86
Fábio Silva,Wolves,Fulham,,False,,0,,,,,0,,,0.0,0,False,0.25,0.06,4.4,0,0,0,0,0,0.0,Wolves,False,Arsenal,2.85,-0.48
Fábio Silva,Wolves,Arsenal,,False,,0,,,,,0,,,0.0,0,False,0.2,0.05,3.67,0,0,0,0,0,0.0,Wolves,True,Burnley,0.01,0.39
Fábio Silva,Wolves,Burnley,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,3.14,0,0,0,0,0,0.0,Wolves,True,Nottingham Forest,-1.37,
Fábio Silva,Wolves,Nottingham Forest,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,2.75,0,0,0,0,0,0.0,Wolves,False,West Ham,2.37,
Fábio Silva,Wolves,West Ham,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,2.44,0,0,0,0,0,0.0,Wolves,True,Chelsea,-1.82,-0.25
Fábio Silva,Wolves,Chelsea,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,2.2,0,0,0,0,0,0.0,Wolves,False,Brentford,-1.35,-0.53
Fábio Silva,Wolves,Brentford,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,2.0,0,0,0,0,0,1.0,Wolves,True,Brighton,1.03,-0.66
Fábio Silva,Wolves,Brighton,2023-08-19,True,FW,54,0.0,0.32,0.0,0.09,1,1.0,1.0,4.5,0,True,0.0,0.0,6.33,0,0,0,0,0,0.0,Wolves,True,Everton,-0.67,0.53
Fábio Silva,Wolves,Everton,,True,,0,,,,,0,,,0.0,0,False,0.2,0.06,5.85,0,0,0,0,0,0.0,Wolves,False,Brighton,2.18,-0.6
Fábio Silva,Wolves,Brighton,,False,,0,,,,,0,,,0.0,0,False,0.2,0.06,5.43,0,0,0,0,0,0.0,Wolves,True,Manchester United,0.17,
Fábio Silva,Wolves,Manchester United,,True,,0,,,,,0,,,0.0,0,False,0.2,0.06,5.07,0,0,0,0,0,0.0,Wolves,False,Chelsea,0.12,-0.85
Fábio Silva,Wolves,Chelsea,,False,,0,,,,,0,,,0.0,0,False,0.2,0.06,4.75,0,0,0,0,0,0.0,Wolves,True,Brentford,0.29,0.79
Fábio Silva,Wolves,Brentford,,True,,0,,,,,0,,,0.0,0,False,0.2,0.06,4.47,0,0,0,0,0,0.0,Wolves,False,Tottenham,-1.64,-0.36
Fábio Silva,Wolves,Tottenham,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,4.22,0,0,0,0,0,0.0,Wolves,True,Sheffield,,0.68
Fábio Silva,Wolves,Sheffield,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,4.0,0,0,0,0,0,0.0,Wolves,False,Newcastle United,1.8,
Fábio Silva,Wolves,Newcastle United,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,3.8,0,0,0,0,0,0.0,Wolves,True,Fulham,0.54,-0.13
Fábio Silva,Wolves,Fulham,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,3.62,0,0,0,0,0,2.0,Wolves,False,Everton,-1.88,-0.24
Fábio Silva,Wolves,Everton,2023-08-26,False,FW,73,0.0,0.28,0.0,0.02,2,1.0,1.0,1.7,0,True,0.0,0.0,6.77,0,0,0,0,0,0.0,Wolves,False,Aston Villa,-0.98,
Fábio Silva,Wolves,Aston Villa,,False,,0,,,,,0,,,0.0,0,False,0.4,0.06,6.48,0,0,0,0,0,0.0,Wolves,False,Burnley,,0.0
