name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Elijah Adebayo,Luton,Brighton,2023-08-12,False,FW,63,0,0.0,0,0.07,2,0,1,0.0,0,True,0.0,0.0,63.0,0,0,0,0,0,1
Elijah Adebayo,Luton,Aston Villa,2023-10-29,False,Sub,14,0,0.06,0,0.0,1,1,0,0.9,0,False,2.0,0.0,38.5,0,0,0,0,0,1
Elijah Adebayo,Luton,Liverpool,2023-11-05,True,Sub,15,0,0.0,0,0.0,1,0,0,0.0,0,False,1.5,0.03,30.67,0,0,0,0,0,1
Elijah Adebayo,Luton,Manchester United,2023-11-11,False,Sub,3,0,0.0,0,0.0,1,0,0,0.0,0,False,1.33,0.02,23.75,0,0,0,0,0,0
Elijah Adebayo,Luton,Crystal Palace,2023-11-25,True,Sub,16,0,0.0,0,0.0,0,0,0,0.3,0,False,1.25,0.01,22.2,0,0,0,0,0,1
Elijah Adebayo,Luton,Brentford,2023-12-02,False,Sub,29,0,0.02,0,0.0,1,1,0,0.7,0,False,1.0,0.01,23.33,0,0,0,0,0,6
Elijah Adebayo,Luton,Arsenal,2023-12-05,True,FW,60,1,0.08,0,0.0,6,1,0,7.1,0,True,0.8,0.01,28.57,0,0,0,0,0,7
Elijah Adebayo,Luton,Manchester City,2023-12-10,True,FW,90,1,0.59,0,0.02,7,1,1,8.4,1,True,1.8,0.02,36.25,0,0,0,0,0,2
Elijah Adebayo,Luton,Newcastle United,2023-12-23,True,FW,79,0,0.6,0,0.13,2,3,2,6.4,0,True,3.0,0.14,41.0,0,0,0,0,0,2
Elijah Adebayo,Luton,Sheffield,2023-12-26,False,FW,70,0,0.06,0,0.15,2,1,2,7.0,0,True,3.2,0.26,43.9,0,0,0,0,0,6
Elijah Adebayo,Luton,Chelsea,2023-12-30,True,FW,90,1,1.36,0,0.0,6,3,0,8.5,0,True,3.6,0.27,48.09,0,0,0,0,0,2
Elijah Adebayo,Luton,Burnley,2024-01-12,False,FW,90,0,0.0,0,0.09,2,0,2,3.7,0,True,4.6,0.54,51.58,0,0,0,0,0,17
Elijah Adebayo,Luton,Brighton,2024-01-30,True,AMC,70,3,1.55,0,0.07,17,4,1,20.7,3,True,3.8,0.52,53.0,0,0,0,0,0,6
Elijah Adebayo,Luton,Newcastle United,2024-02-03,False,FW,87,1,0.56,0,0.0,6,2,0,6.7,0,True,5.8,0.71,55.43,0,0,0,0,0,5
Elijah Adebayo,Luton,Sheffield,2024-02-10,True,FW,90,0,0.28,0,0.0,5,4,0,6.1,0,True,6.6,0.7,57.73,0,0,0,0,0,2
Elijah Adebayo,Luton,Chelsea,2023-08-25,False,FW,69,0,0.0,0,0.07,2,0,1,1.8,0,True,7.2,0.75,58.44,0,0,0,0,0,1
Elijah Adebayo,Luton,Wolverhampton,2024-04-27,False,Sub,12,0,0.0,0,0.0,1,0,0,0.3,0,False,6.4,0.48,55.71,0,0,0,0,0,9
Elijah Adebayo,Luton,Everton,2024-05-03,True,FW,79,1,0.25,0,0.0,9,1,0,6.6,3,True,6.2,0.48,57.0,0,0,0,0,0,2
Elijah Adebayo,Luton,West Ham,2024-05-11,False,FW,90,0,0.08,0,0.0,2,1,0,1.7,0,True,4.6,0.22,58.74,0,0,0,0,0,2
Elijah Adebayo,Luton,Fulham,2024-05-19,True,FW,75,0,0.32,0,0.0,2,1,0,2.2,0,True,3.8,0.12,59.55,0,0,0,0,0,2
Elijah Adebayo,Luton,West Ham,2023-09-01,True,FW,70,0,0.25,0,0.02,2,3,1,3.7,0,True,3.2,0.13,60.05,0,0,0,0,0,1
Elijah Adebayo,Luton,Fulham,2023-09-16,False,Sub,15,0,0.0,0,0.06,1,0,1,1.7,0,False,3.2,0.18,58.0,0,0,0,0,0,1
Elijah Adebayo,Luton,Wolverhampton,2023-09-23,True,Sub,5,0,0.0,0,0.0,1,0,0,0.0,0,False,3.2,0.18,55.7,0,0,0,0,0,1
Elijah Adebayo,Luton,Everton,2023-09-30,False,Sub,12,0,0.0,0,0.0,1,0,0,0.0,0,False,1.6,0.13,53.88,0,0,0,0,0,7
Elijah Adebayo,Luton,Burnley,2023-10-03,True,Sub,28,1,0.2,0,0.0,7,2,0,6.0,2,False,1.4,0.11,52.84,0,0,0,0,0,2
Elijah Adebayo,Luton,Tottenham,2023-10-07,True,FW,66,0,0.0,0,0.08,2,0,1,2.1,0,True,2.4,0.09,53.35,0,0,0,0,0,5
Elijah Adebayo,Luton,Nottingham Forest,2023-10-21,False,Sub,18,1,0.4,0,0.05,5,2,1,7.6,0,False,2.4,0.04,52.04,0,0,0,0,0,
