name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Dominic Solanke,Bournemouth,West Ham,2023-08-12,True,FW,90,1,1.21,0,0.08,7,3,2,13.6,1,True,0.0,0.0,90.0,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Burnley,2023-10-28,True,FW,90,0,0.19,0,0.0,2,2,0,3.7,0,True,7.0,1.21,90.0,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Manchester City,2023-11-04,False,FW,84,0,0.24,0,0.0,2,3,0,1.6,0,True,4.5,0.7,88.0,6,7,9.31,3.96,0.05,13
Dominic Solanke,Bournemouth,Newcastle United,2023-11-11,True,FW,90,2,1.36,0,0.34,13,4,3,19.2,3,True,3.67,0.54,88.5,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Sheffield,2023-11-25,False,FW,90,0,0.78,0,0.09,2,4,1,3.1,0,True,6.0,0.75,88.8,6,7,9.31,3.96,0.05,6
Dominic Solanke,Bournemouth,Aston Villa,2023-12-03,True,FW,90,1,1.77,0,0.0,6,4,0,13.8,0,True,5.2,0.76,89.0,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Crystal Palace,2023-12-06,False,FW,87,0,0.15,0,0.0,2,2,0,3.9,0,True,5.0,0.87,88.71,6,7,9.31,3.96,0.05,7
Dominic Solanke,Bournemouth,Manchester United,2023-12-09,False,FW,90,1,0.85,0,0.0,7,5,0,8.0,1,True,5.0,0.86,88.88,6,7,9.31,3.96,0.05,17
Dominic Solanke,Bournemouth,Nottingham Forest,2023-12-23,False,FW,90,3,0.79,0,0.04,17,6,1,20.0,3,True,6.0,0.98,89.0,6,7,9.31,3.96,0.05,6
Dominic Solanke,Bournemouth,Fulham,2023-12-26,True,FW,90,1,0.97,0,0.0,6,3,0,7.2,0,True,6.8,0.87,89.1,6,7,9.31,3.96,0.05,5
Dominic Solanke,Bournemouth,Liverpool,2023-08-19,False,FW,90,0,0.15,1,0.09,5,3,2,5.6,0,True,7.6,0.9,89.18,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Tottenham,2023-12-31,False,FW,90,0,0.9,0,0.0,2,9,0,8.3,0,True,7.4,0.78,89.25,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Liverpool,2024-01-21,True,FW,82,0,0.06,0,0.0,2,1,0,2.5,0,True,7.4,0.93,88.69,6,7,9.31,3.96,0.05,8
Dominic Solanke,Bournemouth,West Ham,2024-02-01,False,FW,90,1,0.35,0,0.49,8,1,2,9.4,2,True,6.4,0.77,88.79,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Nottingham Forest,2024-02-04,True,FW,90,0,0.0,0,0.1,2,0,1,2.2,0,True,4.6,0.69,88.87,6,7,9.31,3.96,0.05,4
Dominic Solanke,Bournemouth,Fulham,2024-02-10,False,FW,90,0,0.77,1,0.47,4,5,2,7.3,0,True,3.8,0.49,88.94,6,7,9.31,3.96,0.05,12
Dominic Solanke,Bournemouth,Newcastle United,2024-02-17,False,FW,90,1,1.77,1,0.13,12,3,2,16.3,3,True,3.6,0.62,89.0,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Manchester City,2024-02-24,True,FW,90,0,0.16,0,0.09,2,3,2,7.4,0,True,5.6,0.99,89.06,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Burnley,2024-03-03,False,FW,88,0,0.13,0,0.11,2,1,1,4.1,0,True,5.6,1.01,89.0,6,7,9.31,3.96,0.05,0
Dominic Solanke,Bournemouth,Sheffield,2024-03-09,True,FW,90,0,0.82,0,0.18,0,3,3,8.2,0,True,4.4,0.97,89.05,6,7,9.31,3.96,0.05,8
Dominic Solanke,Bournemouth,Luton,2024-03-13,True,FW,90,1,0.53,0,0.24,8,3,4,11.1,2,True,4.0,1.13,89.1,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Tottenham,2023-08-26,True,FW,90,0,0.08,0,0.02,2,1,1,2.3,0,True,4.8,0.88,89.14,6,7,9.31,3.96,0.05,7
Dominic Solanke,Bournemouth,Everton,2024-03-30,True,FW,84,1,0.74,0,0.06,7,1,1,9.5,2,True,2.8,0.34,88.91,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Crystal Palace,2024-04-02,True,FW,89,0,0.11,0,0.0,2,1,0,1.6,0,True,3.8,0.46,88.92,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Luton,2024-04-06,False,FW,90,0,0.3,0,0.1,2,2,2,4.4,0,True,3.8,0.45,88.96,6,7,9.31,3.96,0.05,7
Dominic Solanke,Bournemouth,Manchester United,2024-04-13,True,FW,90,1,0.22,0,0.17,7,4,2,9.5,1,True,4.2,0.35,89.0,6,7,9.31,3.96,0.05,6
Dominic Solanke,Bournemouth,Aston Villa,2024-04-21,False,FW,90,1,0.86,0,0.0,6,2,0,6.7,0,True,4.0,0.29,89.04,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Wolverhampton,2024-04-24,False,FW,86,0,0.2,0,0.07,2,2,2,5.5,0,True,4.8,0.44,88.93,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Brighton,2024-04-28,True,FW,90,0,0.4,0,0.35,2,4,1,5.2,0,True,3.8,0.34,88.97,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Arsenal,2024-05-04,False,FW,90,0,0.26,0,0.0,2,1,0,3.2,0,True,3.8,0.39,89.0,6,7,9.31,3.96,0.05,6
Dominic Solanke,Bournemouth,Brentford,2024-05-11,True,FW,90,1,0.7,0,0.0,6,4,0,7.6,0,True,3.8,0.39,89.03,6,7,9.31,3.96,0.05,1
Dominic Solanke,Bournemouth,Chelsea,2024-05-19,False,Sub,31,0,0.67,0,0.0,1,2,0,0.8,0,False,3.6,0.48,87.22,6,7,9.31,3.96,0.05,7
Dominic Solanke,Bournemouth,Brentford,2023-09-02,False,FW,90,1,0.49,0,0.06,7,2,1,9.9,1,True,2.6,0.44,87.3,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Chelsea,2023-09-17,True,FW,90,0,0.29,0,0.0,2,4,0,5.4,0,True,3.6,0.5,87.38,6,7,9.31,3.96,0.05,6
Dominic Solanke,Bournemouth,Brighton,2023-09-24,False,FW,90,1,0.92,0,0.0,6,3,0,6.1,0,True,3.6,0.48,87.46,6,7,9.31,3.96,0.05,2
Dominic Solanke,Bournemouth,Arsenal,2023-09-30,True,FW,90,0,0.21,0,0.14,2,2,2,4.4,0,True,4.4,0.61,87.53,6,7,9.31,3.96,0.05,1
Dominic Solanke,Bournemouth,Everton,2023-10-07,False,FW,90,0,0.13,0,0.13,1,3,1,5.9,0,True,3.6,0.52,87.59,6,7,9.31,3.96,0.05,7
Dominic Solanke,Bournemouth,Wolverhampton,2023-10-21,True,FW,84,1,0.9,0,0.0,7,3,0,8.2,1,True,3.6,0.41,87.5,6,7,9.31,3.96,0.05,
