name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Anthony Martial,Man Utd,Wolverhampton,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,6.0,2.0,7.33,1.77,0.07,1.0,Man Utd,True,Manchester City,0.86
Anthony Martial,Man Utd,Manchester City,2023-10-29,True,Sub,4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,False,0.0,0.0,2.0,6.0,2.0,7.33,1.77,0.07,1.0,Man Utd,False,Fulham,-1.5
Anthony Martial,Man Utd,Fulham,2023-11-04,False,Sub,11,0.0,0.13,0.0,0.0,1,1.0,0.0,0.5,0,False,0.5,0.0,5.0,6.0,2.0,7.33,1.77,0.07,1.0,Man Utd,True,Luton,-1.02
Anthony Martial,Man Utd,Luton,2023-11-11,True,Sub,11,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,False,0.67,0.04,6.5,6.0,2.0,7.33,1.77,0.07,11.0,Man Utd,False,Everton,-1.18
Anthony Martial,Man Utd,Everton,2023-11-26,False,FW,83,1.0,0.69,0.0,0.0,11,1.0,0.0,6.2,2,True,0.75,0.03,21.8,6.0,2.0,7.33,1.77,0.07,2.0,Man Utd,False,Newcastle United,1.36
Anthony Martial,Man Utd,Newcastle United,2023-12-02,False,FW,60,0.0,0.0,0.0,0.0,2,0.0,0.0,0.4,0,True,2.8,0.16,28.17,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,True,Chelsea,-2.79
Anthony Martial,Man Utd,Chelsea,,True,,0,,,,,0,,,0.0,0,False,3.2,0.16,24.14,6.0,2.0,7.33,1.77,0.07,1.0,Man Utd,True,Bournemouth,1.4
Anthony Martial,Man Utd,Bournemouth,2023-12-09,True,FW,55,0.0,0.04,0.0,0.09,1,1.0,1.0,3.4,0,True,3.0,0.16,28.0,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,False,Liverpool,2.76
Anthony Martial,Man Utd,Liverpool,,False,,0,,,,,0,,,0.0,0,False,3.0,0.14,24.89,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,False,West Ham,2.3
Anthony Martial,Man Utd,West Ham,,False,,0,,,,,0,,,0.0,0,False,2.8,0.14,22.4,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,True,Aston Villa,-0.23
Anthony Martial,Man Utd,Aston Villa,,True,,0,,,,,0,,,0.0,0,False,0.6,0.01,20.36,6.0,2.0,7.33,1.77,0.07,1.0,Man Utd,False,Tottenham,0.11
Anthony Martial,Man Utd,Tottenham,2023-08-19,False,Sub,5,0.0,0.0,0.0,0.05,1,0.0,1.0,1.5,0,False,0.2,0.01,19.08,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,False,Nottingham Forest,-0.09
Anthony Martial,Man Utd,Nottingham Forest,,False,,0,,,,,0,,,0.0,0,False,0.4,0.01,17.62,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,True,Tottenham,-2.02
Anthony Martial,Man Utd,Tottenham,,True,,0,,,,,0,,,0.0,0,False,0.2,0.0,16.36,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,False,Wolverhampton,-0.7
Anthony Martial,Man Utd,Wolverhampton,,False,,0,,,,,0,,,0.0,0,False,0.2,0.0,15.27,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,True,West Ham,-1.52
Anthony Martial,Man Utd,West Ham,,True,,0,,,,,0,,,0.0,0,False,0.2,0.0,14.31,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,False,Aston Villa,-0.18
Anthony Martial,Man Utd,Aston Villa,,False,,0,,,,,0,,,0.0,0,False,0.2,0.0,13.47,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,False,Luton,-2.65
Anthony Martial,Man Utd,Luton,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,12.72,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,True,Fulham,0.26
Anthony Martial,Man Utd,Fulham,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,12.05,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,False,Manchester City,1.48
Anthony Martial,Man Utd,Manchester City,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,11.45,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,True,Everton,-1.71
Anthony Martial,Man Utd,Everton,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,10.9,6.0,2.0,7.33,1.77,0.07,1.0,Man Utd,True,Nottingham Forest,-0.7
Anthony Martial,Man Utd,Nottingham Forest,2023-08-26,True,FW,59,0.0,0.07,0.0,0.01,1,1.0,1.0,2.7,0,True,0.0,0.0,13.09,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,False,Brentford,1.16
Anthony Martial,Man Utd,Brentford,,False,,0,,,,,0,,,0.0,0,False,0.2,0.01,12.52,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,False,Chelsea,0.93
Anthony Martial,Man Utd,Chelsea,,False,,0,,,,,0,,,0.0,0,False,0.2,0.01,12.0,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,True,Liverpool,0.35
Anthony Martial,Man Utd,Liverpool,,True,,0,,,,,0,,,0.0,0,False,0.2,0.01,11.52,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,False,Bournemouth,-0.31
Anthony Martial,Man Utd,Bournemouth,,False,,0,,,,,0,,,0.0,0,False,0.2,0.01,11.08,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,True,Sheffield,-1.3
Anthony Martial,Man Utd,Sheffield,,True,,0,,,,,0,,,0.0,0,False,0.2,0.01,10.67,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,True,Burnley,-1.86
Anthony Martial,Man Utd,Burnley,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,10.29,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,False,Crystal Palace,2.45
Anthony Martial,Man Utd,Crystal Palace,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,9.93,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,True,Arsenal,-2.12
Anthony Martial,Man Utd,Arsenal,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,9.6,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,True,Newcastle United,-0.79
Anthony Martial,Man Utd,Newcastle United,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,9.29,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,False,Brighton,0.65
Anthony Martial,Man Utd,Brighton,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,9.0,6.0,2.0,7.33,1.77,0.07,2.0,Man Utd,False,Arsenal,1.27
Anthony Martial,Man Utd,Arsenal,2023-09-03,False,FW,66,0.0,0.06,0.0,0.02,2,1.0,1.0,3.2,0,True,0.0,0.0,10.73,6.0,2.0,7.33,1.77,0.07,1.0,Man Utd,True,Brighton,0.02
Anthony Martial,Man Utd,Brighton,2023-09-16,True,Sub,26,0.0,0.0,0.0,0.0,1,0.0,0.0,0.8,0,False,0.4,0.01,11.18,6.0,2.0,7.33,1.77,0.07,0.0,Man Utd,False,Burnley,-0.53
Anthony Martial,Man Utd,Burnley,,False,,0,,,,,0,,,0.0,0,False,0.6,0.01,10.86,6.0,2.0,7.33,1.77,0.07,1.0,Man Utd,True,Crystal Palace,1.05
Anthony Martial,Man Utd,Crystal Palace,2023-09-30,True,Sub,13,0.0,0.0,0.0,0.1,1,0.0,2.0,2.9,0,False,0.6,0.01,10.92,6.0,2.0,7.33,1.77,0.07,1.0,Man Utd,True,Brentford,-1.08
Anthony Martial,Man Utd,Brentford,2023-10-07,True,Sub,19,0.0,0.08,0.0,0.0,1,1.0,0.0,2.4,0,False,0.8,0.01,11.14,6.0,2.0,7.33,1.77,0.07,1.0,Man Utd,False,Sheffield,-1.0
Anthony Martial,Man Utd,Sheffield,2023-10-21,False,Sub,27,0.0,0.0,0.0,0.0,1,0.0,0.0,0.5,0,False,1.0,0.03,11.55,6.0,2.0,7.33,1.77,0.07,,,,,
