name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Youssef Ramalho Chermiti,Everton,Fulham,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0,0,0,0,0,1.0,Everton,False,West Ham,4.39,-0.22
Youssef Ramalho Chermiti,Everton,West Ham,2023-10-29,False,Sub,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,False,0.0,0.0,0.5,0,0,0,0,0,0.0,Everton,True,Brighton,2.15,-0.66
Youssef Ramalho Chermiti,Everton,Brighton,,True,,0,,,,,0,,,0.0,0,False,0.5,0.0,0.33,0,0,0,0,0,0.0,Everton,False,Crystal Palace,0.85,0.38
Youssef Ramalho Chermiti,Everton,Crystal Palace,,False,,0,,,,,0,,,0.0,0,False,0.33,0.0,0.25,0,0,0,0,0,1.0,Everton,True,Manchester United,-0.7,0.38
Youssef Ramalho Chermiti,Everton,Manchester United,2023-11-26,True,Sub,8,0.0,0.01,0.0,0.0,1,1.0,0.0,1.8,0,False,0.25,0.0,1.8,0,0,0,0,0,1.0,Everton,False,Nottingham Forest,1.05,-0.55
Youssef Ramalho Chermiti,Everton,Nottingham Forest,2023-12-02,False,Sub,8,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,False,0.4,0.0,2.83,0,0,0,0,0,0.0,Everton,True,Newcastle United,1.57,0.55
Youssef Ramalho Chermiti,Everton,Newcastle United,,True,,0,,,,,0,,,0.0,0,False,0.6,0.0,2.43,0,0,0,0,0,0.0,Everton,True,Chelsea,-0.66,-0.25
Youssef Ramalho Chermiti,Everton,Chelsea,,True,,0,,,,,0,,,0.0,0,False,0.4,0.0,2.12,0,0,0,0,0,0.0,Everton,False,Burnley,-1.91,0.0
Youssef Ramalho Chermiti,Everton,Burnley,,False,,0,,,,,0,,,0.0,0,False,0.4,0.0,1.89,0,0,0,0,0,0.0,Everton,False,Tottenham,4.06,-0.36
Youssef Ramalho Chermiti,Everton,Tottenham,,False,,0,,,,,0,,,0.0,0,False,0.4,0.0,1.7,0,0,0,0,0,0.0,Everton,True,Manchester City,1.82,-0.96
