name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts
Armando Broja,Chelsea,Manchester City,2023-11-12,True,Sub,1,0,0.0,0,0.0,4,0,0,0.2,0,False
Armando Broja,Chelsea,Newcastle United,2023-11-25,False,Sub,21,0,0.0,0,0.0,1,0,0,0.5,0,False
Armando Broja,Chelsea,Brighton,2023-12-03,True,Sub,9,0,0.0,0,0.0,1,0,0,0.0,0,False
Armando Broja,Chelsea,Manchester United,2023-12-06,False,Sub,13,0,0.1375629603862762,0,0.0,1,1,0,1.1,0,False
Armando Broja,Chelsea,Everton,2023-12-10,False,FW,66,0,0.1058571189641952,0,0.0289228446781635,2,1,1,1.8,0,True
Armando Broja,Chelsea,Sheffield,2023-12-16,True,Sub,15,0,0.8513190746307373,0,0.0,1,2,0,1.9,0,False
Armando Broja,Chelsea,Wolverhampton,2023-12-24,False,FW,58,0,0.1290638595819473,0,0.0,1,1,0,1.3,0,True
Armando Broja,Chelsea,Crystal Palace,2023-12-27,True,Sub,19,0,0.0706623867154121,0,0.0,1,1,0,0.5,0,False
Armando Broja,Chelsea,Luton,2023-12-30,False,FW,61,0,0.0623197481036186,0,0.0436557456851005,2,1,1,4.4,0,True
Armando Broja,Chelsea,Fulham,2024-01-13,True,FW,65,0,0.1609306335449218,0,0.0653472617268562,2,2,1,4.5,0,True
Armando Broja,Fulham,Burnley,2024-02-03,False,Sub,16,0,0.0,0,0.0,1,0,0,0.0,0,False
Armando Broja,Fulham,Bournemouth,2024-02-10,True,Sub,15,0,0.0,0,0.0,1,0,0,0.2,0,False
Armando Broja,Fulham,Brighton,2024-03-02,True,Sub,6,0,0.0,0,0.0,1,0,0,0.1,0,False
Armando Broja,Fulham,Wolverhampton,2024-03-09,False,Sub,10,0,0.0,1,0.6014708280563354,4,0,1,3.2,0,False
Armando Broja,Fulham,Newcastle United,2024-04-06,True,Sub,5,0,0.0,0,0.0,1,0,0,0.3,0,False
Armando Broja,Fulham,West Ham,2024-04-14,False,Sub,1,0,0.0,0,0.0,1,0,0,0.0,0,False
Armando Broja,Fulham,Crystal Palace,2024-04-27,True,Sub,5,0,0.0,0,0.0,1,0,0,0.0,0,False
Armando Broja,Fulham,Manchester City,2024-05-11,True,Sub,23,0,0.0,0,0.0,1,0,0,0.0,0,False
Armando Broja,Chelsea,Aston Villa,2023-09-24,True,Sub,11,0,0.0286350976675748,0,0.0,1,1,0,0.6,0,False
Armando Broja,Chelsea,Fulham,2023-10-02,False,FW,64,1,0.8550718426704407,0,0.0,6,2,0,6.4,0,True
Armando Broja,Chelsea,Burnley,2023-10-07,False,FW,45,0,0.0879228264093399,0,0.0,1,1,0,2.0,0,True
