name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Jay Stansfield,Fulham,Everton,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.08,0.0,Fulham,False,Brighton,-1.45,-0.6
Jay Stansfield,Fulham,Brighton,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.08,0.0,Fulham,True,Manchester United,2.97,
Jay Stansfield,Fulham,Manchester United,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.08,0.0,Fulham,False,Aston Villa,1.75,
Jay Stansfield,Fulham,Aston Villa,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.08,0.0,Fulham,True,Wolverhampton,0.25,0.05
Jay Stansfield,Fulham,Wolverhampton,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.08,0.0,Fulham,False,Liverpool,0.06,-1.01
Jay Stansfield,Fulham,Liverpool,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.08,0.0,Fulham,True,Nottingham Forest,-2.94,
Jay Stansfield,Fulham,Nottingham Forest,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.08,0.0,Fulham,True,West Ham,3.48,
Jay Stansfield,Fulham,West Ham,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.08,0.0,Fulham,False,Newcastle United,0.12,
Jay Stansfield,Fulham,Newcastle United,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.08,0.0,Fulham,True,Burnley,,0.39
Jay Stansfield,Fulham,Burnley,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.08,0.0,Fulham,False,Bournemouth,3.26,0.19
Jay Stansfield,Fulham,Bournemouth,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.08,0.0,Fulham,True,Brentford,-2.09,0.79
Jay Stansfield,Fulham,Brentford,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.08,0.0,Fulham,True,Arsenal,3.29,-0.11
Jay Stansfield,Fulham,Arsenal,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.08,0.0,Fulham,False,Chelsea,-0.32,-0.85
