name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Taiwo Awoniyi,Nott'm Forest,Arsenal,2023-08-12,False,Sub,19,1.0,0.6,0.0,0.0,7,1.0,0.0,6.8,2,False,0.0,0.0,19.0,10.0,1.0,8.07,1.04,0.07,1.0,Nott'm Forest,False,Liverpool,1.21
Taiwo Awoniyi,Nott'm Forest,Liverpool,2023-10-29,False,Sub,21,0.0,0.0,0.0,0.0,1,0.0,0.0,0.1,0,False,7.0,0.6,20.0,10.0,1.0,8.07,1.04,0.07,2.0,Nott'm Forest,True,Aston Villa,-1.24
Taiwo Awoniyi,Nott'm Forest,Aston Villa,2023-11-05,True,FW,81,0.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0,True,4.0,0.3,40.33,10.0,1.0,8.07,1.04,0.07,6.0,Nott'm Forest,False,West Ham,5.53
Taiwo Awoniyi,Nott'm Forest,West Ham,2023-11-12,False,FW,75,1.0,1.03,0.0,0.0,6,3.0,0.0,8.2,0,True,3.33,0.2,49.0,10.0,1.0,8.07,1.04,0.07,0.0,Nott'm Forest,True,Brighton,-4.68
Taiwo Awoniyi,Nott'm Forest,Brighton,,True,,0,,,,,0,,,0.0,0,False,4.0,0.41,39.2,10.0,1.0,8.07,1.04,0.07,0.0,Nott'm Forest,True,Everton,0.17
Taiwo Awoniyi,Nott'm Forest,Everton,,True,,0,,,,,0,,,0.0,0,False,3.2,0.33,32.67,10.0,1.0,8.07,1.04,0.07,0.0,Nott'm Forest,False,Fulham,3.69
Taiwo Awoniyi,Nott'm Forest,Fulham,,False,,0,,,,,0,,,0.0,0,False,1.8,0.21,28.0,10.0,1.0,8.07,1.04,0.07,0.0,Nott'm Forest,False,Wolverhampton,1.27
Taiwo Awoniyi,Nott'm Forest,Wolverhampton,,False,,0,,,,,0,,,0.0,0,False,1.6,0.21,24.5,10.0,1.0,8.07,1.04,0.07,0.0,Nott'm Forest,True,Tottenham,5.64
Taiwo Awoniyi,Nott'm Forest,Tottenham,,True,,0,,,,,0,,,0.0,0,False,1.2,0.21,21.78,10.0,1.0,8.07,1.04,0.07,0.0,Nott'm Forest,True,Bournemouth,0.55
Taiwo Awoniyi,Nott'm Forest,Bournemouth,,True,,0,,,,,0,,,0.0,0,False,0.0,0.0,19.6,10.0,1.0,8.07,1.04,0.07,0.0,Nott'm Forest,False,Newcastle United,1.35
Taiwo Awoniyi,Nott'm Forest,Newcastle United,,False,,0,,,,,0,,,0.0,0,False,0.0,0.0,17.82,10.0,1.0,8.07,1.04,0.07,7.0,Nott'm Forest,True,Sheffield,
Taiwo Awoniyi,Nott'm Forest,Sheffield,2023-08-18,True,FW,83,1.0,0.46,0.0,0.08,7,1.0,2.0,8.1,1,True,0.0,0.0,23.25,10.0,1.0,8.07,1.04,0.07,0.0,Nott'm Forest,True,Manchester United,2.69
Taiwo Awoniyi,Nott'm Forest,Manchester United,,True,,0,,,,,0,,,0.0,0,False,1.4,0.09,21.46,10.0,1.0,8.07,1.04,0.07,0.0,Nott'm Forest,False,Brentford,1.0
Taiwo Awoniyi,Nott'm Forest,Brentford,,False,,0,,,,,0,,,0.0,0,False,1.4,0.09,19.93,10.0,1.0,8.07,1.04,0.07,5.0,Nott'm Forest,True,Arsenal,-2.77
Taiwo Awoniyi,Nott'm Forest,Arsenal,2024-01-30,True,Sub,45,1.0,0.44,0.0,0.0,5,3.0,0.0,7.2,0,False,1.4,0.09,21.6,10.0,1.0,8.07,1.04,0.07,2.0,Nott'm Forest,False,Bournemouth,1.05
