name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,clean_sheet_probability,saves_per_game,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,last_season_total_saves,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Zack Steffen,Man City,West Ham,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,True,Southampton,-1.98,-0.38
Zack Steffen,Man City,Southampton,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,False,Liverpool,-0.75,-1.33
Zack Steffen,Man City,Liverpool,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,True,Brighton,-3.14,-0.71
Zack Steffen,Man City,Brighton,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,False,Leeds United,-0.78,
Zack Steffen,Man City,Leeds United,2022-10-29,False,0,0,0.0,0,0,0,0,False,0.0,False,0.0,0.0,0.0,0,0,0,0,0,Man City,True,Fulham,,-0.3
Zack Steffen,Man City,Fulham,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,True,Brentford,-2.21,0.69
Zack Steffen,Man City,Brentford,2022-11-12,True,0,0,0.0,0,0,0,0,False,0.14,False,0.0,0.0,0.0,0,0,0,0,0,Man City,False,Leicester City,-4.33,
Zack Steffen,Man City,Leicester City,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,True,Everton,-2.28,0.34
Zack Steffen,Man City,Everton,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,False,Chelsea,-2.24,-0.72
Zack Steffen,Man City,Chelsea,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,True,Bournemouth,,1.46
Zack Steffen,Man City,Bournemouth,2022-08-13,True,0,0,0.0,0,0,0,0,False,0.0,False,0.0,0.0,0.0,0,0,0,0,0,Man City,False,Manchester United,-1.51,
Zack Steffen,Man City,Manchester United,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,True,Tottenham,6.86,1.07
Zack Steffen,Man City,Tottenham,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,True,Wolverhampton,-0.23,-0.48
Zack Steffen,Man City,Wolverhampton,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,False,Tottenham,0.63,-0.03
Zack Steffen,Man City,Tottenham,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,True,Aston Villa,0.75,
Zack Steffen,Man City,Aston Villa,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,False,Arsenal,-0.86,-0.0
Zack Steffen,Man City,Arsenal,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,False,Nottingham Forest,,
Zack Steffen,Man City,Nottingham Forest,2023-02-18,False,0,0,0.0,0,0,0,0,False,0.0,False,0.0,0.0,0.0,0,0,0,0,0,Man City,False,Bournemouth,,0.19
Zack Steffen,Man City,Bournemouth,2023-02-25,False,0,0,0.0,0,0,0,0,False,0.07,False,0.0,0.0,0.0,0,0,0,0,0,Man City,True,Newcastle United,-4.65,
Zack Steffen,Man City,Newcastle United,2023-03-04,True,0,0,0.0,0,0,0,0,False,0.0,False,0.0,0.0,0.0,0,0,0,0,0,Man City,False,Crystal Palace,-0.84,
Zack Steffen,Man City,Crystal Palace,2023-03-11,False,0,0,0.0,0,0,0,0,False,0.0,False,0.0,0.0,0.0,0,0,0,0,0,Man City,True,Liverpool,,-0.53
Zack Steffen,Man City,Liverpool,2023-04-01,True,0,0,0.0,0,0,0,0,False,0.0,False,0.0,0.0,0.0,0,0,0,0,0,Man City,False,Newcastle United,-2.55,
Zack Steffen,Man City,Newcastle United,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0,Man City,False,Southampton,,-1.07
Zack Steffen,Man City,Southampton,2023-04-08,False,0,0,0.0,0,0,0,0,False,0.0,False,0.0,0.0,0.0,0,0,0,0,0,Man City,True,Leeds United,0.66,
Zack Steffen,Man City,Leeds United,2023-04-15,True,0,0,0.0,0,0,0,0,False,0.0,False,0.0,0.0,0.0,0,0,0,0,0,Man City,True,Arsenal,-4.53,0.36
