name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,clean_sheet_probability,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points
Danny Ward,Leicester,Brentford,2022-08-07,True,90,2,0.0,1,0,1,0,False,0,False,0.0,0.0,0,0,0,1
Danny Ward,Leicester,Bournemouth,2022-10-08,False,90,2,0.0,2,0,1,0,False,0,False,1.0,0.0,0,0,0,6
Danny Ward,Leicester,Crystal Palace,2022-10-15,True,90,0,0.0,1,0,6,0,True,0,False,1.0,0.33,0,0,0,9
Danny Ward,Leicester,Leicester City,2022-10-20,True,90,0,0.0,2,0,9,3,True,0,False,2.67,0.5,0,0,0,8
Danny Ward,Leicester,Wolverhampton,2022-10-23,False,90,0,0.0,5,0,8,1,True,0,False,4.25,0.6,0,0,0,3
Danny Ward,Leicester,Manchester City,2022-10-29,True,90,1,0.0,4,0,3,0,False,0,False,5.0,0.5,0,0,0,6
Danny Ward,Leicester,Everton,2022-11-05,False,90,0,0.0,2,0,6,0,True,0,False,5.4,0.57,0,0,0,11
Danny Ward,Leicester,West Ham,2022-11-12,False,90,0,1.4,6,0,11,3,True,0,True,6.4,0.62,0,0,0,1
Danny Ward,Leicester,Newcastle United,2022-12-26,True,90,3,1.9,2,0,1,0,False,0,True,7.4,0.56,0,0,0,3
Danny Ward,Leicester,Liverpool,2022-12-30,False,90,2,2.12,5,0,3,1,False,0,True,5.8,0.5,0,0,0,2
Danny Ward,Leicester,Fulham,2023-01-03,True,90,1,1.73,1,0,2,0,False,0,True,4.8,0.45,0,0,0,1
Danny Ward,Leicester,Arsenal,2022-08-13,False,90,4,0.0,4,0,1,0,False,0,False,4.6,0.42,0,0,0,2
Danny Ward,Leicester,Nottingham Forest,2023-01-14,False,90,2,2.14,3,0,2,0,False,0,True,3.6,0.38,0,0,0,1
Danny Ward,Leicester,Brighton,2023-01-21,True,90,2,1.53,2,0,1,0,False,0,True,1.8,0.36,0,0,0,2
Danny Ward,Leicester,Aston Villa,2023-02-04,False,90,2,1.68,3,0,2,0,False,0,True,1.8,0.33,0,0,0,3
Danny Ward,Leicester,Tottenham,2023-02-11,True,90,1,1.28,3,0,3,0,False,0,True,1.6,0.31,0,0,0,2
Danny Ward,Leicester,Manchester United,2023-02-19,False,90,3,4.23,5,0,2,0,False,0,True,1.8,0.29,0,0,0,2
Danny Ward,Leicester,Arsenal,2023-02-25,True,90,1,0.64,1,0,2,0,False,0,True,2.0,0.28,0,0,0,11
Danny Ward,Leicester,Southampton,2023-03-04,False,90,1,1.38,4,1,11,3,False,0,True,2.0,0.26,0,0,0,2
Danny Ward,Leicester,Chelsea,2023-03-11,True,90,3,1.53,3,0,2,0,False,0,True,4.0,0.25,0,0,0,1
Danny Ward,Leicester,Southampton,2022-08-20,True,90,2,0.0,1,0,1,0,False,0,False,4.0,0.24,0,0,0,1
Danny Ward,Leicester,Chelsea,2022-08-27,False,90,2,0.0,1,0,1,0,False,0,False,3.6,0.23,0,0,0,2
Danny Ward,Leicester,Manchester United,2022-09-01,True,90,1,0.0,1,0,2,0,False,0,False,3.4,0.22,0,0,0,2
Danny Ward,Leicester,Brighton,2022-09-04,False,90,5,0.0,7,0,2,0,False,0,False,3.4,0.21,0,0,0,0
Danny Ward,Leicester,Tottenham,2022-09-17,False,90,6,0.0,5,0,0,0,False,0,False,1.6,0.2,0,0,0,8
Danny Ward,Leicester,Nottingham Forest,2022-10-03,True,90,0,0.0,3,0,8,1,True,0,False,1.2,0.23,0,0,0,
