name,team,opponent_team,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,starts,form,clean_sheet_probability,saves_per_game,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,last_season_total_saves,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Brandon Austin,Spurs,Southampton,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Brighton,-2.68
Brandon Austin,Spurs,Brighton,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Everton,-5.21
Brandon Austin,Spurs,Everton,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Manchester United,4.8
Brandon Austin,Spurs,Manchester United,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Newcastle United,-3.79
Brandon Austin,Spurs,Newcastle United,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Bournemouth,
Brandon Austin,Spurs,Bournemouth,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Liverpool,0.32
Brandon Austin,Spurs,Liverpool,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Leicester City,-0.2
Brandon Austin,Spurs,Leicester City,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Brentford,1.4
Brandon Austin,Spurs,Brentford,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Aston Villa,-0.44
Brandon Austin,Spurs,Aston Villa,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Crystal Palace,7.24
Brandon Austin,Spurs,Crystal Palace,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Chelsea,3.74
Brandon Austin,Spurs,Chelsea,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Arsenal,-2.81
Brandon Austin,Spurs,Arsenal,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Manchester City,-2.29
Brandon Austin,Spurs,Manchester City,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Fulham,
Brandon Austin,Spurs,Fulham,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Manchester City,-0.19
Brandon Austin,Spurs,Manchester City,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Leeds United,1.08
Brandon Austin,Spurs,Leeds United,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,West Ham,-1.58
Brandon Austin,Spurs,West Ham,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Chelsea,5.76
Brandon Austin,Spurs,Chelsea,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Wolverhampton,-1.1
Brandon Austin,Spurs,Wolverhampton,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Nottingham Forest,
Brandon Austin,Spurs,Nottingham Forest,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Southampton,-0.01
Brandon Austin,Spurs,Southampton,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Everton,-0.37
Brandon Austin,Spurs,Everton,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Wolverhampton,-0.85
Brandon Austin,Spurs,Wolverhampton,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Brighton,
Brandon Austin,Spurs,Brighton,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Bournemouth,
Brandon Austin,Spurs,Bournemouth,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Newcastle United,0.79
Brandon Austin,Spurs,Newcastle United,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Manchester United,5.3
Brandon Austin,Spurs,Manchester United,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Liverpool,
Brandon Austin,Spurs,Liverpool,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Crystal Palace,-3.09
Brandon Austin,Spurs,Crystal Palace,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Aston Villa,
Brandon Austin,Spurs,Aston Villa,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Brentford,-3.15
Brandon Austin,Spurs,Brentford,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Leicester City,
Brandon Austin,Spurs,Leicester City,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Nottingham Forest,-5.2
Brandon Austin,Spurs,Nottingham Forest,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,West Ham,2.68
Brandon Austin,Spurs,West Ham,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Fulham,-1.52
Brandon Austin,Spurs,Fulham,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,True,Leeds United,-5.34
Brandon Austin,Spurs,Leeds United,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Arsenal,2.45
Brandon Austin,Spurs,Arsenal,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,0,Spurs,False,Brentford,0.99
