name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,clean_sheet_probability,saves_per_game,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,last_season_total_saves,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Jordan Pickford,Everton,Chelsea,2022-08-06,True,90,1,0.0,5,0,3,0,False,0.0,False,0.0,0.0,5.0,0,0,0,0,1,Everton,True,Manchester United,-3.63
Jordan Pickford,Everton,Manchester United,2022-10-09,True,90,2,0.0,2,0,1,0,False,0.0,False,3.0,0.0,3.5,0,0,0,0,2,Everton,False,Tottenham,5.72
Jordan Pickford,Everton,Tottenham,2022-10-15,False,90,2,0.0,5,0,2,0,False,0.0,False,2.0,0.0,4.0,0,0,0,0,3,Everton,False,Newcastle United,2.79
Jordan Pickford,Everton,Newcastle United,2022-10-19,False,90,1,0.0,3,0,3,0,False,0.0,False,2.0,0.0,3.75,0,0,0,0,6,Everton,True,Crystal Palace,-2.12
Jordan Pickford,Everton,Crystal Palace,2022-10-22,True,90,0,0.0,2,0,6,0,True,0.0,False,2.25,0.2,3.4,0,0,0,0,11,Everton,False,Fulham,
Jordan Pickford,Everton,Fulham,2022-10-29,False,90,0,0.0,6,0,11,3,True,0.07,False,3.0,0.33,3.83,0,0,0,0,3,Everton,True,Leeds United,-2.66
Jordan Pickford,Everton,Leeds United,2022-11-05,True,90,2,0.0,6,0,3,0,False,0.0,False,4.6,0.29,4.14,0,0,0,0,2,Everton,False,Bournemouth,
Jordan Pickford,Everton,Bournemouth,2022-11-12,False,90,3,2.51,5,0,2,0,False,0.0,True,5.0,0.25,4.25,0,0,0,0,1,Everton,True,Wolverhampton,1.74
Jordan Pickford,Everton,Wolverhampton,2022-12-26,True,90,2,0.71,2,0,1,0,False,0.0,True,5.0,0.22,4.0,0,0,0,0,2,Everton,False,Manchester City,1.57
Jordan Pickford,Everton,Manchester City,2022-12-31,False,90,1,2.04,2,0,2,0,False,0.0,True,4.6,0.2,3.8,0,0,0,0,1,Everton,True,Brighton,-1.26
Jordan Pickford,Everton,Brighton,2023-01-03,True,90,4,2.2,4,0,1,0,False,0.0,True,3.8,0.18,3.82,0,0,0,0,1,Everton,False,Aston Villa,2.84
Jordan Pickford,Everton,Aston Villa,2022-08-13,False,90,2,0.0,1,0,1,0,False,0.0,False,1.8,0.17,3.58,0,0,0,0,2,Everton,True,Southampton,-6.12
Jordan Pickford,Everton,Southampton,2023-01-14,True,90,2,1.24,3,0,2,0,False,0.0,True,1.4,0.15,3.54,0,0,0,0,1,Everton,False,West Ham,2.96
Jordan Pickford,Everton,West Ham,2023-01-21,False,90,2,2.33,2,0,1,0,False,0.0,True,1.4,0.14,3.43,0,0,0,0,5,Everton,True,Arsenal,-2.74
