name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,clean_sheet_probability,saves_per_game,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,last_season_total_saves,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Robert Sánchez,Brighton,Manchester United,2022-08-07,False,90,1,0.0,5,0,4,1,False,0.0,False,0.0,0.0,5.0,0,0,0,0,2,Brighton,True,Tottenham,3.4,1.07
Robert Sánchez,Brighton,Tottenham,2022-10-08,True,90,1,0.0,2,0,2,0,False,0.0,False,4.0,0.0,3.5,0,0,0,0,1,Brighton,False,Brentford,-0.81,-0.55
Robert Sánchez,Brighton,Brentford,2022-10-14,False,90,2,0.0,0,0,1,0,False,0.0,False,3.0,0.0,2.33,0,0,0,0,6,Brighton,True,Nottingham Forest,,
Robert Sánchez,Brighton,Nottingham Forest,2022-10-18,True,90,0,0.0,0,0,6,0,True,0.0,False,2.33,0.25,1.75,0,0,0,0,1,Brighton,False,Manchester City,2.32,
Robert Sánchez,Brighton,Manchester City,2022-10-22,False,90,3,0.0,1,0,1,0,False,0.0,False,3.25,0.2,1.6,0,0,0,0,5,Brighton,True,Chelsea,-1.01,-0.25
Robert Sánchez,Brighton,Chelsea,2022-10-29,True,90,1,0.0,7,0,5,1,False,0.0,False,2.8,0.17,2.5,0,0,0,0,2,Brighton,False,Wolverhampton,-6.54,-0.46
Robert Sánchez,Brighton,Wolverhampton,2022-11-05,False,90,2,0.0,3,0,2,0,False,0.0,False,3.0,0.14,2.57,0,0,0,0,1,Brighton,True,Aston Villa,3.43,
Robert Sánchez,Brighton,Aston Villa,2022-11-13,True,90,2,1.49,0,0,1,0,False,0.0,True,3.0,0.12,2.25,0,0,0,0,9,Brighton,False,Southampton,-0.93,-1.07
Robert Sánchez,Brighton,Southampton,2022-12-26,False,90,1,1.91,3,1,9,2,False,0.0,True,3.0,0.11,2.33,0,0,0,0,1,Brighton,True,Arsenal,0.47,0.36
Robert Sánchez,Brighton,Arsenal,2022-12-31,True,90,4,2.88,3,0,1,0,False,0.0,True,3.6,0.1,2.4,0,0,0,0,3,Brighton,False,Everton,-1.22,-0.63
Robert Sánchez,Brighton,Everton,2023-01-03,False,90,1,1.31,3,0,3,0,False,0.0,True,3.6,0.09,2.45,0,0,0,0,6,Brighton,True,Newcastle United,-0.13,
Robert Sánchez,Brighton,Newcastle United,2022-08-13,True,90,0,0.0,1,0,6,0,True,0.0,False,3.2,0.17,2.33,0,0,0,0,7,Brighton,True,Liverpool,1.77,-0.53
Robert Sánchez,Brighton,Liverpool,2023-01-14,True,90,0,1.03,2,0,7,1,True,0.0,True,4.0,0.23,2.31,0,0,0,0,1,Brighton,False,Leeds United,-0.21,
Robert Sánchez,Brighton,Leeds United,2023-01-21,False,90,2,1.3,0,0,1,0,False,0.0,True,5.2,0.21,2.14,0,0,0,0,8,Brighton,True,Bournemouth,,1.46
Robert Sánchez,Brighton,Bournemouth,2023-02-04,True,90,0,1.34,2,0,8,2,True,0.0,True,3.6,0.27,2.13,0,0,0,0,2,Brighton,False,Crystal Palace,0.6,
Robert Sánchez,Brighton,Crystal Palace,2023-02-11,False,90,1,0.89,0,0,2,0,False,0.0,True,5.0,0.25,2.0,0,0,0,0,2,Brighton,True,Fulham,,-0.3
Robert Sánchez,Brighton,Fulham,2023-02-18,True,90,1,0.31,1,0,2,0,False,0.0,True,4.8,0.24,1.94,0,0,0,0,0,Brighton,True,West Ham,-2.91,
Robert Sánchez,Brighton,West Ham,,True,0,0,0.0,0,0,0,0,False,,False,4.0,0.24,1.83,0,0,0,0,0,Brighton,False,Leicester City,-1.63,
Robert Sánchez,Brighton,Leicester City,,False,0,0,0.0,0,0,0,0,False,,False,2.6,0.24,1.74,0,0,0,0,0,Brighton,True,Crystal Palace,-0.07,
Robert Sánchez,Brighton,Crystal Palace,,True,0,0,0.0,0,0,0,0,False,,False,2.4,0.24,1.65,0,0,0,0,0,Brighton,True,Brentford,-3.01,0.69
Robert Sánchez,Brighton,Brentford,,True,0,0,0.0,0,0,0,0,False,,False,0.8,0.24,1.57,0,0,0,0,0,Brighton,False,Bournemouth,,0.19
Robert Sánchez,Brighton,Bournemouth,,False,0,0,0.0,0,0,0,0,False,,False,0.4,0.24,1.5,0,0,0,0,8,Brighton,False,West Ham,-1.66,
Robert Sánchez,Brighton,West Ham,2022-08-21,False,90,0,0.0,3,0,8,1,True,0.0,False,0.0,0.28,1.57,0,0,0,0,0,Brighton,False,Tottenham,,-0.03
Robert Sánchez,Brighton,Tottenham,,False,0,0,0.0,0,0,0,0,False,,False,1.6,0.28,1.5,0,0,0,0,1,Brighton,False,Chelsea,-1.14,-0.72
Robert Sánchez,Brighton,Chelsea,2023-04-15,False,90,1,0.6,1,0,1,0,False,0.0,True,1.6,0.26,1.48,0,0,0,0,0,Brighton,False,Nottingham Forest,,
Robert Sánchez,Brighton,Nottingham Forest,,False,0,0,0.0,0,0,0,0,False,,False,1.8,0.26,1.42,0,0,0,0,0,Brighton,True,Wolverhampton,1.32,-0.48
Robert Sánchez,Brighton,Wolverhampton,,True,0,0,0.0,0,0,0,0,False,,False,1.8,0.26,1.37,0,0,0,0,0,Brighton,True,Manchester United,,
Robert Sánchez,Brighton,Manchester United,,True,0,0,0.0,0,0,0,0,False,,False,1.8,0.26,1.32,0,0,0,0,0,Brighton,True,Everton,3.86,0.34
Robert Sánchez,Brighton,Everton,,True,0,0,0.0,0,0,0,0,False,,False,0.2,0.26,1.28,0,0,0,0,0,Brighton,False,Arsenal,,-0.0
Robert Sánchez,Brighton,Arsenal,,False,0,0,0.0,0,0,0,0,False,,False,0.2,0.26,1.23,0,0,0,0,0,Brighton,False,Newcastle United,,
Robert Sánchez,Brighton,Newcastle United,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.26,1.19,0,0,0,0,0,Brighton,True,Southampton,,-0.38
Robert Sánchez,Brighton,Southampton,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.26,1.16,0,0,0,0,0,Brighton,True,Manchester City,5.78,
Robert Sánchez,Brighton,Manchester City,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.26,1.12,0,0,0,0,0,Brighton,False,Aston Villa,2.85,
Robert Sánchez,Brighton,Aston Villa,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.26,1.09,0,0,0,0,8,Brighton,True,Leicester City,-1.84,
Robert Sánchez,Brighton,Leicester City,2022-08-27,True,90,0,0.0,2,0,8,2,True,0.0,False,0.0,0.3,1.11,0,0,0,0,1,Brighton,False,Fulham,0.07,1.37
Robert Sánchez,Brighton,Fulham,2022-08-30,False,90,2,0.0,2,0,1,0,False,0.0,False,1.6,0.29,1.14,0,0,0,0,1,Brighton,True,Leeds United,-2.88,
Robert Sánchez,Brighton,Leeds United,2022-09-04,True,90,2,0.0,2,0,1,0,False,0.0,False,1.8,0.27,1.16,0,0,0,0,2,Brighton,False,Liverpool,-2.6,-1.33
Robert Sánchez,Brighton,Liverpool,2022-10-01,False,90,3,0.0,5,0,2,0,False,0.0,False,2.0,0.26,1.26,0,0,0,0,2,Chelsea,True,Liverpool,,-0.53
