name,team,opponent_team,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,starts,form,clean_sheet_probability,saves_per_game,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,last_season_total_saves,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Ederson Santana de Moraes,Man City,West Ham,False,90,0,0.0,1,0,7,1,True,False,0.0,1.0,1.0,0,0,0,0,6.0,Man City,True,Southampton,-1.98,-0.38
Ederson Santana de Moraes,Man City,Southampton,True,90,0,0.0,0,0,6,0,True,False,7.0,1.0,0.5,0,0,0,0,2.0,Man City,False,Liverpool,-0.75,-1.33
Ederson Santana de Moraes,Man City,Liverpool,False,90,1,0.0,1,0,2,0,False,False,6.5,0.67,0.67,0,0,0,0,5.0,Man City,True,Brighton,-3.14,-0.71
Ederson Santana de Moraes,Man City,Brighton,True,90,1,0.0,1,0,5,0,False,False,5.0,0.5,0.75,0,0,0,0,9.0,Man City,False,Leeds United,-0.78,
Ederson Santana de Moraes,Man City,Leeds United,False,90,0,0.0,5,0,9,2,True,False,5.0,0.6,1.6,0,0,0,0,2.0,Man City,True,Fulham,,-0.3
Ederson Santana de Moraes,Man City,Fulham,True,90,1,0.0,1,0,2,0,False,False,5.8,0.5,1.5,0,0,0,0,2.0,Man City,True,Brentford,-2.21,0.69
Ederson Santana de Moraes,Man City,Brentford,True,90,2,1.29,5,0,2,0,False,True,4.8,0.43,2.0,0,0,0,0,2.0,Man City,False,Leicester City,-4.33,
Ederson Santana de Moraes,Man City,Leicester City,False,90,1,0.59,0,0,2,0,False,True,4.0,0.38,1.75,0,0,0,0,2.0,Man City,True,Everton,-2.28,0.34
Ederson Santana de Moraes,Man City,Everton,True,90,1,0.09,0,0,2,0,False,True,4.0,0.33,1.56,0,0,0,0,8.0,Man City,False,Chelsea,-2.24,-0.72
Ederson Santana de Moraes,Man City,Chelsea,False,90,0,0.41,2,0,8,2,True,True,3.4,0.4,1.6,0,0,0,0,6.0,Man City,True,Bournemouth,,1.46
Ederson Santana de Moraes,Man City,Bournemouth,True,90,0,0.0,1,0,6,0,True,False,3.2,0.45,1.55,0,0,0,0,1.0,Man City,False,Manchester United,-1.51,
Ederson Santana de Moraes,Man City,Manchester United,False,90,2,1.75,1,0,1,0,False,True,4.0,0.42,1.5,0,0,0,0,1.0,Man City,True,Tottenham,6.86,1.07
Ederson Santana de Moraes,Man City,Tottenham,True,90,2,0.84,1,0,1,0,False,True,3.8,0.38,1.46,0,0,0,0,6.0,Man City,True,Wolverhampton,-0.23,-0.48
Ederson Santana de Moraes,Man City,Wolverhampton,True,90,0,0.83,1,0,6,0,True,True,3.6,0.43,1.43,0,0,0,0,1.0,Man City,False,Tottenham,0.63,-0.03
Ederson Santana de Moraes,Man City,Tottenham,False,90,1,1.48,2,0,1,0,False,True,4.4,0.4,1.47,0,0,0,0,2.0,Man City,True,Aston Villa,0.75,
Ederson Santana de Moraes,Man City,Aston Villa,True,90,1,0.28,1,0,2,0,False,True,3.0,0.38,1.44,0,0,0,0,1.0,Man City,False,Arsenal,-0.86,-0.0
