name,team,opponent_team,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,starts,form,clean_sheet_probability,saves_per_game,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,last_season_total_saves,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
José Malheiro de Sá,Wolves,Leicester City,False,90,2,0.0,3,0,2,0,False,False,0.0,0.0,3.0,0,0,0,0,2.0,Wolves,False,Chelsea,-1.63,-0.72
José Malheiro de Sá,Wolves,Chelsea,False,90,3,0.0,4,0,2,0,False,False,2.0,0.0,3.5,0,0,0,0,14.0,Wolves,True,Nottingham Forest,,
José Malheiro de Sá,Wolves,Nottingham Forest,True,90,0,0.0,2,1,14,3,True,False,2.0,0.33,3.0,0,0,0,0,1.0,Wolves,False,Crystal Palace,3.09,0.13
José Malheiro de Sá,Wolves,Crystal Palace,False,90,2,0.0,2,0,1,0,False,False,6.0,0.25,2.75,0,0,0,0,0.0,Wolves,True,Leeds United,-1.61,-0.79
José Malheiro de Sá,Wolves,Leeds United,True,90,4,0.0,0,0,0,0,False,False,4.75,0.2,2.2,0,0,0,0,2.0,Wolves,False,Brentford,-1.55,-0.55
José Malheiro de Sá,Wolves,Brentford,False,90,1,0.0,2,0,2,0,False,False,3.8,0.17,2.17,0,0,0,0,2.0,Wolves,True,Brighton,5.19,-0.71
José Malheiro de Sá,Wolves,Brighton,True,90,3,0.0,5,0,2,0,False,False,3.8,0.14,2.57,0,0,0,0,1.0,Wolves,True,Arsenal,1.59,0.36
José Malheiro de Sá,Wolves,Arsenal,True,90,2,1.81,1,0,1,0,False,True,3.8,0.12,2.38,0,0,0,0,3.0,Wolves,False,Everton,-1.05,-0.63
José Malheiro de Sá,Wolves,Everton,False,90,1,1.73,4,0,3,0,False,True,1.2,0.11,2.56,0,0,0,0,4.0,Wolves,True,Manchester United,-0.79,0.38
José Malheiro de Sá,Wolves,Manchester United,True,90,1,1.99,6,0,4,0,False,True,1.6,0.1,2.9,0,0,0,0,2.0,Wolves,False,Aston Villa,-2.09,0.59
José Malheiro de Sá,Wolves,Aston Villa,False,90,1,1.61,2,0,2,0,False,True,2.4,0.09,2.82,0,0,0,0,15.0,Wolves,True,Fulham,,-0.3
José Malheiro de Sá,Wolves,Fulham,True,90,0,0.0,3,1,15,3,True,False,2.4,0.17,2.83,0,0,0,0,10.0,Wolves,True,West Ham,-2.69,0.63
José Malheiro de Sá,Wolves,West Ham,True,90,0,1.02,3,0,10,3,True,True,5.0,0.23,2.85,0,0,0,0,2.0,Wolves,False,Manchester City,-0.09,-1.26
José Malheiro de Sá,Wolves,Manchester City,False,90,3,2.63,3,0,2,0,False,True,6.8,0.21,2.86,0,0,0,0,6.0,Wolves,True,Liverpool,0.37,-0.53
José Malheiro de Sá,Wolves,Liverpool,True,90,0,1.91,2,0,6,0,True,True,6.6,0.27,2.8,0,0,0,0,2.0,Wolves,False,Southampton,-2.8,-1.07
José Malheiro de Sá,Wolves,Southampton,False,90,1,1.14,1,0,2,0,False,True,7.0,0.25,2.69,0,0,0,0,2.0,Wolves,True,Bournemouth,,1.46
José Malheiro de Sá,Wolves,Bournemouth,True,90,1,1.01,0,0,2,0,False,True,7.0,0.24,2.53,0,0,0,0,3.0,Wolves,False,Fulham,,1.37
José Malheiro de Sá,Wolves,Fulham,False,90,1,0.47,4,0,3,0,False,True,4.4,0.22,2.61,0,0,0,0,2.0,Wolves,False,Liverpool,0.91,-1.33
José Malheiro de Sá,Wolves,Liverpool,False,90,2,2.51,4,0,2,0,False,True,3.0,0.21,2.68,0,0,0,0,11.0,Wolves,True,Tottenham,2.05,1.07
José Malheiro de Sá,Wolves,Tottenham,True,90,0,1.34,6,0,11,3,True,True,3.0,0.25,2.85,0,0,0,0,3.0,Wolves,False,Newcastle United,3.01,-0.34
José Malheiro de Sá,Wolves,Newcastle United,False,90,2,1.98,6,0,3,0,False,True,4.0,0.24,3.0,0,0,0,0,0.0,Wolves,True,Leicester City,,0.83
José Malheiro de Sá,Wolves,Leicester City,True,90,4,1.47,0,0,0,0,False,True,4.2,0.23,2.86,0,0,0,0,6.0,Wolves,False,Nottingham Forest,,
José Malheiro de Sá,Wolves,Nottingham Forest,False,90,1,1.26,6,0,6,2,False,True,3.8,0.22,3.0,0,0,0,0,3.0,Wolves,False,Tottenham,1.18,-0.03
José Malheiro de Sá,Wolves,Tottenham,False,90,1,0.0,3,0,3,0,False,False,4.4,0.21,3.0,0,0,0,0,6.0,Wolves,True,Chelsea,-1.03,-0.25
José Malheiro de Sá,Wolves,Chelsea,True,90,0,1.05,1,0,6,0,True,True,4.6,0.24,2.92,0,0,0,0,7.0,Wolves,True,Brentford,3.23,0.69
José Malheiro de Sá,Wolves,Brentford,True,90,0,1.18,3,0,7,0,True,True,3.6,0.27,2.92,0,0,0,0,1.0,Wolves,False,Leeds United,0.21,-0.8
José Malheiro de Sá,Wolves,Leeds United,False,90,2,2.42,5,0,1,0,False,True,4.4,0.26,3.0,0,0,0,0,8.0,Wolves,True,Crystal Palace,,0.81
José Malheiro de Sá,Wolves,Crystal Palace,True,90,0,0.75,4,0,8,2,True,True,4.6,0.29,3.04,0,0,0,0,-1.0,Wolves,False,Brighton,-1.83,-0.39
José Malheiro de Sá,Wolves,Brighton,False,90,6,3.28,2,0,-1,0,False,True,5.0,0.28,3.0,0,0,0,0,9.0,Wolves,True,Aston Villa,,0.55
José Malheiro de Sá,Wolves,Aston Villa,True,90,0,1.57,3,0,9,2,True,True,4.2,0.3,3.0,0,0,0,0,0.0,Wolves,False,Manchester United,-0.63,-0.1
José Malheiro de Sá,Wolves,Manchester United,False,0,0,0.0,0,0,0,0,False,False,4.8,0.3,2.9,0,0,0,0,0.0,Wolves,True,Everton,-1.31,0.34
José Malheiro de Sá,Wolves,Everton,True,0,0,0.0,0,0,0,0,False,False,3.4,0.3,2.81,0,0,0,0,1.0,Wolves,False,Arsenal,,-0.0
José Malheiro de Sá,Wolves,Arsenal,False,90,5,2.39,3,0,1,0,False,True,3.2,0.29,2.82,0,0,0,0,3.0,Wolves,True,Newcastle United,-1.69,0.73
José Malheiro de Sá,Wolves,Newcastle United,True,90,1,0.0,5,0,3,0,False,False,1.8,0.28,2.88,0,0,0,0,6.0,Wolves,False,Bournemouth,1.23,0.19
José Malheiro de Sá,Wolves,Bournemouth,False,90,0,0.0,2,0,6,0,True,False,2.6,0.3,2.86,0,0,0,0,6.0,Wolves,True,Southampton,-2.12,-0.38
José Malheiro de Sá,Wolves,Southampton,True,90,0,0.0,1,0,6,0,True,False,2.0,0.32,2.81,0,0,0,0,2.0,Wolves,True,Manchester City,3.44,-1.17
José Malheiro de Sá,Wolves,Manchester City,True,90,3,0.0,4,0,2,0,False,False,3.2,0.31,2.84,0,0,0,0,2.0,Wolves,False,West Ham,4.15,0.14
José Malheiro de Sá,Wolves,West Ham,False,90,2,0.0,3,0,2,0,False,False,3.6,0.31,2.84,0,0,0,0,,Nott'm Forest,False,Bournemouth,,0.19
