name,team,opponent_team,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,starts,form,clean_sheet_probability,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty,saves_per_game,last_season_total_saves
Thomas Strakosha,Brentford,Leeds United,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,False,Newcastle United,2.44,0.0,0
Thomas Strakosha,Brentford,Newcastle United,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,True,Brighton,-0.72,0.0,0
Thomas Strakosha,Brentford,Brighton,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,True,Chelsea,-0.25,0.0,0
Thomas Strakosha,Brentford,Chelsea,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,False,Aston Villa,2.08,0.0,0
Thomas Strakosha,Brentford,Aston Villa,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,True,Wolverhampton,2.5,0.0,0
Thomas Strakosha,Brentford,Wolverhampton,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,False,Nottingham Forest,1.35,0.0,0
Thomas Strakosha,Brentford,Nottingham Forest,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,False,Manchester City,-0.6,0.0,0
Thomas Strakosha,Brentford,Manchester City,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,True,Tottenham,-0.38,0.0,0
Thomas Strakosha,Brentford,Tottenham,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,False,West Ham,-0.27,0.0,0
Thomas Strakosha,Brentford,West Ham,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,True,Liverpool,-0.79,0.0,0
Thomas Strakosha,Brentford,Liverpool,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,True,Manchester United,-1.13,0.0,0
Thomas Strakosha,Brentford,Manchester United,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,True,Bournemouth,-0.5,0.0,0
Thomas Strakosha,Brentford,Bournemouth,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,False,Leicester City,-0.02,0.0,0
Thomas Strakosha,Brentford,Leicester City,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,True,Southampton,-4.06,0.0,0
Thomas Strakosha,Brentford,Southampton,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,False,Arsenal,0.3,0.0,0
Thomas Strakosha,Brentford,Arsenal,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,True,Crystal Palace,1.05,0.0,0
Thomas Strakosha,Brentford,Crystal Palace,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,True,Fulham,0.44,0.0,0
Thomas Strakosha,Brentford,Fulham,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,False,Everton,2.1,0.0,0
Thomas Strakosha,Brentford,Everton,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,False,Southampton,0.93,0.0,0
Thomas Strakosha,Brentford,Southampton,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,True,Leeds United,2.23,0.0,0
Thomas Strakosha,Brentford,Leeds United,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,False,Brighton,1.2,0.0,0
Thomas Strakosha,Brentford,Brighton,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,False,Manchester United,1.62,0.0,0
Thomas Strakosha,Brentford,Manchester United,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,False,Fulham,-1.2,0.0,0
Thomas Strakosha,Brentford,Fulham,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,True,Newcastle United,2.43,0.0,0
Thomas Strakosha,Brentford,Newcastle United,True,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,False,Wolverhampton,-1.6,0.0,0
Thomas Strakosha,Brentford,Wolverhampton,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0,0,0,0,Brentford,True,Aston Villa,0.51,0.0,0
