name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,clean_sheet_probability,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty,saves_per_game,last_season_total_saves
Joseph Anang,West Ham,Newcastle United,2023-02-04,False,0,0,0.0,0,0,0,0,False,0.0,False,0.0,0.0,0,0,0,0,West Ham,True,Chelsea,-2.62,0.0,0
Joseph Anang,West Ham,Chelsea,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,False,Tottenham,1.24,0.0,0
Joseph Anang,West Ham,Tottenham,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,True,Nottingham Forest,-3.27,0.0,0
Joseph Anang,West Ham,Nottingham Forest,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,False,Brighton,0.97,0.0,0
Joseph Anang,West Ham,Brighton,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,True,Aston Villa,-0.86,0.0,0
Joseph Anang,West Ham,Aston Villa,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,True,Southampton,0.91,0.0,0
Joseph Anang,West Ham,Southampton,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,True,Newcastle United,1.05,0.0,0
Joseph Anang,West Ham,Newcastle United,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,False,Fulham,1.3,0.0,0
Joseph Anang,West Ham,Fulham,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,True,Arsenal,2.39,0.0,0
Joseph Anang,West Ham,Arsenal,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,False,Bournemouth,-3.46,0.0,0
Joseph Anang,West Ham,Bournemouth,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,True,Liverpool,-1.57,0.0,0
Joseph Anang,West Ham,Liverpool,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,False,Crystal Palace,0.59,0.0,0
Joseph Anang,West Ham,Crystal Palace,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,False,Manchester City,1.66,0.0,0
Joseph Anang,West Ham,Manchester City,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,True,Manchester United,-1.91,0.0,0
Joseph Anang,West Ham,Manchester United,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,False,Brentford,3.32,0.0,0
Joseph Anang,West Ham,Brentford,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,True,Leicester City,0.16,0.0,0
Joseph Anang,West Ham,Leicester City,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0,0,0,0,West Ham,False,Leeds United,1.87,0.0,0
Joseph Anang,West Ham,Leeds United,2023-05-28,False,0,0,0.0,0,0,0,0,False,0.0,False,0.0,0.0,0,0,0,0,West Ham,False,Bournemouth,-3.46,0.0,0
