name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,clean_sheet_probability,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points
Bernd Leno,Fulham,West Ham,2022-10-09,False,90,3,0.0,5,0,2,0,False,0.0,False,0.0,0.0,0,0,0,2
Bernd Leno,Fulham,Bournemouth,2022-10-15,True,90,2,0.0,4,0,2,0,False,0.0,False,2.0,0.0,0,0,0,11
Bernd Leno,Fulham,Aston Villa,2022-10-20,True,90,0,0.0,6,0,11,3,True,0.0,False,2.0,0.33,0,0,0,2
Bernd Leno,Fulham,Leicester City,2022-10-23,False,90,2,0.0,3,0,2,0,False,0.0,False,5.0,0.25,0,0,0,10
Bernd Leno,Fulham,Everton,2022-10-29,True,90,0,0.0,4,0,10,3,True,0.0,False,4.25,0.4,0,0,0,2
Bernd Leno,Fulham,Manchester City,2022-11-05,False,90,2,0.0,3,0,2,0,False,0.0,False,5.4,0.33,0,0,0,5
Bernd Leno,Fulham,Manchester United,2022-11-13,True,90,2,2.58,8,0,5,2,False,0.0,True,5.4,0.29,0,0,0,6
Bernd Leno,Fulham,Crystal Palace,2022-12-26,False,90,0,0.4,0,0,6,0,True,0.0,True,6.0,0.38,0,0,0,2
Bernd Leno,Fulham,Southampton,2022-12-31,True,90,1,0.79,2,0,2,0,False,0.0,True,5.0,0.33,0,0,0,10
Bernd Leno,Fulham,Leeds United,2023-01-03,False,90,0,1.69,6,0,10,3,True,0.0,True,5.0,0.4,0,0,0,4
Bernd Leno,Fulham,Chelsea,2023-01-12,True,90,1,2.13,9,0,4,0,False,0.0,True,5.0,0.36,0,0,0,3
Bernd Leno,Fulham,Newcastle United,2023-01-15,False,90,1,2.13,4,0,3,0,False,0.0,True,5.4,0.33,0,0,0,2
Bernd Leno,Fulham,Tottenham,2023-01-23,True,90,1,0.9,2,0,2,0,False,0.0,True,5.0,0.31,0,0,0,6
Bernd Leno,Fulham,Chelsea,2023-02-03,False,90,0,1.54,2,0,6,0,True,0.0,True,4.2,0.36,0,0,0,6
Bernd Leno,Fulham,Nottingham Forest,2023-02-11,True,90,0,0.67,1,0,6,0,True,0.0,True,5.0,0.4,0,0,0,11
Bernd Leno,Fulham,Brighton,2023-02-18,False,90,0,2.2,7,0,11,3,True,0.0,True,4.2,0.44,0,0,0,2
Bernd Leno,Fulham,Wolverhampton,2023-02-24,True,90,1,0.8,1,0,2,0,False,0.0,True,5.6,0.41,0,0,0,2
Bernd Leno,Fulham,Brentford,2023-03-06,False,90,3,2.34,3,0,2,0,False,0.0,True,5.4,0.39,0,0,0,2
Bernd Leno,Fulham,Arsenal,2023-03-12,True,90,3,2.38,4,0,2,0,False,0.0,True,5.4,0.37,0,0,0,2
Bernd Leno,Fulham,Bournemouth,2023-04-01,False,90,2,2.32,4,0,2,0,False,0.0,True,4.6,0.35,0,0,0,2
Bernd Leno,Fulham,Brentford,2022-08-20,True,90,2,0.0,3,0,2,0,False,0.0,False,3.8,0.33,0,0,0,3
Bernd Leno,Fulham,West Ham,2023-04-08,True,90,1,1.09,5,0,3,0,False,0.0,True,2.0,0.32,0,0,0,3
Bernd Leno,Fulham,Everton,2023-04-15,False,90,1,1.31,6,0,3,0,False,0.0,True,2.2,0.3,0,0,0,2
Bernd Leno,Fulham,Leicester City,2023-04-22,True,90,1,0.89,2,0,2,0,False,0.0,True,2.4,0.29,0,0,0,2
Bernd Leno,Fulham,Aston Villa,2023-04-25,False,90,1,0.97,2,0,2,0,False,0.0,True,2.4,0.28,0,0,0,3
Bernd Leno,Fulham,Manchester City,2023-04-30,True,90,2,2.59,7,0,3,0,False,0.0,True,2.4,0.27,0,0,0,2
Bernd Leno,Fulham,Liverpool,2023-05-03,False,90,1,1.73,2,0,2,0,False,0.0,True,2.6,0.26,0,0,0,9
Bernd Leno,Fulham,Leeds United,2023-05-08,True,90,3,2.84,6,1,9,1,False,0.0,True,2.4,0.25,0,0,0,8
Bernd Leno,Fulham,Southampton,2023-05-13,False,90,0,0.25,1,0,8,2,True,0.0,True,3.6,0.28,0,0,0,2
Bernd Leno,Fulham,Crystal Palace,2023-05-20,True,90,2,1.62,3,0,2,0,False,0.0,True,4.8,0.27,0,0,0,3
Bernd Leno,Fulham,Manchester United,2023-05-28,False,90,2,2.71,6,0,3,0,False,0.0,True,4.8,0.26,0,0,0,3
Bernd Leno,Fulham,Arsenal,2022-08-27,False,90,2,0.0,6,0,3,0,False,0.0,False,4.8,0.25,0,0,0,2
Bernd Leno,Fulham,Brighton,2022-08-30,True,90,1,0.0,2,0,2,0,False,0.03,False,5.0,0.24,0,0,0,3
Bernd Leno,Fulham,Tottenham,2022-09-03,False,90,2,0.0,8,0,3,0,False,0.0,False,3.6,0.24,0,0,0,1
Bernd Leno,Fulham,Nottingham Forest,2022-09-16,False,90,2,0.0,1,0,1,0,False,0.0,False,2.6,0.23,0,0,0,2
Bernd Leno,Fulham,Newcastle United,2022-10-01,True,90,4,0.0,6,0,2,0,False,0.0,False,2.4,0.22,0,0,0,12
