name,team,opponent_team,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,starts,form,clean_sheet_probability,saves_per_game,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,last_season_total_saves,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Kepa Arrizabalaga,Chelsea,Everton,False,0,0,0.0,0,0,0,0,False,False,0.0,0.0,0.0,0,0,0,0,6.0,Chelsea,True,Wolverhampton,2.42
Kepa Arrizabalaga,Chelsea,Wolverhampton,True,90,0,0.0,2,0,6,0,True,False,0.0,1.0,1.0,0,0,0,0,10.0,Chelsea,False,Aston Villa,-1.51
Kepa Arrizabalaga,Chelsea,Aston Villa,False,90,0,0.0,7,0,10,2,True,False,3.0,1.0,3.0,0,0,0,0,8.0,Chelsea,False,Brentford,-0.66
Kepa Arrizabalaga,Chelsea,Brentford,False,90,0,0.0,5,0,8,1,True,False,5.33,1.0,3.5,0,0,0,0,3.0,Chelsea,True,Manchester United,-0.06
Kepa Arrizabalaga,Chelsea,Manchester United,True,90,1,0.0,5,0,3,0,False,False,6.0,0.75,3.8,0,0,0,0,0.0,Chelsea,False,Brighton,0.05
Kepa Arrizabalaga,Chelsea,Brighton,False,45,3,0.0,1,0,0,0,False,False,5.4,0.75,3.33,0,0,0,0,0.0,Chelsea,True,Arsenal,5.81
Kepa Arrizabalaga,Chelsea,Arsenal,True,0,0,0.0,0,0,0,0,False,False,5.4,0.75,2.86,0,0,0,0,0.0,Chelsea,False,Newcastle United,-1.55
Kepa Arrizabalaga,Chelsea,Newcastle United,False,0,0,0.0,0,0,0,0,False,False,4.2,0.75,2.5,0,0,0,0,9.0,Chelsea,True,Bournemouth,
Kepa Arrizabalaga,Chelsea,Bournemouth,True,90,0,0.53,4,0,9,2,True,True,2.2,0.8,2.67,0,0,0,0,3.0,Chelsea,False,Nottingham Forest,
Kepa Arrizabalaga,Chelsea,Nottingham Forest,False,90,1,1.2,4,0,3,0,False,True,2.4,0.67,2.8,0,0,0,0,2.0,Chelsea,True,Manchester City,1.05
Kepa Arrizabalaga,Chelsea,Manchester City,True,90,1,2.08,2,0,2,0,False,True,2.4,0.57,2.73,0,0,0,0,1.0,Chelsea,False,Fulham,
Kepa Arrizabalaga,Chelsea,Fulham,False,90,2,0.83,1,0,1,0,False,True,2.8,0.5,2.58,0,0,0,0,0.0,Chelsea,True,Tottenham,-1.77
Kepa Arrizabalaga,Chelsea,Tottenham,True,0,0,0.0,0,0,0,0,False,False,3.0,0.5,2.38,0,0,0,0,10.0,Chelsea,True,Crystal Palace,0.31
Kepa Arrizabalaga,Chelsea,Crystal Palace,True,90,0,0.58,5,0,10,3,True,True,3.0,0.56,2.57,0,0,0,0,9.0,Chelsea,False,Liverpool,0.32
Kepa Arrizabalaga,Chelsea,Liverpool,False,90,0,1.4,3,0,9,2,True,True,3.2,0.6,2.6,0,0,0,0,10.0,Chelsea,True,Fulham,
Kepa Arrizabalaga,Chelsea,Fulham,True,90,0,0.67,4,0,10,3,True,True,4.4,0.64,2.69,0,0,0,0,2.0,Chelsea,False,West Ham,4.47
Kepa Arrizabalaga,Chelsea,West Ham,False,90,1,1.29,1,0,2,0,False,True,6.0,0.58,2.59,0,0,0,0,2.0,Chelsea,True,Southampton,-1.13
Kepa Arrizabalaga,Chelsea,Southampton,True,90,1,0.83,3,0,2,0,False,True,6.2,0.54,2.61,0,0,0,0,1.0,Chelsea,False,Tottenham,-1.69
Kepa Arrizabalaga,Chelsea,Tottenham,False,90,2,0.71,1,0,1,0,False,True,6.6,0.5,2.53,0,0,0,0,6.0,Chelsea,True,Leicester City,1.12
Kepa Arrizabalaga,Chelsea,Leicester City,True,90,0,0.94,2,0,6,0,True,True,4.8,0.53,2.5,0,0,0,0,3.0,Chelsea,False,Leeds United,-3.0
Kepa Arrizabalaga,Chelsea,Leeds United,False,90,1,2.35,5,0,3,0,False,True,4.2,0.5,2.62,0,0,0,0,1.0,Chelsea,True,Everton,1.01
Kepa Arrizabalaga,Chelsea,Everton,True,90,2,1.43,1,0,1,0,False,True,2.8,0.47,2.55,0,0,0,0,1.0,Chelsea,True,Aston Villa,-2.49
Kepa Arrizabalaga,Chelsea,Aston Villa,True,90,2,0.81,0,0,1,0,False,True,2.6,0.44,2.43,0,0,0,0,7.0,Chelsea,True,Liverpool,
Kepa Arrizabalaga,Chelsea,Liverpool,True,90,0,0.35,3,0,7,0,True,True,2.4,0.47,2.46,0,0,0,0,0.0,Chelsea,False,Leicester City,5.06
Kepa Arrizabalaga,Chelsea,Leicester City,False,0,0,0.0,0,0,0,0,False,False,3.6,0.47,2.36,0,0,0,0,3.0,Chelsea,False,Wolverhampton,0.77
Kepa Arrizabalaga,Chelsea,Wolverhampton,False,90,1,0.56,3,0,3,0,False,True,2.4,0.45,2.38,0,0,0,0,6.0,Chelsea,True,Brighton,
Kepa Arrizabalaga,Chelsea,Brighton,True,90,2,2.28,9,0,6,2,False,True,2.4,0.43,2.63,0,0,0,0,1.0,Chelsea,True,Brentford,
Kepa Arrizabalaga,Chelsea,Brentford,True,90,2,1.05,0,0,1,0,False,True,3.4,0.41,2.54,0,0,0,0,3.0,Chelsea,False,Arsenal,-1.77
Kepa Arrizabalaga,Chelsea,Arsenal,False,90,3,2.11,6,0,3,0,False,True,3.4,0.39,2.66,0,0,0,0,3.0,Chelsea,False,Bournemouth,
Kepa Arrizabalaga,Chelsea,Bournemouth,False,90,1,1.26,3,0,3,0,False,True,2.6,0.38,2.67,0,0,0,0,0.0,Chelsea,True,Nottingham Forest,
Kepa Arrizabalaga,Chelsea,Nottingham Forest,True,0,0,0.0,0,0,0,0,False,False,3.2,0.38,2.58,0,0,0,0,2.0,Chelsea,False,Manchester City,
Kepa Arrizabalaga,Chelsea,Manchester City,False,90,1,1.09,1,0,2,0,False,True,2.6,0.36,2.53,0,0,0,0,1.0,Chelsea,False,Manchester United,
Kepa Arrizabalaga,Chelsea,Manchester United,False,90,4,5.13,5,0,1,0,False,True,1.8,0.35,2.61,0,0,0,0,3.0,Chelsea,True,Newcastle United,
Kepa Arrizabalaga,Chelsea,Newcastle United,True,90,1,1.7,3,0,3,0,False,True,1.8,0.33,2.62,0,0,0,0,0.0,Chelsea,True,Leeds United,-3.8
Kepa Arrizabalaga,Chelsea,Leeds United,True,0,0,0.0,0,0,0,0,False,False,1.8,0.33,2.54,0,0,0,0,0.0,Chelsea,False,Southampton,0.63
Kepa Arrizabalaga,Chelsea,Southampton,False,0,0,0.0,0,0,0,0,False,False,1.2,0.33,2.47,0,0,0,0,0.0,Chelsea,True,West Ham,-1.25
Kepa Arrizabalaga,Chelsea,West Ham,True,0,0,0.0,0,0,0,0,False,False,1.2,0.33,2.41,0,0,0,0,2.0,Chelsea,False,Crystal Palace,-1.84
Kepa Arrizabalaga,Chelsea,Crystal Palace,False,90,1,0.0,2,0,2,0,False,False,0.8,0.32,2.39,0,0,0,0,,Nott'm Forest,False,Bournemouth,
