name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,total_points,was_home
Cristian Romero,DEF,Spurs,0,0,0,0.0,2021-12-19,0,Liverpool,0,0,True
Cristian Romero,DEF,Spurs,0,0,0,0.0,2021-12-26,0,Crystal Palace,0,0,True
Cristian Romero,DEF,Spurs,0,0,0,0.0,2021-08-15,1,Manchester City,0,1,True
Cristian Romero,DEF,Spurs,0,0,0,0.0,2021-08-22,0,Wolverhampton,0,0,False
Cristian Romero,DEF,Spurs,0,0,0,0.0,2021-12-02,0,Brentford,0,0,True
Cristian Romero,DEF,Spurs,0,0,3,1.8,2021-10-30,90,Manchester United,0,0,True
Cristian Romero,DEF,Spurs,3,1,0,3.5,2021-11-07,90,Everton,0,8,False
Cristian Romero,DEF,Spurs,0,0,0,0.0,2021-12-05,0,Norwich,0,0,True
Cristian Romero,DEF,Spurs,0,0,0,0.0,2021-11-21,0,Leicester City,0,0,True
Cristian Romero,DEF,Spurs,0,0,0,0.0,2021-12-28,0,Southampton,0,0,False
Cristian Romero,DEF,Spurs,0,0,1,3.6,2022-03-20,90,West Ham,0,2,True
Cristian Romero,DEF,Spurs,0,0,3,2.6,2022-02-09,90,Southampton,0,0,True
Cristian Romero,DEF,Spurs,0,0,0,0.0,2022-01-23,0,Chelsea,0,0,False
Cristian Romero,DEF,Spurs,0,0,2,4.0,2022-02-13,90,Wolverhampton,0,1,True
Cristian Romero,DEF,Spurs,0,0,0,0.0,2021-08-29,0,Watford,0,0,True
Cristian Romero,DEF,Spurs,0,0,0,0.0,2022-01-01,0,Watford,0,0,False
Cristian Romero,DEF,Spurs,0,0,0,0.0,2022-01-19,0,Leeds United,0,0,False
Cristian Romero,DEF,Spurs,0,0,2,2.2,2022-02-19,90,Manchester City,0,0,False
Cristian Romero,DEF,Spurs,0,0,1,5.6,2022-02-23,90,Burnley,0,2,False
Cristian Romero,DEF,Spurs,0,0,3,3.2,2022-03-12,90,Manchester United,0,1,False
Cristian Romero,DEF,Spurs,3,1,0,9.3,2022-03-16,90,Brighton,0,14,False
Cristian Romero,DEF,Spurs,1,1,0,3.3,2022-02-26,90,Leicester City,0,7,False
Cristian Romero,DEF,Spurs,0,0,0,1.0,2022-03-07,51,Everton,0,0,True
Cristian Romero,DEF,Spurs,0,0,1,3.1,2022-04-03,90,Newcastle United,0,2,True
Cristian Romero,DEF,Spurs,0,1,0,3.3,2022-04-09,90,Aston Villa,0,6,False
Cristian Romero,DEF,Spurs,0,0,0,0.0,2022-05-22,0,Norwich,0,0,False
Cristian Romero,DEF,Spurs,0,0,0,0.0,2021-09-11,0,Crystal Palace,0,0,False
Cristian Romero,DEF,Spurs,0,0,1,3.2,2022-05-01,90,Leeds United,0,2,True
Cristian Romero,DEF,Spurs,0,0,1,2.6,2022-05-07,90,Liverpool,0,2,False
Cristian Romero,DEF,Spurs,0,0,0,0.0,2022-05-12,0,Arsenal,0,0,True
Cristian Romero,DEF,Spurs,0,0,1,2.3,2022-04-16,90,Brighton,0,2,True
Cristian Romero,DEF,Spurs,3,1,0,4.6,2022-04-23,90,Brentford,0,9,False
Cristian Romero,DEF,Spurs,0,0,2,2.5,2021-09-19,82,Chelsea,0,1,True
Cristian Romero,DEF,Spurs,0,0,0,0.0,2022-05-15,0,Burnley,0,0,True
Cristian Romero,DEF,Spurs,0,0,0,0.0,2021-09-26,0,Arsenal,0,0,False
Cristian Romero,DEF,Spurs,0,0,1,2.7,2021-10-03,90,Aston Villa,0,1,True
Cristian Romero,DEF,Spurs,0,0,2,3.4,2021-10-17,90,Newcastle United,0,1,False
Cristian Romero,DEF,Spurs,0,0,1,2.1,2021-10-24,90,West Ham,0,1,False
