name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,total_points,was_home
Adam Idah,FWD,Norwich,0,3.6,2021-12-14,29,Aston Villa,1,True
Adam Idah,FWD,Norwich,0,0.7,2021-12-26,18,Arsenal,1,True
Adam Idah,FWD,Norwich,0,3.7,2021-08-14,13,Liverpool,1,True
Adam Idah,FWD,Norwich,0,0.0,2021-08-21,0,Manchester City,0,False
Adam Idah,FWD,Norwich,0,0.0,2021-12-11,0,Manchester United,0,True
Adam Idah,FWD,Norwich,0,0.0,2021-11-27,0,Wolverhampton,0,True
Adam Idah,FWD,Norwich,0,0.4,2021-11-30,23,Newcastle United,1,False
Adam Idah,FWD,Norwich,0,0.1,2021-11-06,1,Brentford,1,False
Adam Idah,FWD,Norwich,0,0.0,2021-11-20,0,Southampton,0,True
Adam Idah,FWD,Norwich,0,0.0,2021-10-31,13,Leicester City,1,True
Adam Idah,FWD,Norwich,0,1.7,2021-12-05,68,Tottenham,2,False
Adam Idah,FWD,Norwich,0,3.6,2021-12-28,90,Crystal Palace,2,False
Adam Idah,FWD,Norwich,0,6.8,2022-01-12,74,West Ham,2,False
Adam Idah,FWD,Norwich,3,9.1,2022-01-15,90,Everton,9,True
Adam Idah,FWD,Norwich,0,0.0,2022-02-25,0,Southampton,0,False
Adam Idah,FWD,Norwich,0,0.0,2022-04-02,0,Brighton,0,False
Adam Idah,FWD,Norwich,0,4.1,2022-02-09,83,Crystal Palace,5,True
Adam Idah,FWD,Norwich,0,0.3,2021-08-28,11,Leeds United,1,True
Adam Idah,FWD,Norwich,0,0.0,2022-02-12,0,Manchester City,0,True
Adam Idah,FWD,Norwich,0,1.8,2022-01-21,90,Watford,5,False
Adam Idah,FWD,Norwich,0,0.0,2022-04-10,0,Burnley,0,True
Adam Idah,FWD,Norwich,0,0.0,2022-03-13,0,Leicester City,0,False
Adam Idah,FWD,Norwich,0,0.0,2022-02-19,0,Liverpool,0,False
Adam Idah,FWD,Norwich,0,0.0,2022-03-05,0,Brentford,0,True
Adam Idah,FWD,Norwich,0,0.0,2022-03-10,0,Chelsea,0,True
Adam Idah,FWD,Norwich,0,0.0,2022-04-16,0,Manchester United,0,False
Adam Idah,FWD,Norwich,0,0.0,2022-04-23,0,Newcastle United,0,True
Adam Idah,FWD,Norwich,0,0.0,2022-04-30,0,Aston Villa,0,False
Adam Idah,FWD,Norwich,0,0.0,2022-05-15,0,Wolverhampton,0,False
Adam Idah,FWD,Norwich,0,1.9,2021-09-11,10,Arsenal,1,False
Adam Idah,FWD,Norwich,0,0.0,2022-05-22,0,Tottenham,0,True
Adam Idah,FWD,Norwich,0,0.1,2021-09-18,2,Watford,1,True
Adam Idah,FWD,Norwich,0,0.0,2021-09-25,0,Everton,0,False
Adam Idah,FWD,Norwich,0,0.4,2021-10-02,1,Burnley,1,False
Adam Idah,FWD,Norwich,0,0.2,2021-10-16,1,Brighton,1,True
Adam Idah,FWD,Norwich,0,0.0,2021-10-23,0,Chelsea,0,False
Adam Idah,FWD,Norwich,0,0.0,2022-05-08,0,West Ham,0,True
Adam Idah,FWD,Norwich,0,0.0,2022-05-11,0,Leeds United,0,False
