name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,total_points,was_home
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2021-12-26,0,Manchester City,0,0,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,3,1,0,5.1,2021-08-14,90,Wolverhampton,0,12,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,4,2.0,2021-08-23,90,West Ham,0,-1,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2021-12-12,0,Newcastle United,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2021-11-28,0,Watford,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2021-12-01,0,Southampton,0,0,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,1,2.4,2021-11-07,90,Leicester City,0,2,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2021-11-20,0,Chelsea,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2021-10-30,0,Arsenal,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2021-12-05,0,Aston Villa,0,0,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2021-12-28,0,Liverpool,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2022-03-20,0,Brentford,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2022-01-19,0,Tottenham,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2022-02-10,0,Liverpool,0,0,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,4.0,2022-03-01,45,Burnley,0,1,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,2.8,2021-08-28,10,Norwich,0,4,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,2,10.6,2022-02-13,90,West Ham,0,6,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2022-01-23,0,Brighton,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2022-04-02,0,Manchester United,0,0,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,2,6.0,2022-02-20,90,Wolverhampton,0,0,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,2,1.0,2022-03-13,60,Arsenal,0,1,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2022-03-05,0,Leicester City,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2022-04-10,0,Crystal Palace,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2022-05-15,0,Watford,0,0,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2022-05-19,0,Chelsea,0,0,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2022-05-01,0,Tottenham,0,0,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2022-04-17,0,Newcastle United,0,0,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,1,1.5,2022-04-20,90,Everton,0,2,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2022-04-23,0,Aston Villa,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2021-09-11,0,Manchester City,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,1,0.0,2022-05-22,20,Southampton,0,4,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,2,5.4,2021-09-19,90,Brighton,0,1,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,2,2.2,2021-09-25,45,Burnley,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2021-10-03,0,Crystal Palace,0,0,False
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,2,3.2,2021-10-16,90,Manchester United,0,1,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2022-05-08,0,Everton,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,0,0.0,2022-05-11,0,Norwich,0,0,True
Ricardo Domingos Barbosa Pereira,DEF,Leicester,0,0,1,3.9,2021-10-24,90,Brentford,0,2,False
