name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,total_points,was_home
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2022-02-26,0,Manchester City,0,True
Dominic Calvert-Lewin,FWD,Everton,0,5.1,2022-01-02,90,Brighton,0,True
Dominic Calvert-Lewin,FWD,Everton,0,3.6,2022-01-15,90,Norwich,2,False
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2021-12-16,0,Chelsea,0,False
Dominic Calvert-Lewin,FWD,Everton,1,14.7,2021-08-21,89,Leicester City,7,False
Dominic Calvert-Lewin,FWD,Everton,1,12.0,2021-08-14,90,Southampton,7,True
Dominic Calvert-Lewin,FWD,Everton,3,7.0,2021-08-28,69,Brighton,9,False
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2021-12-12,0,Crystal Palace,0,False
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2021-11-28,0,Brentford,0,False
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2022-02-08,0,Newcastle United,0,False
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2021-12-01,0,Liverpool,0,True
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2021-11-01,0,Wolverhampton,0,False
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2021-11-21,0,Manchester City,0,False
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2021-12-06,0,Arsenal,0,True
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2021-11-07,0,Tottenham,0,True
Dominic Calvert-Lewin,FWD,Everton,0,5.8,2022-02-12,71,Leicester City,2,True
Dominic Calvert-Lewin,FWD,Everton,0,3.9,2022-01-22,90,Aston Villa,1,True
Dominic Calvert-Lewin,FWD,Everton,0,1.9,2022-04-03,77,West Ham,2,False
Dominic Calvert-Lewin,FWD,Everton,0,2.0,2022-04-06,90,Burnley,2,False
Dominic Calvert-Lewin,FWD,Everton,0,0.3,2022-04-09,70,Manchester United,2,True
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2022-03-13,0,Wolverhampton,0,True
Dominic Calvert-Lewin,FWD,Everton,0,3.0,2022-03-17,14,Newcastle United,4,True
Dominic Calvert-Lewin,FWD,Everton,0,3.1,2022-03-07,68,Tottenham,2,False
Dominic Calvert-Lewin,FWD,Everton,0,3.1,2022-02-19,90,Southampton,1,False
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2022-04-20,0,Leeds United,0,True
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2022-05-01,0,Chelsea,0,True
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2022-04-24,0,Liverpool,0,False
Dominic Calvert-Lewin,FWD,Everton,2,7.3,2022-05-15,90,Brentford,8,True
Dominic Calvert-Lewin,FWD,Everton,3,6.8,2022-05-19,90,Crystal Palace,9,True
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2021-09-18,0,Aston Villa,0,False
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2021-09-13,0,Burnley,0,True
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2021-09-25,0,Norwich,0,True
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2021-10-02,0,Manchester United,0,False
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2022-05-22,90,Arsenal,5,False
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2021-10-17,0,West Ham,0,True
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2021-10-23,0,Watford,0,True
Dominic Calvert-Lewin,FWD,Everton,0,0.0,2022-05-08,0,Leeds United,0,False
Dominic Calvert-Lewin,FWD,Everton,0,0.3,2022-05-11,13,Watford,1,False
