name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,total_points,was_home
Rodrigo Moreno,FWD,Leeds,0,0.0,2021-12-18,0,Arsenal,0,True
Rodrigo Moreno,FWD,Leeds,0,0.0,2021-12-14,0,Manchester City,0,False
Rodrigo Moreno,FWD,Leeds,0,0.5,2021-08-14,45,Manchester United,1,False
Rodrigo Moreno,FWD,Leeds,0,0.0,2021-12-11,0,Chelsea,0,False
Rodrigo Moreno,FWD,Leeds,0,0.0,2021-08-21,0,Everton,0,True
Rodrigo Moreno,FWD,Leeds,0,5.5,2021-11-30,45,Crystal Palace,1,True
Rodrigo Moreno,FWD,Leeds,1,7.8,2021-10-31,87,Norwich,6,False
Rodrigo Moreno,FWD,Leeds,0,8.4,2021-11-07,90,Leeds United,2,True
Rodrigo Moreno,FWD,Leeds,0,3.3,2021-11-27,90,Brighton,2,False
Rodrigo Moreno,FWD,Leeds,0,0.0,2021-12-05,0,Brentford,0,True
Rodrigo Moreno,FWD,Leeds,0,0.0,2021-11-21,0,Tottenham,0,False
Rodrigo Moreno,FWD,Leeds,0,0.0,2022-01-02,0,Burnley,0,True
Rodrigo Moreno,FWD,Leeds,0,2.8,2022-01-16,25,West Ham,1,False
Rodrigo Moreno,FWD,Leeds,0,9.5,2022-03-18,90,Wolverhampton,5,False
Rodrigo Moreno,FWD,Leeds,0,5.6,2022-02-26,45,Tottenham,0,True
Rodrigo Moreno,FWD,Leeds,0,9.0,2022-02-09,90,Aston Villa,7,False
Rodrigo Moreno,FWD,Leeds,0,5.5,2022-01-22,90,Newcastle United,1,True
Rodrigo Moreno,FWD,Leeds,0,3.0,2022-02-12,90,Everton,2,False
Rodrigo Moreno,FWD,Leeds,0,3.7,2021-08-29,72,Burnley,1,False
Rodrigo Moreno,FWD,Leeds,0,6.3,2022-04-02,90,Southampton,2,True
Rodrigo Moreno,FWD,Leeds,1,6.8,2022-02-20,90,Manchester United,7,True
Rodrigo Moreno,FWD,Leeds,0,0.4,2022-02-23,45,Liverpool,1,False
Rodrigo Moreno,FWD,Leeds,3,6.9,2022-03-13,59,Norwich,8,True
Rodrigo Moreno,FWD,Leeds,0,3.5,2022-03-05,62,Leeds United,2,False
Rodrigo Moreno,FWD,Leeds,0,0.3,2022-03-10,45,Aston Villa,1,True
Rodrigo Moreno,FWD,Leeds,3,5.8,2022-04-09,90,Watford,9,False
Rodrigo Moreno,FWD,Leeds,0,3.0,2022-04-25,73,Crystal Palace,2,False
Rodrigo Moreno,FWD,Leeds,0,1.4,2022-04-30,82,Manchester City,2,True
Rodrigo Moreno,FWD,Leeds,0,8.8,2022-05-15,90,Brighton,1,True
Rodrigo Moreno,FWD,Leeds,0,0.0,2022-05-22,90,Brentford,2,False
Rodrigo Moreno,FWD,Leeds,0,3.9,2021-09-12,45,Liverpool,1,True
Rodrigo Moreno,FWD,Leeds,0,2.2,2022-05-08,30,Arsenal,1,False
Rodrigo Moreno,FWD,Leeds,0,0.3,2022-05-11,90,Chelsea,2,True
Rodrigo Moreno,FWD,Leeds,0,7.3,2021-09-17,90,Newcastle United,1,False
Rodrigo Moreno,FWD,Leeds,0,7.9,2021-09-25,90,West Ham,2,True
Rodrigo Moreno,FWD,Leeds,0,7.7,2021-10-02,90,Watford,2,True
Rodrigo Moreno,FWD,Leeds,0,0.2,2021-10-16,63,Southampton,2,False
Rodrigo Moreno,FWD,Leeds,3,16.3,2021-10-23,90,Wolverhampton,8,True
