name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,total_points,was_home
Johann Berg Gudmundsson,MID,Burnley,0,0,2,1.2,2021-08-14,90,Brighton,1,True
Johann Berg Gudmundsson,MID,Burnley,0,1,0,1.2,2021-12-12,90,West Ham,3,True
Johann Berg Gudmundsson,MID,Burnley,0,1,0,0.9,2021-12-01,71,Wolverhampton,3,False
Johann Berg Gudmundsson,MID,Burnley,0,0,1,2.7,2021-11-06,69,Chelsea,2,False
Johann Berg Gudmundsson,MID,Burnley,0,0,1,4.4,2021-10-30,90,Brentford,2,True
Johann Berg Gudmundsson,MID,Burnley,0,0,1,5.8,2021-12-04,79,Newcastle United,2,False
Johann Berg Gudmundsson,MID,Burnley,0,0,2,2.8,2021-08-21,78,Liverpool,2,False
Johann Berg Gudmundsson,MID,Burnley,0,0,3,7.1,2021-11-20,90,Crystal Palace,2,True
Johann Berg Gudmundsson,MID,Burnley,0,0,3,4.8,2021-12-30,90,Manchester United,2,False
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-02-08,0,Manchester United,0,True
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.9,2022-01-23,7,Arsenal,1,False
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-02-05,0,Watford,0,True
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-02-13,0,Liverpool,0,True
Johann Berg Gudmundsson,MID,Burnley,0,1,0,0.6,2021-08-29,62,Leicester City,3,True
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-02-19,0,Brighton,0,False
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-02-23,0,Tottenham,0,True
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-03-12,0,Brentford,0,False
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-03-05,0,Chelsea,0,True
Johann Berg Gudmundsson,MID,Burnley,0,0,1,1.5,2022-01-02,45,Leicester City,1,False
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-02-26,0,Crystal Palace,0,False
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-03-01,0,Leeds United,0,True
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-05-15,0,Tottenham,0,False
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-05-19,0,Aston Villa,0,False
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-05-22,0,Newcastle United,0,True
Johann Berg Gudmundsson,MID,Burnley,0,0,3,4.6,2021-09-13,75,Everton,5,False
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-05-07,0,Aston Villa,0,True
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-04-02,0,Manchester City,0,True
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-04-06,0,Everton,0,True
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-04-10,0,Norwich,0,False
Johann Berg Gudmundsson,MID,Burnley,0,0,1,2.7,2021-09-18,56,Arsenal,1,True
Johann Berg Gudmundsson,MID,Burnley,0,0,1,1.2,2021-09-25,45,Leeds United,0,False
Johann Berg Gudmundsson,MID,Burnley,0,0,0,3.0,2021-10-02,30,Norwich,1,True
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.1,2021-10-16,18,Manchester City,1,False
Johann Berg Gudmundsson,MID,Burnley,0,0,0,1.0,2021-10-23,12,Southampton,1,False
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-04-30,0,Watford,0,False
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-04-24,0,Wolverhampton,0,True
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-04-17,0,West Ham,0,False
Johann Berg Gudmundsson,MID,Burnley,0,0,0,0.0,2022-04-21,0,Southampton,0,True
