name,position,team,xP,assists,bonus,clean_sheets,fixture,goals_conceded,minutes,opponent_team,own_goals,penalties_saved,red_cards,saves,total_points,was_home,yellow_cards
Jason Steele,GK,Brighton,1.5,0,0,0,2,0,0,Burnley,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,-1.0,0,0,0,94,0,0,Liverpool,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,0.5,0,0,0,103,0,0,Newcastle United,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,0.5,0,0,0,111,2,90,Aston Villa,0,0,0,3,2,False,0
Jason Steele,GK,Brighton,0.5,0,0,0,123,0,0,Leicester City,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,0.0,0,0,0,136,0,0,West Ham,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,0.5,0,0,0,146,0,0,Southampton,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,0.4,0,0,0,163,0,0,Wolverhampton,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,0.0,0,0,0,182,0,0,Brentford,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,0.5,0,0,0,12,0,0,Watford,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,-1.0,0,0,0,193,0,0,Chelsea,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,0.0,0,0,0,205,0,0,Everton,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,-1.0,0,0,0,212,0,0,Crystal Palace,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,-1.0,0,0,0,232,0,0,Chelsea,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,0.0,0,0,0,227,0,0,Leeds United,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,0.0,0,0,0,250,0,0,Watford,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,0.0,0,0,0,174,0,0,Manchester United,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,0.5,0,0,0,253,0,0,Burnley,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,0.0,0,0,0,263,0,0,Aston Villa,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,0.0,0,0,0,276,0,0,Newcastle United,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,-1.5,0,0,0,283,0,0,Liverpool,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,-1.5,0,0,0,153,0,0,Tottenham,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,0.0,0,0,0,22,0,0,Everton,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,0.5,0,0,0,301,0,0,Norwich,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,-0.5,0,0,0,311,0,0,Arsenal,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,-1.5,0,0,0,327,0,0,Tottenham,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,-1.5,0,0,0,295,0,0,Manchester City,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,0.0,0,0,0,333,0,0,Southampton,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,0.0,0,0,0,350,0,0,Wolverhampton,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,-0.5,0,0,0,353,0,0,Manchester United,0,0,0,0,0,True,0
Jason Steele,GKP,Brighton,0.0,0,0,0,363,0,0,Leicester City,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,0.0,0,0,0,373,0,0,West Ham,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,0.5,0,0,0,32,0,0,Brentford,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,-0.5,0,0,0,42,0,0,Leeds United,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,0.0,0,0,0,54,0,0,Crystal Palace,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,-0.5,0,0,0,61,0,0,Arsenal,0,0,0,0,0,True,0
Jason Steele,GK,Brighton,0.5,0,0,0,78,0,0,Norwich,0,0,0,0,0,False,0
Jason Steele,GK,Brighton,-1.0,0,0,0,83,0,0,Manchester City,0,0,0,0,0,True,0
