name,position,team,xP,assists,bonus,fixture,goals_scored,ict_index,minutes,opponent_team,penalties_missed,red_cards,total_points,was_home,yellow_cards
Folarin Balogun,FWD,Arsenal,2.3,0,0,1,0,0.9,58,Brentford,0,0,1,False,0
Folarin Balogun,FWD,Arsenal,0.5,0,0,93,0,0.0,0,Leeds United,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,1.0,0,0,101,0,0.0,0,Watford,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,-0.5,0,0,114,0,0.0,0,Liverpool,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,1.0,0,0,121,0,0.0,0,Newcastle United,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,134,0,0.0,0,Manchester United,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,0.5,0,0,142,0,0.0,0,Everton,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,0.5,0,0,151,0,0.0,0,Southampton,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,161,0,0.0,0,West Ham,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,0.5,0,0,173,0,0.0,0,Leicester City,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,1.0,0,0,187,0,0.0,0,Norwich,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,1.0,0,0,18,0,1.0,11,Chelsea,0,0,1,True,0
Folarin Balogun,FWD,Arsenal,-0.5,0,0,201,0,0.0,0,Manchester City,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,221,0,0.0,0,Burnley,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,236,0,0.0,0,Wolverhampton,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,251,0,0.0,0,Brentford,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,191,0,0.0,0,Wolverhampton,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,279,0,0.0,0,Watford,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,281,0,0.0,0,Leeds United,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,261,0,0.0,0,Liverpool,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,0.2,0,0,24,0,0.0,0,Manchester City,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,291,0,0.0,0,Aston Villa,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,304,0,0.0,0,Crystal Palace,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,311,0,0.0,0,Brighton,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,326,0,0.0,0,Southampton,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,243,0,0.0,0,Chelsea,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,331,0,0.0,0,Manchester United,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,349,0,0.0,0,West Ham,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,351,0,0.0,0,Leicester City,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,218,0,0.0,0,Tottenham,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,365,0,0.0,0,Newcastle United,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,0.0,0,0,371,0,0.0,0,Everton,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,1.3,0,0,31,0,0.0,0,Norwich,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,1.2,0,0,43,0,0.0,0,Burnley,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,0.5,0,0,51,0,0.0,0,Tottenham,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,0.5,0,0,61,0,0.0,0,Brighton,0,0,0,False,0
Folarin Balogun,FWD,Arsenal,0.5,0,0,71,0,0.0,0,Crystal Palace,0,0,0,True,0
Folarin Balogun,FWD,Arsenal,0.5,0,0,81,0,0.0,0,Aston Villa,0,0,0,True,0
