name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,total_points,was_home
Philippe Coutinho Correia,MID,Aston Villa,0,0,0,8.4,2022-01-15,22,Manchester United,6,True
Philippe Coutinho Correia,MID,Aston Villa,0,1,0,3.7,2022-01-22,73,Everton,3,False
Philippe Coutinho Correia,MID,Aston Villa,3,0,3,11.5,2022-02-09,77,Leicester City,16,True
Philippe Coutinho Correia,MID,Aston Villa,0,0,1,4.7,2022-02-13,90,Newcastle United,2,False
Philippe Coutinho Correia,MID,Aston Villa,0,0,1,4.8,2022-02-19,90,Watford,2,True
Philippe Coutinho Correia,MID,Aston Villa,0,1,0,3.2,2022-02-26,85,Brighton,3,False
Philippe Coutinho Correia,MID,Aston Villa,2,1,0,12.5,2022-03-05,80,Southampton,13,True
Philippe Coutinho Correia,MID,Aston Villa,2,1,0,12.8,2022-03-10,76,Leicester City,10,False
Philippe Coutinho Correia,MID,Aston Villa,0,0,2,7.1,2022-03-13,90,West Ham,2,False
Philippe Coutinho Correia,MID,Aston Villa,0,0,1,4.6,2022-03-19,90,Arsenal,2,True
Philippe Coutinho Correia,MID,Aston Villa,0,0,2,3.2,2022-04-02,73,Wolverhampton,2,False
Philippe Coutinho Correia,MID,Aston Villa,0,0,3,7.3,2022-04-09,69,Tottenham,2,True
Philippe Coutinho Correia,MID,Aston Villa,0,1,0,3.1,2022-04-23,78,Leeds United,3,False
Philippe Coutinho Correia,MID,Aston Villa,0,1,0,11.3,2022-04-30,75,Norwich,3,True
Philippe Coutinho Correia,MID,Aston Villa,0,0,1,0.5,2022-05-07,11,Burnley,1,False
Philippe Coutinho Correia,MID,Aston Villa,0,0,2,1.0,2022-05-10,69,Liverpool,2,True
Philippe Coutinho Correia,MID,Aston Villa,0,0,1,5.5,2022-05-15,90,Crystal Palace,2,True
Philippe Coutinho Correia,MID,Aston Villa,0,0,0,3.1,2022-05-19,18,Burnley,1,True
Philippe Coutinho Correia,MID,Aston Villa,0,1,0,0.0,2022-05-22,71,Manchester City,8,False
