name,position,team,xP,assists,bonus,clean_sheets,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,own_goals,penalties_missed,red_cards,total_points,was_home,yellow_cards
Tino Livramento,DEF,Southampton,1.0,0,0,0,4,3,0,3.5,90,Everton,0,0,0,1,False,0
Tino Livramento,DEF,Southampton,7.5,0,0,1,99,0,0,2.2,90,Watford,0,0,0,6,False,0
Tino Livramento,DEF,Southampton,6.8,0,0,1,109,0,0,2.5,90,Aston Villa,0,0,0,6,True,0
Tino Livramento,DEF,Southampton,6.0,0,0,0,117,2,0,2.8,90,Norwich,0,0,0,1,False,0
Tino Livramento,DEF,Southampton,2.2,0,0,0,128,4,0,3.9,90,Liverpool,0,0,0,0,False,0
Tino Livramento,DEF,Southampton,2.0,0,0,0,139,2,0,1.8,90,Leeds United,0,0,0,1,True,0
Tino Livramento,DEF,Southampton,1.0,0,0,0,146,1,0,6.4,90,Brighton,0,0,0,2,True,0
Tino Livramento,DEF,Southampton,0.5,0,0,0,151,3,0,1.5,90,Arsenal,0,0,0,1,False,0
Tino Livramento,DEF,Southampton,0.6,0,0,0,165,2,0,2.2,90,Crystal Palace,0,0,0,0,False,1
Tino Livramento,DEF,Southampton,0.5,0,0,0,189,2,0,2.9,90,West Ham,0,0,0,1,False,0
Tino Livramento,DEF,Southampton,1.0,0,0,0,19,1,0,2.0,90,Manchester United,0,0,0,2,True,0
Tino Livramento,DEF,Southampton,0.3,0,0,0,199,0,0,0.0,0,Tottenham,0,0,0,0,True,0
Tino Livramento,DEF,Southampton,0.2,0,0,0,176,0,0,0.0,0,Brentford,0,0,0,0,True,0
Tino Livramento,DEF,Southampton,0.0,0,0,0,220,0,0,0.0,0,Wolverhampton,0,0,0,0,False,0
Tino Livramento,DEF,Southampton,0.0,0,0,0,229,0,0,0.0,0,Manchester City,0,0,0,0,True,0
Tino Livramento,DEF,Southampton,-0.5,0,0,0,240,0,0,0.0,0,Tottenham,0,0,0,0,False,0
Tino Livramento,DEF,Southampton,-0.2,0,0,0,246,0,0,0.7,19,Manchester United,0,0,0,1,False,0
Tino Livramento,DEF,Southampton,4.3,1,3,1,258,0,0,10.2,90,Everton,0,0,0,12,True,0
Tino Livramento,DEF,Southampton,5.7,0,2,1,269,0,0,5.4,90,Norwich,0,0,0,8,True,0
Tino Livramento,DEF,Southampton,7.4,0,0,0,271,4,0,6.5,90,Aston Villa,0,0,0,0,False,0
Tino Livramento,DEF,Southampton,7.4,0,0,0,209,2,0,3.3,90,Newcastle United,0,0,0,1,True,0
Tino Livramento,DEF,Southampton,4.7,0,0,0,289,0,0,0.0,0,Watford,0,0,0,0,True,0
Tino Livramento,DEF,Southampton,1.8,0,0,0,25,2,0,5.8,90,Newcastle United,0,0,0,1,False,0
Tino Livramento,DEF,Southampton,1.0,0,0,0,305,1,0,3.8,90,Leicester City,0,0,0,2,False,0
Tino Livramento,DEF,Southampton,-0.2,0,0,0,319,6,0,0.3,72,Chelsea,0,0,0,-1,True,0
Tino Livramento,DEF,Southampton,1.6,0,0,0,326,0,0,0.0,1,Arsenal,0,0,0,1,True,0
Tino Livramento,DEF,Southampton,1.6,0,0,0,292,0,0,0.2,7,Burnley,0,0,0,1,False,0
Tino Livramento,DEF,Southampton,0.8,0,0,0,333,1,0,1.4,36,Brighton,0,0,0,1,False,0
Tino Livramento,DEF,Southampton,0.0,0,0,0,346,0,0,0.0,0,Crystal Palace,0,0,0,0,True,0
Tino Livramento,DEF,Southampton,0.0,0,0,0,352,0,0,0.0,0,Brentford,0,0,0,0,False,0
Tino Livramento,DEF,Southampton,0.0,0,0,0,366,0,0,0.0,0,Liverpool,0,0,0,0,True,0
Tino Livramento,DEF,Southampton,0.0,0,0,0,377,0,0,0.0,0,Leeds United,0,0,0,0,False,0
Tino Livramento,DEF,Southampton,2.5,0,0,1,39,0,0,2.2,90,West Ham,0,0,0,6,True,0
Tino Livramento,DEF,Southampton,2.5,0,0,1,45,0,0,1.8,85,Manchester City,0,0,0,5,False,1
Tino Livramento,DEF,Southampton,4.3,0,0,0,59,1,0,5.5,90,Wolverhampton,0,0,0,2,True,0
Tino Livramento,DEF,Southampton,3.2,1,0,0,63,3,0,1.8,90,Chelsea,0,0,0,4,False,0
Tino Livramento,DEF,Southampton,4.0,0,0,1,79,0,0,3.3,90,Leicester City,0,0,0,6,True,0
Tino Livramento,DEF,Southampton,5.7,0,2,0,89,2,1,14.9,90,Burnley,0,0,0,9,True,0
