name,position,team,bonus,clean_sheets,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,total_points,was_home
Joe Hart,GK,Spurs,0,0,0,2022-02-26,0,Leicester City,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2022-01-01,0,Watford,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2021-12-19,0,Liverpool,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2022-01-19,0,Leeds United,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2022-03-20,0,West Ham,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2021-12-26,0,Crystal Palace,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2021-12-28,0,Southampton,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2021-08-22,0,Wolverhampton,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2021-08-15,0,Manchester City,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2021-08-29,0,Watford,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2021-10-30,0,Manchester United,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2021-12-05,0,Norwich,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2021-11-21,0,Leicester City,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2021-12-02,0,Brentford,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2022-02-09,0,Southampton,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2021-11-07,0,Everton,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2022-04-03,0,Newcastle United,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2022-02-13,0,Wolverhampton,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2022-04-09,0,Aston Villa,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2022-01-23,0,Chelsea,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2022-03-12,0,Manchester United,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2022-03-16,0,Brighton,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2022-03-07,0,Everton,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2022-02-19,0,Manchester City,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2022-02-23,0,Burnley,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2022-04-16,0,Brighton,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2022-05-01,0,Leeds United,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2022-04-23,0,Brentford,0,0,0,0,False
Joe Hart,GKP,Spurs,0,0,0,2022-05-15,0,Burnley,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2021-09-19,0,Chelsea,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2021-09-11,0,Crystal Palace,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2021-09-26,0,Arsenal,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2021-10-03,0,Aston Villa,0,0,0,0,True
Joe Hart,GK,Spurs,0,0,0,2021-10-17,0,Newcastle United,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2021-10-24,0,West Ham,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2022-05-22,0,Norwich,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2022-05-07,0,Liverpool,0,0,0,0,False
Joe Hart,GK,Spurs,0,0,0,2022-05-12,0,Arsenal,0,0,0,0,True
