name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,total_points,was_home
Salomón Rondón,FWD,Everton,0,0.0,2021-11-01,1,Wolverhampton,1,False
Salomón Rondón,FWD,Everton,0,0.0,2021-11-07,0,Tottenham,0,True
Salomón Rondón,FWD,Everton,0,0.1,2021-11-21,27,Manchester City,1,False
Salomón Rondón,FWD,Everton,0,10.2,2021-11-28,90,Brentford,1,False
Salomón Rondón,FWD,Everton,0,0.9,2021-12-01,58,Liverpool,1,True
Salomón Rondón,FWD,Everton,0,0.0,2021-12-06,0,Arsenal,0,True
Salomón Rondón,FWD,Everton,2,9.5,2021-12-12,32,Crystal Palace,7,False
Salomón Rondón,FWD,Everton,0,0.0,2021-12-16,0,Chelsea,0,False
Salomón Rondón,FWD,Everton,0,3.8,2022-01-02,14,Brighton,1,True
Salomón Rondón,FWD,Everton,0,2.5,2022-01-15,53,Norwich,1,False
Salomón Rondón,FWD,Everton,0,0.0,2022-01-22,0,Aston Villa,0,True
Salomón Rondón,FWD,Everton,0,0.0,2022-02-08,0,Newcastle United,0,False
Salomón Rondón,FWD,Everton,0,2.3,2022-02-12,4,Leicester City,1,True
Salomón Rondón,FWD,Everton,0,0.0,2022-02-19,0,Southampton,0,False
Salomón Rondón,FWD,Everton,0,0.0,2022-02-26,0,Manchester City,0,True
Salomón Rondón,FWD,Everton,0,0.0,2022-03-07,0,Tottenham,0,False
Salomón Rondón,FWD,Everton,0,0.0,2022-03-13,0,Wolverhampton,0,True
Salomón Rondón,FWD,Everton,0,0.0,2022-03-17,0,Newcastle United,0,True
Salomón Rondón,FWD,Everton,0,0.0,2022-04-03,0,West Ham,0,False
Salomón Rondón,FWD,Everton,0,0.1,2022-04-06,3,Burnley,1,False
Salomón Rondón,FWD,Everton,0,0.0,2022-04-09,0,Manchester United,0,True
Salomón Rondón,FWD,Everton,0,3.5,2022-04-20,24,Leeds United,4,True
Salomón Rondón,FWD,Everton,0,2.1,2022-04-24,13,Liverpool,1,False
Salomón Rondón,FWD,Everton,0,0.4,2022-05-01,10,Chelsea,1,True
Salomón Rondón,FWD,Everton,0,0.5,2022-05-08,16,Leeds United,1,False
Salomón Rondón,FWD,Everton,0,0.0,2022-05-11,0,Watford,0,False
Salomón Rondón,FWD,Everton,0,0.0,2022-05-15,3,Brentford,-2,True
Salomón Rondón,FWD,Everton,0,0.0,2022-05-19,0,Crystal Palace,0,True
Salomón Rondón,FWD,Everton,0,0.0,2022-05-22,0,Arsenal,0,False
Salomón Rondón,FWD,Everton,0,0.1,2021-09-13,9,Burnley,1,True
Salomón Rondón,FWD,Everton,0,3.9,2021-09-18,62,Aston Villa,2,False
Salomón Rondón,FWD,Everton,0,3.4,2021-09-25,90,Norwich,2,True
Salomón Rondón,FWD,Everton,0,3.5,2021-10-02,90,Manchester United,2,False
Salomón Rondón,FWD,Everton,0,4.5,2021-10-17,90,West Ham,2,True
Salomón Rondón,FWD,Everton,0,2.5,2021-10-23,90,Watford,1,True
