name,position,team,bonus,clean_sheets,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,total_points,was_home
Jonas Lössl,GK,Brentford,0,0,0,2022-01-02,0,Aston Villa,0,0,0,0,True
Jonas Lössl,GK,Brentford,0,0,0,2022-01-11,0,Southampton,0,0,0,0,False
Jonas Lössl,GK,Brentford,0,0,0,2022-01-16,0,Liverpool,0,0,0,0,False
Jonas Lössl,GK,Brentford,0,0,3,2022-01-19,90,Manchester United,0,0,2,1,True
Jonas Lössl,GK,Brentford,0,0,2,2022-01-22,90,Wolverhampton,0,0,0,1,True
Jonas Lössl,GK,Brentford,0,0,0,2022-02-09,0,Manchester City,0,0,0,0,False
Jonas Lössl,GK,Brentford,0,0,0,2022-02-12,0,Crystal Palace,0,0,0,0,True
Jonas Lössl,GK,Brentford,0,0,0,2022-02-19,0,Arsenal,0,0,0,0,False
Jonas Lössl,GK,Brentford,0,0,0,2022-02-26,0,Newcastle United,0,0,0,0,True
Jonas Lössl,GK,Brentford,0,0,0,2022-03-05,0,Norwich,0,0,0,0,False
Jonas Lössl,GK,Brentford,0,0,0,2022-03-12,0,Burnley,0,0,0,0,True
Jonas Lössl,GK,Brentford,0,0,0,2022-03-20,0,Leeds United,0,0,0,0,False
Jonas Lössl,GK,Brentford,0,0,0,2022-04-02,0,Chelsea,0,0,0,0,False
Jonas Lössl,GK,Brentford,0,0,0,2022-04-10,0,West Ham,0,0,0,0,True
Jonas Lössl,GK,Brentford,0,0,0,2022-04-16,0,Watford,0,0,0,0,False
Jonas Lössl,GK,Brentford,0,0,0,2022-04-23,0,Tottenham,0,0,0,0,True
Jonas Lössl,GK,Brentford,0,0,0,2022-05-02,0,Manchester United,0,0,0,0,False
Jonas Lössl,GK,Brentford,0,0,0,2022-05-07,0,Southampton,0,0,0,0,True
Jonas Lössl,GKP,Brentford,0,0,0,2022-05-15,0,Everton,0,0,0,0,False
Jonas Lössl,GK,Brentford,0,0,0,2022-05-22,0,Leicester City,0,0,0,0,True
