name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,total_points,was_home
Paul Pogba,MID,Man Utd,0,0,0,0.0,2021-12-27,0,Newcastle United,0,False
Paul Pogba,MID,Man Utd,0,0,0,0.0,2021-12-02,0,Arsenal,0,True
Paul Pogba,MID,Man Utd,0,0,0,0.0,2021-11-06,0,Manchester City,0,True
Paul Pogba,MID,Man Utd,2,0,1,15.0,2021-08-14,74,Leicester City,16,True
Paul Pogba,MID,Man Utd,0,0,0,0.0,2021-12-11,0,Norwich,0,False
Paul Pogba,MID,Man Utd,0,0,0,0.0,2021-10-30,0,Tottenham,0,False
Paul Pogba,MID,Man Utd,0,0,0,0.0,2021-12-05,0,Crystal Palace,0,True
Paul Pogba,MID,Man Utd,0,0,0,0.0,2021-11-20,0,Watford,0,False
Paul Pogba,MID,Man Utd,0,0,1,11.1,2021-08-22,90,Southampton,4,False
Paul Pogba,MID,Man Utd,0,0,0,0.0,2021-11-28,0,Chelsea,0,False
Paul Pogba,MID,Man Utd,0,0,0,0.0,2021-12-30,0,Burnley,0,True
Paul Pogba,MID,Man Utd,0,0,0,0.0,2022-01-03,0,Wolverhampton,0,True
Paul Pogba,MID,Man Utd,0,0,0,0.0,2022-01-15,0,Aston Villa,0,False
Paul Pogba,MID,Man Utd,0,0,0,0.0,2022-01-19,0,Brentford,0,False
Paul Pogba,MID,Man Utd,0,0,0,0.0,2022-01-22,0,West Ham,0,True
Paul Pogba,MID,Man Utd,2,0,1,8.5,2022-02-08,90,Burnley,9,False
Paul Pogba,MID,Man Utd,0,0,1,5.3,2022-02-12,90,Southampton,1,True
Paul Pogba,MID,Man Utd,0,0,0,4.2,2022-02-15,17,Brighton,4,True
Paul Pogba,MID,Man Utd,0,0,2,5.0,2022-02-20,66,Leicester City,2,False
Paul Pogba,MID,Man Utd,0,1,0,4.9,2021-08-29,90,Wolverhampton,2,False
Paul Pogba,MID,Man Utd,0,1,0,7.5,2022-02-26,90,Watford,3,True
Paul Pogba,MID,Man Utd,0,0,2,0.9,2022-03-12,90,Tottenham,1,True
Paul Pogba,MID,Man Utd,0,0,2,3.2,2022-03-06,63,Manchester City,5,False
Paul Pogba,MID,Man Utd,0,0,1,3.0,2022-04-02,74,Leeds United,2,True
Paul Pogba,MID,Man Utd,0,0,0,2.1,2022-04-09,54,Everton,0,False
Paul Pogba,MID,Man Utd,0,0,2,2.5,2022-04-16,73,Norwich,2,True
Paul Pogba,MID,Man Utd,0,0,1,0.0,2022-04-19,9,Liverpool,1,False
Paul Pogba,MID,Man Utd,0,0,0,0.0,2022-04-23,0,Arsenal,0,False
Paul Pogba,MID,Man Utd,0,0,0,0.0,2022-04-28,0,Chelsea,0,True
Paul Pogba,MID,Man Utd,0,0,0,0.0,2022-05-02,0,Brentford,0,True
Paul Pogba,MID,Man Utd,0,0,0,0.0,2022-05-22,0,Crystal Palace,0,False
Paul Pogba,MID,Man Utd,0,0,0,0.0,2022-05-07,0,Brighton,0,False
Paul Pogba,MID,Man Utd,2,0,1,9.4,2021-09-11,90,Newcastle United,9,True
Paul Pogba,MID,Man Utd,0,0,1,5.4,2021-09-19,72,West Ham,2,False
Paul Pogba,MID,Man Utd,0,0,1,7.8,2021-09-25,90,Aston Villa,2,True
Paul Pogba,MID,Man Utd,0,0,0,2.3,2021-10-02,20,Everton,1,True
Paul Pogba,MID,Man Utd,0,0,4,3.3,2021-10-16,90,Leeds United,1,False
Paul Pogba,MID,Man Utd,0,0,1,0.0,2021-10-24,15,Liverpool,-2,True
