name,position,team,xP,assists,bonus,clean_sheets,fixture,goals_conceded,minutes,opponent_team,own_goals,penalties_saved,red_cards,saves,total_points,was_home,yellow_cards
Robert Sánchez,GK,Brighton,2.3,0,0,0,2,1,90,Burnley,0,0,0,2,2,False,0
Robert Sánchez,GK,Brighton,2.7,0,0,0,94,2,90,Liverpool,0,0,0,1,1,False,0
Robert Sánchez,GK,Brighton,3.0,0,0,0,103,1,90,Newcastle United,0,0,1,1,-1,True,0
Robert Sánchez,GK,Brighton,0.0,0,0,0,111,0,0,Aston Villa,0,0,0,0,0,False,0
Robert Sánchez,GK,Brighton,2.0,0,1,1,123,0,90,Leicester City,0,0,0,4,8,True,0
Robert Sánchez,GK,Brighton,2.3,0,1,0,136,1,90,West Ham,0,0,0,4,4,False,0
Robert Sánchez,GK,Brighton,3.8,0,0,0,146,1,90,Southampton,0,0,0,3,3,False,0
Robert Sánchez,GK,Brighton,3.6,0,0,0,163,1,90,Wolverhampton,0,0,0,4,3,True,0
Robert Sánchez,GK,Brighton,4.8,0,2,1,182,0,90,Brentford,0,0,0,5,9,True,0
Robert Sánchez,GK,Brighton,4.5,0,0,1,12,0,90,Watford,0,0,0,1,6,True,0
Robert Sánchez,GK,Brighton,3.4,0,0,0,193,1,90,Chelsea,0,0,0,4,3,False,0
Robert Sánchez,GK,Brighton,4.2,0,0,0,205,2,90,Everton,0,0,0,4,2,False,0
Robert Sánchez,GK,Brighton,6.2,0,0,0,212,1,90,Crystal Palace,0,0,0,1,2,True,0
Robert Sánchez,GK,Brighton,6.2,0,0,0,232,1,90,Chelsea,0,0,0,2,2,True,0
Robert Sánchez,GK,Brighton,2.7,0,1,0,227,1,90,Leeds United,0,0,0,4,4,False,0
Robert Sánchez,GK,Brighton,7.0,0,0,1,250,0,90,Watford,0,0,0,1,6,False,0
Robert Sánchez,GK,Brighton,7.0,0,0,0,174,2,90,Manchester United,0,0,0,5,2,False,0
Robert Sánchez,GK,Brighton,3.5,0,0,0,253,3,90,Burnley,0,0,0,1,1,True,0
Robert Sánchez,GK,Brighton,2.5,0,0,0,263,2,90,Aston Villa,0,0,0,2,1,True,0
Robert Sánchez,GK,Brighton,2.2,0,0,0,276,2,90,Newcastle United,0,0,0,2,1,False,0
Robert Sánchez,GK,Brighton,1.7,0,0,0,283,2,90,Liverpool,0,0,0,7,3,True,0
Robert Sánchez,GK,Brighton,1.7,0,0,0,153,2,90,Tottenham,0,0,0,5,2,True,0
Robert Sánchez,GK,Brighton,3.3,0,0,0,22,2,90,Everton,0,0,0,3,2,True,0
Robert Sánchez,GK,Brighton,4.2,0,0,1,301,0,90,Norwich,0,0,0,0,6,True,0
Robert Sánchez,GK,Brighton,2.8,0,0,0,311,1,90,Arsenal,0,0,0,3,2,False,1
Robert Sánchez,GK,Brighton,6.1,0,0,1,327,0,90,Tottenham,0,0,0,0,6,False,0
Robert Sánchez,GK,Brighton,6.1,0,0,0,295,3,90,Manchester City,0,0,0,2,1,False,0
Robert Sánchez,GK,Brighton,3.4,0,0,0,333,2,90,Southampton,0,0,0,3,2,True,0
Robert Sánchez,GK,Brighton,3.4,0,0,1,350,0,90,Wolverhampton,0,0,0,1,6,False,0
Robert Sánchez,GK,Brighton,3.9,0,0,1,353,0,90,Manchester United,0,0,0,5,7,True,0
Robert Sánchez,GKP,Brighton,3.8,0,0,0,363,1,90,Leicester City,0,0,0,3,3,False,0
Robert Sánchez,GK,Brighton,4.0,0,0,0,373,1,90,West Ham,0,0,0,1,2,True,0
Robert Sánchez,GK,Brighton,5.2,0,0,1,32,0,90,Brentford,0,0,0,1,6,False,0
Robert Sánchez,GK,Brighton,3.3,0,0,0,42,1,90,Leeds United,0,0,0,2,1,True,1
Robert Sánchez,GK,Brighton,3.0,0,1,0,54,1,90,Crystal Palace,0,0,0,2,2,False,1
Robert Sánchez,GK,Brighton,3.3,0,0,1,61,0,90,Arsenal,0,0,0,2,6,True,0
Robert Sánchez,GK,Brighton,4.3,0,0,1,78,0,90,Norwich,0,0,0,2,6,False,0
Robert Sánchez,GK,Brighton,3.5,0,2,0,83,4,90,Manchester City,0,0,0,8,4,True,0
