name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,total_points,was_home
Kyle Walker,DEF,Man City,0,0,0,0.0,2021-12-19,0,Newcastle United,0,0,False
Kyle Walker,DEF,Man City,0,0,0,0.0,2021-12-14,0,Leicester City,0,0,True
Kyle Walker,DEF,Man City,0,0,0,0.0,2021-12-26,0,Leeds United,0,0,True
Kyle Walker,DEF,Man City,0,0,0,0.0,2021-08-15,0,Tottenham,0,0,False
Kyle Walker,DEF,Man City,0,1,0,3.0,2021-08-21,90,Norwich,0,6,True
Kyle Walker,DEF,Man City,0,0,0,0.0,2021-12-11,0,Wolverhampton,0,0,True
Kyle Walker,DEF,Man City,0,0,1,2.5,2021-11-28,90,West Ham,0,2,True
Kyle Walker,DEF,Man City,0,0,0,0.0,2021-12-01,0,Aston Villa,0,0,False
Kyle Walker,DEF,Man City,2,1,0,4.1,2021-11-06,90,Manchester United,0,8,False
Kyle Walker,DEF,Man City,1,1,0,4.1,2021-11-21,90,Everton,0,7,True
Kyle Walker,DEF,Man City,0,0,2,1.4,2021-10-30,90,Crystal Palace,0,1,True
Kyle Walker,DEF,Man City,0,0,1,4.5,2021-12-04,90,Watford,0,5,False
Kyle Walker,DEF,Man City,0,0,0,0.0,2021-12-29,0,Brentford,0,0,False
Kyle Walker,DEF,Man City,0,0,0,0.0,2022-01-01,0,Arsenal,0,0,False
Kyle Walker,DEF,Man City,0,1,0,1.5,2022-01-15,90,Chelsea,0,6,True
Kyle Walker,DEF,Man City,0,0,0,0.0,2022-02-09,0,Brentford,0,0,True
Kyle Walker,DEF,Man City,0,0,0,0.6,2021-08-28,45,Arsenal,0,1,True
Kyle Walker,DEF,Man City,0,0,0,0.0,2022-02-26,0,Everton,0,0,False
Kyle Walker,DEF,Man City,1,1,0,7.7,2022-02-12,90,Norwich,0,10,False
Kyle Walker,DEF,Man City,0,0,1,5.1,2022-01-22,90,Southampton,0,2,False
Kyle Walker,DEF,Man City,0,0,3,4.5,2022-02-19,90,Tottenham,0,1,True
Kyle Walker,DEF,Man City,0,1,0,2.5,2022-04-02,90,Burnley,0,6,False
Kyle Walker,DEF,Man City,0,1,0,2.6,2022-03-14,90,Crystal Palace,0,6,False
Kyle Walker,DEF,Man City,0,0,1,3.1,2022-03-06,90,Manchester United,0,2,True
Kyle Walker,DEF,Man City,0,0,2,1.3,2022-04-10,90,Liverpool,0,1,True
Kyle Walker,DEF,Man City,0,0,0,0.0,2022-05-15,0,West Ham,0,0,False
Kyle Walker,DEF,Man City,0,0,0,0.0,2022-04-30,0,Leicester City,0,0,False
Kyle Walker,DEF,Man City,0,0,0,0.0,2022-04-20,0,Brighton,0,0,True
Kyle Walker,DEF,Man City,0,1,0,5.8,2021-09-11,90,Leeds United,0,6,False
Kyle Walker,DEF,Man City,0,0,0,0.0,2022-04-23,0,Watford,0,0,True
Kyle Walker,DEF,Man City,0,0,0,0.0,2022-05-22,0,Aston Villa,0,0,True
Kyle Walker,DEF,Man City,0,1,0,3.7,2021-09-18,90,Southampton,0,6,True
Kyle Walker,DEF,Man City,1,1,0,2.8,2021-09-25,90,Chelsea,0,7,False
Kyle Walker,DEF,Man City,0,0,2,0.7,2021-10-03,90,Liverpool,0,1,False
Kyle Walker,DEF,Man City,0,0,0,0.0,2021-10-16,0,Burnley,0,0,True
Kyle Walker,DEF,Man City,0,0,0,0.0,2022-05-08,0,Newcastle United,0,0,True
Kyle Walker,DEF,Man City,0,0,0,0.0,2022-05-11,0,Wolverhampton,0,0,False
Kyle Walker,DEF,Man City,0,0,1,1.7,2021-10-23,90,Brighton,0,1,False
