name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,own_goals,total_points,was_home
Aymeric Laporte,DEF,Man City,0,1,0,2.5,2021-12-19,90,Newcastle United,0,6,False
Aymeric Laporte,DEF,Man City,0,0,3,7.1,2021-12-26,90,Leeds United,0,10,True
Aymeric Laporte,DEF,Man City,0,1,0,5.5,2021-12-14,90,Leicester City,0,6,True
Aymeric Laporte,DEF,Man City,0,0,0,0.0,2021-08-15,0,Tottenham,0,0,False
Aymeric Laporte,DEF,Man City,1,1,0,3.5,2021-12-11,90,Wolverhampton,0,7,True
Aymeric Laporte,DEF,Man City,0,0,0,0.0,2021-12-01,0,Aston Villa,0,0,False
Aymeric Laporte,DEF,Man City,2,1,0,8.1,2021-08-21,90,Norwich,0,14,True
Aymeric Laporte,DEF,Man City,0,0,0,0.0,2021-11-06,0,Manchester United,0,0,False
Aymeric Laporte,DEF,Man City,0,0,2,0.9,2021-10-30,46,Crystal Palace,0,-3,True
Aymeric Laporte,DEF,Man City,0,0,1,8.8,2021-12-04,90,Watford,0,2,False
Aymeric Laporte,DEF,Man City,0,0,1,1.8,2021-11-28,90,West Ham,0,1,True
Aymeric Laporte,DEF,Man City,0,1,0,2.0,2021-11-21,75,Everton,0,5,True
Aymeric Laporte,DEF,Man City,0,1,0,1.3,2021-12-29,90,Brentford,0,6,False
Aymeric Laporte,DEF,Man City,0,1,0,1.9,2022-02-09,90,Brentford,0,6,True
Aymeric Laporte,DEF,Man City,2,0,1,8.5,2022-01-22,90,Southampton,0,10,False
Aymeric Laporte,DEF,Man City,0,0,0,0.0,2022-02-12,0,Norwich,0,0,False
Aymeric Laporte,DEF,Man City,0,1,0,7.7,2021-08-28,90,Arsenal,0,6,True
Aymeric Laporte,DEF,Man City,0,0,3,5.5,2022-02-19,90,Tottenham,0,1,True
Aymeric Laporte,DEF,Man City,0,1,0,3.8,2022-03-14,90,Crystal Palace,0,6,False
Aymeric Laporte,DEF,Man City,0,0,1,1.4,2022-03-06,90,Manchester United,0,2,True
Aymeric Laporte,DEF,Man City,1,0,1,2.9,2022-01-01,90,Arsenal,0,6,False
Aymeric Laporte,DEF,Man City,1,1,0,1.6,2022-01-15,90,Chelsea,0,7,True
Aymeric Laporte,DEF,Man City,1,1,0,3.5,2022-02-26,90,Everton,0,7,False
Aymeric Laporte,DEF,Man City,0,1,0,2.5,2022-04-02,90,Burnley,0,6,False
Aymeric Laporte,DEF,Man City,0,0,2,1.6,2022-04-10,90,Liverpool,0,1,True
Aymeric Laporte,DEF,Man City,0,0,2,0.0,2022-05-22,90,Aston Villa,0,1,True
Aymeric Laporte,DEF,Man City,0,1,0,4.7,2021-09-11,90,Leeds United,0,5,False
Aymeric Laporte,DEF,Man City,0,1,0,7.9,2022-05-08,86,Newcastle United,0,12,True
Aymeric Laporte,DEF,Man City,0,0,1,1.6,2022-05-11,60,Wolverhampton,0,2,False
Aymeric Laporte,DEF,Man City,0,0,2,4.4,2022-05-15,90,West Ham,0,1,False
Aymeric Laporte,DEF,Man City,0,1,0,2.8,2022-04-30,90,Leicester City,0,6,False
Aymeric Laporte,DEF,Man City,0,1,0,2.3,2022-04-20,90,Brighton,0,6,True
Aymeric Laporte,DEF,Man City,0,0,1,2.7,2022-04-23,62,Watford,0,2,True
Aymeric Laporte,DEF,Man City,0,0,0,0.0,2021-09-18,0,Southampton,0,0,True
Aymeric Laporte,DEF,Man City,0,1,0,2.2,2021-09-25,90,Chelsea,0,5,False
Aymeric Laporte,DEF,Man City,0,0,2,1.9,2021-10-03,90,Liverpool,0,1,False
Aymeric Laporte,DEF,Man City,0,1,0,2.2,2021-10-16,71,Burnley,0,5,True
Aymeric Laporte,DEF,Man City,0,0,1,1.6,2021-10-23,90,Brighton,0,2,False
