name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,total_points,was_home
Hee-Chan Hwang,FWD,Wolves,0,0.0,2021-12-19,0,Chelsea,0,True
Hee-Chan Hwang,FWD,Wolves,0,0.0,2021-12-15,15,Brighton,1,False
Hee-Chan Hwang,FWD,Wolves,0,0.0,2021-12-11,23,Manchester City,1,False
Hee-Chan Hwang,FWD,Wolves,0,6.4,2021-12-01,84,Burnley,1,True
Hee-Chan Hwang,FWD,Wolves,0,2.2,2021-11-01,90,Everton,2,True
Hee-Chan Hwang,FWD,Wolves,0,3.9,2021-12-04,78,Liverpool,2,True
Hee-Chan Hwang,FWD,Wolves,0,2.8,2021-11-06,89,Crystal Palace,2,False
Hee-Chan Hwang,FWD,Wolves,0,3.5,2021-11-20,86,West Ham,2,True
Hee-Chan Hwang,FWD,Wolves,0,2.4,2021-11-27,90,Norwich,2,False
Hee-Chan Hwang,FWD,Wolves,0,0.0,2022-01-03,0,Manchester United,0,False
Hee-Chan Hwang,FWD,Wolves,0,0.0,2022-01-15,0,Southampton,0,True
Hee-Chan Hwang,FWD,Wolves,0,4.7,2022-02-27,80,West Ham,2,False
Hee-Chan Hwang,FWD,Wolves,0,0.0,2022-01-22,0,Brentford,0,False
Hee-Chan Hwang,FWD,Wolves,0,0.0,2022-02-10,0,Arsenal,0,True
Hee-Chan Hwang,FWD,Wolves,0,1.0,2022-03-18,12,Leicester City,1,True
Hee-Chan Hwang,FWD,Wolves,0,0.2,2022-02-13,9,Tottenham,1,False
Hee-Chan Hwang,FWD,Wolves,0,1.0,2022-02-20,32,Leeds United,1,True
Hee-Chan Hwang,FWD,Wolves,3,9.6,2022-02-24,74,Arsenal,9,False
Hee-Chan Hwang,FWD,Wolves,0,0.8,2022-04-02,22,Aston Villa,1,True
Hee-Chan Hwang,FWD,Wolves,0,0.0,2022-03-13,15,Everton,1,False
Hee-Chan Hwang,FWD,Wolves,0,2.3,2022-03-05,90,Crystal Palace,2,True
Hee-Chan Hwang,FWD,Wolves,0,5.3,2022-03-10,60,Watford,5,True
Hee-Chan Hwang,FWD,Wolves,0,2.9,2022-04-08,77,Newcastle United,2,False
Hee-Chan Hwang,FWD,Wolves,0,7.2,2022-04-24,90,Burnley,2,False
Hee-Chan Hwang,FWD,Wolves,0,5.6,2022-04-30,90,Brighton,1,True
Hee-Chan Hwang,FWD,Wolves,0,0.0,2022-05-22,68,Liverpool,2,False
Hee-Chan Hwang,FWD,Wolves,3,7.6,2021-09-11,27,Watford,8,False
Hee-Chan Hwang,FWD,Wolves,0,2.3,2022-05-07,20,Chelsea,1,False
Hee-Chan Hwang,FWD,Wolves,0,0.2,2022-05-11,18,Manchester City,1,True
Hee-Chan Hwang,FWD,Wolves,0,3.2,2021-09-18,45,Brentford,1,True
Hee-Chan Hwang,FWD,Wolves,0,2.6,2021-09-26,87,Southampton,2,False
Hee-Chan Hwang,FWD,Wolves,3,13.3,2021-10-02,90,Newcastle United,13,True
Hee-Chan Hwang,FWD,Wolves,0,1.9,2021-10-16,87,Aston Villa,2,False
Hee-Chan Hwang,FWD,Wolves,2,5.9,2021-10-23,90,Leicester City,8,False
Hee-Chan Hwang,FWD,Wolves,0,1.7,2022-05-15,73,Norwich,2,True
