name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Marcus Rashford,Man Utd,Brighton,2022-08-07,True,FWL,90,0.0,0.4,0.0,0.02,2,3.0,1.0,5.0,0,0,2,False,0.0,0.0,90.0,4.0,2.0,2.81,2.43,0.05,2,Man Utd,False,Everton,2.77
Marcus Rashford,Man Utd,Everton,2022-10-09,False,AML,90,0.0,0.07,0.0,0.35,2,1.0,1.0,3.5,0,0,1,False,2.0,0.4,90.0,4.0,2.0,2.81,2.43,0.05,1,Man Utd,True,Newcastle United,-2.6
Marcus Rashford,Man Utd,Newcastle United,2022-10-16,True,Sub,18,0.0,0.63,0.0,0.39,1,2.0,1.0,2.0,0,0,0,False,2.0,0.23,66.0,4.0,2.0,2.81,2.43,0.05,3,Man Utd,True,Tottenham,-2.03
Marcus Rashford,Man Utd,Tottenham,2022-10-19,True,FW,90,0.0,0.71,0.0,0.0,3,4.0,0.0,9.1,0,1,0,False,1.67,0.37,72.0,4.0,2.0,2.81,2.43,0.05,3,Man Utd,False,Chelsea,0.54
Marcus Rashford,Man Utd,Chelsea,2022-10-22,False,FW,80,0.0,0.42,0.0,0.0,3,3.0,0.0,5.7,0,1,0,False,2.0,0.45,73.6,4.0,2.0,2.81,2.43,0.05,8,Man Utd,True,West Ham,-1.53
Marcus Rashford,Man Utd,West Ham,2022-10-30,True,AML,90,1.0,0.74,0.0,0.09,8,5.0,1.0,13.3,0,1,0,False,2.2,0.45,76.33,4.0,2.0,2.81,2.43,0.05,2,Man Utd,False,Aston Villa,-0.56
Marcus Rashford,Man Utd,Aston Villa,2022-11-06,False,AMR,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,0,0,3,False,3.4,0.51,78.29,4.0,2.0,2.81,2.43,0.05,2,Man Utd,False,Fulham,
Marcus Rashford,Man Utd,Fulham,2022-11-13,False,AML,90,0.0,0.52,0.0,0.0,2,2.0,0.0,0.0,0,0,1,True,3.4,0.5,79.75,4.0,2.0,2.81,2.43,0.05,14,Man Utd,True,Nottingham Forest,
Marcus Rashford,Man Utd,Nottingham Forest,2022-12-27,True,AML,85,1.0,0.27,1.0,0.12,14,3.0,1.0,12.6,3,1,0,True,3.6,0.48,80.33,4.0,2.0,2.81,2.43,0.05,5,Man Utd,False,Wolverhampton,0.62
Marcus Rashford,Man Utd,Wolverhampton,2022-12-31,False,Sub,45,1.0,0.8,0.0,0.0,5,2.0,0.0,10.4,0,0,0,False,5.8,0.59,76.8,4.0,2.0,2.81,2.43,0.05,8,Man Utd,True,Bournemouth,
