name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points
Harry Wilson,Fulham,West Ham,2022-10-09,False,Sub,13,0,0.0,0,0.0,1,0,0,0.1,0,0,1,False,0.0,0.0,13.0,0,0,0,0,0,1
Harry Wilson,Fulham,Bournemouth,2022-10-15,True,Sub,28,0,0.03,0,0.0,1,1,0,1.1,0,0,0,False,1.0,0.0,20.5,0,0,0,0,0,1
Harry Wilson,Fulham,Aston Villa,2022-10-20,True,Sub,5,0,0.0,0,0.0,1,0,0,0.1,0,0,0,False,1.0,0.01,15.33,0,0,0,0,0,2
Harry Wilson,Fulham,Leicester City,2022-10-23,False,AMR,62,0,0.14,0,0.0,2,2,0,3.2,0,0,1,False,1.0,0.01,27.0,0,0,0,0,0,1
Harry Wilson,Fulham,Everton,2022-10-29,True,Sub,23,0,0.02,0,0.09,1,1,1,1.4,0,0,0,False,1.25,0.04,26.2,0,0,0,0,0,5
Harry Wilson,Fulham,Manchester City,2022-11-05,False,AMR,75,0,0.05,0,0.0,5,1,0,0.8,0,0,1,False,1.2,0.04,34.33,0,0,0,0,0,1
Harry Wilson,Fulham,Manchester United,2022-11-13,True,AMR,58,0,0.04,0,0.0,1,1,0,0.0,0,0,1,True,2.0,0.05,37.71,0,0,0,0,0,1
Harry Wilson,Fulham,Crystal Palace,2022-12-26,False,Sub,9,0,0.05,0,0.1,1,1,1,2.2,0,0,0,False,2.0,0.05,34.12,0,0,0,0,0,1
Harry Wilson,Fulham,Leeds United,2023-01-03,False,Sub,24,0,0.55,0,0.0,1,1,0,1.0,0,0,0,False,2.0,0.06,33.0,0,0,0,0,0,1
Harry Wilson,Fulham,Chelsea,2023-01-12,True,Sub,22,0,0.0,0,0.0,1,0,0,0.4,0,0,0,False,1.8,0.14,31.9,0,0,0,0,0,1
Harry Wilson,Fulham,Newcastle United,2023-01-15,False,Sub,1,0,0.0,0,0.0,1,0,0,0.2,0,0,0,False,1.8,0.14,29.09,0,0,0,0,0,1
Harry Wilson,Fulham,Tottenham,2023-01-23,True,Sub,3,0,0.0,0,0.0,1,0,0,0.2,0,0,0,False,1.0,0.13,26.92,0,0,0,0,0,0
Harry Wilson,Fulham,Chelsea,2023-02-03,False,Sub,15,0,0.0,0,0.0,0,0,0,0.8,0,0,0,False,1.0,0.12,26.0,0,0,0,0,0,1
Harry Wilson,Fulham,Nottingham Forest,2023-02-11,True,Sub,5,0,0.0,0,0.0,1,0,0,0.3,0,0,0,False,0.8,0.11,24.5,0,0,0,0,0,3
Harry Wilson,Fulham,Brighton,2023-02-18,False,AMR,61,0,0.0,0,0.0,3,0,0,0.8,0,1,0,True,0.8,0.0,26.93,0,0,0,0,0,1
Harry Wilson,Fulham,Wolverhampton,2023-02-24,True,Sub,7,0,0.0,0,0.0,1,0,0,0.5,0,0,0,False,1.2,0.0,25.69,0,0,0,0,0,1
Harry Wilson,Fulham,Brentford,2023-03-06,False,Sub,15,0,0.0,0,0.0,1,0,0,0.3,0,0,1,False,1.2,0.0,25.06,0,0,0,0,0,1
Harry Wilson,Fulham,Arsenal,2023-03-12,True,Sub,14,0,0.08,0,0.0,1,1,0,0.5,0,0,0,False,1.2,0.0,24.44,0,0,0,0,0,1
Harry Wilson,Fulham,Bournemouth,2023-04-01,False,Sub,2,0,0.0,0,0.0,1,0,0,0.1,0,0,0,False,1.4,0.02,23.26,0,0,0,0,0,1
Harry Wilson,Fulham,West Ham,2023-04-08,True,Sub,5,0,0.0,0,0.03,1,0,1,2.2,0,0,0,False,1.4,0.02,22.35,0,0,0,0,0,7
Harry Wilson,Fulham,Everton,2023-04-15,False,AMR,90,1,0.55,0,0.0,7,4,0,7.5,0,0,1,True,1.0,0.02,25.57,0,0,0,0,0,9
Harry Wilson,Fulham,Leicester City,2023-04-22,True,AMR,85,1,0.15,0,0.03,9,2,1,8.6,2,0,1,True,2.2,0.13,28.27,0,0,0,0,0,1
Harry Wilson,Fulham,Aston Villa,2023-04-25,False,AMR,16,0,0.0,0,0.0,1,0,0,0.0,0,0,0,True,3.8,0.16,27.74,0,0,0,0,0,5
Harry Wilson,Fulham,Manchester City,2023-04-30,True,AMR,75,0,0.0,1,0.36,5,0,1,3.3,0,0,2,True,3.8,0.14,29.71,0,0,0,0,0,2
Harry Wilson,Fulham,Liverpool,2023-05-03,False,AMR,70,0,0.04,0,0.07,2,1,2,3.2,0,0,1,True,4.6,0.34,31.32,0,0,0,0,0,5
Harry Wilson,Fulham,Leeds United,2023-05-08,True,AMR,81,0,0.0,1,0.26,5,0,3,6.5,0,0,2,True,4.8,0.35,33.23,0,0,0,0,0,6
Harry Wilson,Fulham,Southampton,2023-05-13,False,AMR,77,0,0.0,1,0.45,6,0,2,6.6,0,1,0,True,4.4,0.44,34.85,0,0,0,0,0,5
Harry Wilson,Fulham,Crystal Palace,2023-05-20,True,AMR,79,0,0.1,0,0.0,5,1,0,2.8,0,0,1,True,3.8,0.61,36.43,0,0,0,0,0,2
Harry Wilson,Fulham,Manchester United,2023-05-28,False,AMR,65,0,0.05,0,0.0,2,1,0,0.0,0,0,2,True,4.6,0.63,37.41,0,0,0,0,0,3
