name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Mauro Bandeira,Arsenal,Nottingham Forest,False,0,0,0.0,0,0,0,False,0.0,Arsenal,True,Wolverhampton,-2.6
Mauro Bandeira,Arsenal,Wolverhampton,True,0,0,0.0,0,0,0,False,,Wolves,False,Manchester United,0.79
