name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Kasey McAteer,Leicester,Fulham,True,0,0,0.0,0,0,0,False,0.0,Leicester,False,Nottingham Forest,
Kasey McAteer,Leicester,Nottingham Forest,False,0,0,0.0,0,0,0,False,0.0,Leicester,True,Brighton,-0.74
Kasey McAteer,Leicester,Brighton,True,0,0,0.0,0,0,0,False,0.0,Leicester,False,Aston Villa,-0.96
Kasey McAteer,Leicester,Aston Villa,False,0,0,0.0,0,0,0,False,0.0,Leicester,True,Tottenham,3.95
Kasey McAteer,Leicester,Tottenham,True,0,0,0.0,0,0,0,False,0.0,Leicester,False,Manchester United,0.11
Kasey McAteer,Leicester,Manchester United,False,0,0,0.0,0,0,0,False,0.0,Leicester,True,Arsenal,-1.32
Kasey McAteer,Leicester,Arsenal,True,0,0,0.0,0,0,0,False,0.0,Leicester,False,Southampton,-3.27
Kasey McAteer,Leicester,Southampton,False,0,0,0.0,0,0,0,False,0.0,Leicester,True,Chelsea,-2.98
Kasey McAteer,Leicester,Chelsea,True,0,0,0.0,0,0,0,False,0.0,Leicester,False,Brentford,-4.9
Kasey McAteer,Leicester,Brentford,False,0,0,0.0,0,0,0,False,0.0,Leicester,False,Crystal Palace,2.07
Kasey McAteer,Leicester,Crystal Palace,False,0,0,0.0,0,0,0,False,0.0,Leicester,True,Aston Villa,-0.34
Kasey McAteer,Leicester,Aston Villa,True,0,0,0.0,0,0,0,False,0.0,Leicester,True,Bournemouth,
Kasey McAteer,Leicester,Bournemouth,True,0,0,0.0,0,0,0,False,0.0,Leicester,False,Manchester City,1.46
Kasey McAteer,Leicester,Manchester City,False,0,0,0.0,0,0,0,False,0.0,Leicester,True,Wolverhampton,-1.75
Kasey McAteer,Leicester,Wolverhampton,True,0,0,0.0,0,0,0,False,0.0,Leicester,False,Leicester City,1.46
Kasey McAteer,Leicester,Leicester City,False,0,0,0.0,0,0,0,False,0.0,Leicester,True,Everton,4.46
Kasey McAteer,Leicester,Everton,True,0,0,0.0,0,0,0,False,0.0,Leicester,False,Fulham,
Kasey McAteer,Leicester,Fulham,False,0,0,0.0,0,0,0,False,0.0,Leicester,True,Liverpool,-0.21
Kasey McAteer,Leicester,Liverpool,True,0,0,0.0,0,0,0,False,0.0,Leicester,False,Newcastle United,1.84
Kasey McAteer,Leicester,Newcastle United,False,0,0,0.0,0,0,0,False,0.0,Leicester,True,West Ham,-0.48
Kasey McAteer,Leicester,West Ham,True,0,0,0.0,0,0,0,False,,Wolves,False,Manchester United,-0.63
