name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Fábio Ferreira Vieira,Arsenal,Crystal Palace,False,0,0,0.0,0,0,0,False,1.0,Arsenal,True,Liverpool,-1.54
Fábio Ferreira Vieira,Arsenal,Liverpool,True,1,1,0.5,0,0,0,False,1.0,Arsenal,False,Leicester City,-2.6
Fábio Ferreira Vieira,Arsenal,Leicester City,False,17,1,1.6,0,0,0,False,1.0,Arsenal,False,Southampton,0.93
Fábio Ferreira Vieira,Arsenal,Southampton,False,7,1,0.3,0,0,0,False,1.0,Arsenal,True,Nottingham Forest,-1.27
Fábio Ferreira Vieira,Arsenal,Nottingham Forest,True,27,1,2.3,0,0,0,False,0.0,Arsenal,False,Chelsea,-1.61
Fábio Ferreira Vieira,Arsenal,Chelsea,False,0,0,0.0,0,0,0,False,6.0,Arsenal,False,Wolverhampton,-2.55
Fábio Ferreira Vieira,Arsenal,Wolverhampton,False,75,6,4.2,0,1,0,False,1.0,Arsenal,True,West Ham,0.89
Fábio Ferreira Vieira,Arsenal,West Ham,True,2,1,0.1,0,0,0,False,0.0,Arsenal,False,Brighton,-4.25
Fábio Ferreira Vieira,Arsenal,Brighton,False,0,0,0.0,0,0,0,False,0.0,Arsenal,True,Newcastle United,-1.68
Fábio Ferreira Vieira,Arsenal,Newcastle United,True,0,0,0.0,0,0,0,False,0.0,Arsenal,True,Leeds United,-3.9
Fábio Ferreira Vieira,Arsenal,Leeds United,True,0,0,0.0,0,0,0,False,1.0,Arsenal,False,Tottenham,0.46
Fábio Ferreira Vieira,Arsenal,Tottenham,False,1,1,0.0,0,0,0,False,0.0,Arsenal,True,Manchester United,-2.18
Fábio Ferreira Vieira,Arsenal,Manchester United,True,0,0,0.0,0,0,0,False,1.0,Arsenal,False,Everton,1.49
Fábio Ferreira Vieira,Arsenal,Everton,False,13,1,0.3,0,0,0,False,1.0,Arsenal,True,Brentford,-0.02
Fábio Ferreira Vieira,Arsenal,Brentford,True,9,1,0.2,0,0,0,False,1.0,Arsenal,True,Manchester City,0.69
Fábio Ferreira Vieira,Arsenal,Manchester City,True,7,1,0.3,0,0,0,False,4.0,Arsenal,False,Aston Villa,-0.83
Fábio Ferreira Vieira,Arsenal,Aston Villa,False,11,4,3.1,0,0,0,False,0.0,Arsenal,False,Leeds United,-1.65
Fábio Ferreira Vieira,Arsenal,Leeds United,False,0,0,0.0,0,0,0,False,1.0,Arsenal,True,Everton,-2.68
Fábio Ferreira Vieira,Arsenal,Everton,True,18,1,1.7,0,0,0,False,2.0,Arsenal,True,Bournemouth,-1.36
Fábio Ferreira Vieira,Arsenal,Bournemouth,True,83,2,6.6,0,0,2,True,1.0,Arsenal,False,Fulham,-0.97
Fábio Ferreira Vieira,Arsenal,Fulham,False,13,1,2.0,0,0,0,False,0.0,Arsenal,True,Crystal Palace,-2.84
Fábio Ferreira Vieira,Arsenal,Crystal Palace,True,0,0,0.0,0,0,0,False,1.0,Arsenal,True,Leicester City,-3.26
Fábio Ferreira Vieira,Arsenal,Leicester City,True,4,1,0.4,0,0,0,False,0.0,Arsenal,False,Bournemouth,-5.08
Fábio Ferreira Vieira,Arsenal,Bournemouth,False,0,0,0.0,0,0,0,False,0.0,Arsenal,False,Liverpool,0.87
Fábio Ferreira Vieira,Arsenal,Liverpool,False,0,0,0.0,0,0,0,False,1.0,Arsenal,False,West Ham,-2.34
Fábio Ferreira Vieira,Arsenal,West Ham,False,5,1,1.6,0,0,0,False,1.0,Arsenal,True,Southampton,-0.96
Fábio Ferreira Vieira,Arsenal,Southampton,True,56,1,2.9,0,0,2,True,0.0,Arsenal,False,Manchester City,2.4
Fábio Ferreira Vieira,Arsenal,Manchester City,False,0,0,0.0,0,0,0,False,0.0,Arsenal,True,Chelsea,-2.12
Fábio Ferreira Vieira,Arsenal,Chelsea,True,0,0,0.0,0,0,0,False,0.0,Arsenal,False,Newcastle United,0.23
Fábio Ferreira Vieira,Arsenal,Newcastle United,False,0,0,0.0,0,0,0,False,0.0,Arsenal,True,Brighton,0.58
Fábio Ferreira Vieira,Arsenal,Brighton,True,0,0,0.0,0,0,0,False,1.0,Arsenal,False,Nottingham Forest,2.82
Fábio Ferreira Vieira,Arsenal,Nottingham Forest,False,20,1,1.8,0,0,0,False,1.0,Arsenal,True,Wolverhampton,-2.6
Fábio Ferreira Vieira,Arsenal,Wolverhampton,True,15,1,0.0,0,0,0,False,0.0,Arsenal,True,Fulham,0.88
Fábio Ferreira Vieira,Arsenal,Fulham,True,0,0,0.0,0,0,0,False,0.0,Arsenal,True,Aston Villa,-0.49
Fábio Ferreira Vieira,Arsenal,Aston Villa,True,0,0,0.0,0,0,0,False,1.0,Arsenal,False,Manchester United,1.17
Fábio Ferreira Vieira,Arsenal,Manchester United,False,16,1,1.6,0,0,1,False,10.0,Arsenal,False,Brentford,-0.6
Fábio Ferreira Vieira,Arsenal,Brentford,False,90,10,6.0,2,1,0,False,1.0,Arsenal,True,Tottenham,-1.3
Fábio Ferreira Vieira,Arsenal,Tottenham,True,10,1,3.9,0,0,0,False,,Nott'm Forest,False,Arsenal,1.87
