name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Ivan Neves Abreu Cavaleiro,Fulham,Liverpool,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,West Ham,1.35
Ivan Neves Abreu Cavaleiro,Fulham,West Ham,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Bournemouth,-0.74
Ivan Neves Abreu Cavaleiro,Fulham,Bournemouth,True,0,0,0.0,0,0,0,False,0.0,Fulham,True,Aston Villa,-0.63
Ivan Neves Abreu Cavaleiro,Fulham,Aston Villa,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Leicester City,-2.72
Ivan Neves Abreu Cavaleiro,Fulham,Leicester City,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Everton,0.79
Ivan Neves Abreu Cavaleiro,Fulham,Everton,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Manchester City,1.5
Ivan Neves Abreu Cavaleiro,Fulham,Manchester City,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Manchester United,1.36
Ivan Neves Abreu Cavaleiro,Fulham,Manchester United,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Crystal Palace,-1.05
Ivan Neves Abreu Cavaleiro,Fulham,Crystal Palace,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Southampton,-0.67
Ivan Neves Abreu Cavaleiro,Fulham,Southampton,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Leeds United,-2.01
Ivan Neves Abreu Cavaleiro,Fulham,Leeds United,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Chelsea,1.22
Ivan Neves Abreu Cavaleiro,Fulham,Chelsea,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Wolverhampton,0.28
Ivan Neves Abreu Cavaleiro,Fulham,Wolverhampton,False,0,0,0.0,0,0,0,False,0.0,Fulham,False,Newcastle United,1.64
Ivan Neves Abreu Cavaleiro,Fulham,Newcastle United,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Tottenham,-0.89
Ivan Neves Abreu Cavaleiro,Fulham,Tottenham,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Chelsea,0.71
Ivan Neves Abreu Cavaleiro,Fulham,Chelsea,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Nottingham Forest,-3.99
Ivan Neves Abreu Cavaleiro,Fulham,Nottingham Forest,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Brighton,-0.55
Ivan Neves Abreu Cavaleiro,Fulham,Brighton,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Wolverhampton,0.52
Ivan Neves Abreu Cavaleiro,Fulham,Wolverhampton,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Brentford,0.07
Ivan Neves Abreu Cavaleiro,Fulham,Brentford,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Arsenal,0.97
Ivan Neves Abreu Cavaleiro,Fulham,Arsenal,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Bournemouth,3.99
Ivan Neves Abreu Cavaleiro,Fulham,Bournemouth,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Brentford,1.56
Ivan Neves Abreu Cavaleiro,Fulham,Brentford,True,0,0,0.0,0,0,0,False,0.0,Fulham,True,West Ham,-0.79
Ivan Neves Abreu Cavaleiro,Fulham,West Ham,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Everton,-0.93
Ivan Neves Abreu Cavaleiro,Fulham,Everton,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Leicester City,-2.18
Ivan Neves Abreu Cavaleiro,Fulham,Leicester City,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Aston Villa,2.57
Ivan Neves Abreu Cavaleiro,Fulham,Aston Villa,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Manchester City,2.68
Ivan Neves Abreu Cavaleiro,Fulham,Manchester City,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Liverpool,0.28
Ivan Neves Abreu Cavaleiro,Fulham,Liverpool,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Leeds United,0.24
Ivan Neves Abreu Cavaleiro,Fulham,Leeds United,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Southampton,-1.16
Ivan Neves Abreu Cavaleiro,Fulham,Southampton,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Crystal Palace,0.27
Ivan Neves Abreu Cavaleiro,Fulham,Crystal Palace,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Manchester United,0.13
Ivan Neves Abreu Cavaleiro,Fulham,Manchester United,False,0,0,0.0,0,0,0,False,0.0,Fulham,False,Arsenal,-0.68
Ivan Neves Abreu Cavaleiro,Fulham,Arsenal,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Brighton,-2.78
Ivan Neves Abreu Cavaleiro,Fulham,Brighton,True,0,0,0.0,0,0,0,False,0.0,Fulham,False,Tottenham,1.6
Ivan Neves Abreu Cavaleiro,Fulham,Tottenham,False,0,0,0.0,0,0,0,False,0.0,Fulham,False,Nottingham Forest,1.93
Ivan Neves Abreu Cavaleiro,Fulham,Nottingham Forest,False,0,0,0.0,0,0,0,False,0.0,Fulham,True,Newcastle United,3.13
Ivan Neves Abreu Cavaleiro,Fulham,Newcastle United,True,0,0,0.0,0,0,0,False,,Nott'm Forest,False,Arsenal,1.87
