name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Andrey Nascimento dos Santos,Chelsea,Liverpool,False,0,0,0.0,0,0,0,False,0.0,Chelsea,True,Fulham,,-0.3
Andrey Nascimento dos Santos,Chelsea,Fulham,True,0,0,0.0,0,0,0,False,0.0,Chelsea,False,West Ham,4.47,0.14
Andrey Nascimento dos Santos,Chelsea,West Ham,False,0,0,0.0,0,0,0,False,0.0,Chelsea,True,Southampton,-1.13,-0.38
Andrey Nascimento dos Santos,Chelsea,Southampton,True,0,0,0.0,0,0,0,False,0.0,Chelsea,False,Tottenham,-1.69,-0.03
Andrey Nascimento dos Santos,Chelsea,Tottenham,False,0,0,0.0,0,0,0,False,0.0,Chelsea,True,Leicester City,1.12,0.83
Andrey Nascimento dos Santos,Chelsea,Leicester City,True,0,0,0.0,0,0,0,False,0.0,Chelsea,False,Leeds United,-3.0,-0.8
Andrey Nascimento dos Santos,Chelsea,Leeds United,False,0,0,0.0,0,0,0,False,0.0,Chelsea,True,Everton,1.01,0.34
Andrey Nascimento dos Santos,Chelsea,Everton,True,0,0,0.0,0,0,0,False,0.0,Chelsea,True,Aston Villa,-2.49,0.55
Andrey Nascimento dos Santos,Chelsea,Aston Villa,True,0,0,0.0,0,0,0,False,0.0,Chelsea,True,Liverpool,2.38,-0.53
Andrey Nascimento dos Santos,Chelsea,Liverpool,True,0,0,0.0,0,0,0,False,0.0,Chelsea,False,Wolverhampton,0.77,-0.46
Andrey Nascimento dos Santos,Chelsea,Wolverhampton,False,0,0,0.0,0,0,0,False,0.0,Chelsea,True,Brighton,0.37,-0.71
Andrey Nascimento dos Santos,Chelsea,Brighton,True,0,0,0.0,0,0,0,False,0.0,Chelsea,True,Brentford,6.68,0.69
Andrey Nascimento dos Santos,Chelsea,Brentford,True,0,0,0.0,0,0,0,False,0.0,Chelsea,False,Arsenal,-1.77,-0.0
Andrey Nascimento dos Santos,Chelsea,Arsenal,False,0,0,0.0,0,0,0,False,0.0,Chelsea,False,Bournemouth,,0.19
Andrey Nascimento dos Santos,Chelsea,Bournemouth,False,0,0,0.0,0,0,0,False,0.0,Chelsea,True,Nottingham Forest,,
Andrey Nascimento dos Santos,Chelsea,Nottingham Forest,True,0,0,0.0,0,0,0,False,0.0,Chelsea,False,Manchester City,0.4,-1.26
Andrey Nascimento dos Santos,Chelsea,Manchester City,False,0,0,0.0,0,0,0,False,0.0,Chelsea,False,Manchester United,0.01,-0.1
Andrey Nascimento dos Santos,Chelsea,Manchester United,False,0,0,0.0,0,0,0,False,0.0,Chelsea,True,Newcastle United,-0.51,0.73
Andrey Nascimento dos Santos,Chelsea,Newcastle United,True,0,0,0.0,0,0,0,False,,Nott'm Forest,False,Arsenal,,-0.0
