name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Pedro Lomba Neto,Wolves,Leicester City,False,90,2,9.8,0,0,2,False,0.0,Wolves,False,Chelsea,-1.63
Pedro Lomba Neto,Wolves,Chelsea,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Nottingham Forest,
Pedro Lomba Neto,Wolves,Nottingham Forest,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Crystal Palace,3.09
Pedro Lomba Neto,Wolves,Crystal Palace,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Leeds United,-1.61
Pedro Lomba Neto,Wolves,Leeds United,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Brentford,-1.55
Pedro Lomba Neto,Wolves,Brentford,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Brighton,5.19
Pedro Lomba Neto,Wolves,Brighton,True,0,0,0.0,0,0,0,False,0.0,Wolves,True,Arsenal,1.59
Pedro Lomba Neto,Wolves,Arsenal,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Everton,-1.05
Pedro Lomba Neto,Wolves,Everton,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Manchester United,-0.79
Pedro Lomba Neto,Wolves,Manchester United,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Aston Villa,-2.09
Pedro Lomba Neto,Wolves,Aston Villa,False,0,0,0.0,0,0,0,False,3.0,Wolves,True,Fulham,
Pedro Lomba Neto,Wolves,Fulham,True,78,3,3.5,0,1,0,False,0.0,Wolves,True,West Ham,-2.69
Pedro Lomba Neto,Wolves,West Ham,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Manchester City,-0.09
Pedro Lomba Neto,Wolves,Manchester City,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Liverpool,0.37
Pedro Lomba Neto,Wolves,Liverpool,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Southampton,-2.8
Pedro Lomba Neto,Wolves,Southampton,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Bournemouth,
Pedro Lomba Neto,Wolves,Bournemouth,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Fulham,
Pedro Lomba Neto,Wolves,Fulham,False,0,0,0.0,0,0,0,False,0.0,Wolves,False,Liverpool,0.91
Pedro Lomba Neto,Wolves,Liverpool,False,0,0,0.0,0,0,0,False,1.0,Wolves,True,Tottenham,2.05
Pedro Lomba Neto,Wolves,Tottenham,True,45,1,0.7,0,0,0,True,1.0,Wolves,False,Newcastle United,3.01
Pedro Lomba Neto,Wolves,Newcastle United,False,45,1,2.2,0,0,1,False,1.0,Wolves,True,Leicester City,
Pedro Lomba Neto,Wolves,Leicester City,True,45,1,4.0,0,0,1,True,4.0,Wolves,False,Nottingham Forest,
Pedro Lomba Neto,Wolves,Nottingham Forest,False,9,4,0.4,0,0,0,False,2.0,Wolves,False,Tottenham,1.18
Pedro Lomba Neto,Wolves,Tottenham,False,70,2,5.5,0,0,1,False,0.0,Wolves,True,Chelsea,-1.03
Pedro Lomba Neto,Wolves,Chelsea,True,0,0,0.0,0,0,0,False,1.0,Wolves,True,Brentford,3.23
Pedro Lomba Neto,Wolves,Brentford,True,1,1,0.0,0,0,0,False,1.0,Wolves,False,Leeds United,0.21
Pedro Lomba Neto,Wolves,Leeds United,False,6,1,1.0,0,0,0,False,4.0,Wolves,True,Crystal Palace,
Pedro Lomba Neto,Wolves,Crystal Palace,True,1,4,0.4,0,0,0,False,2.0,Wolves,False,Brighton,-1.83
Pedro Lomba Neto,Wolves,Brighton,False,82,2,4.7,0,0,6,True,3.0,Wolves,True,Aston Villa,
Pedro Lomba Neto,Wolves,Aston Villa,True,83,3,3.1,0,1,0,True,1.0,Wolves,False,Manchester United,-0.63
Pedro Lomba Neto,Wolves,Manchester United,False,45,1,2.4,0,0,1,True,0.0,Wolves,True,Everton,-1.31
Pedro Lomba Neto,Wolves,Everton,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Arsenal,
Pedro Lomba Neto,Wolves,Arsenal,False,0,0,0.0,0,0,0,False,2.0,Wolves,True,Newcastle United,-1.69
Pedro Lomba Neto,Wolves,Newcastle United,True,83,2,4.7,0,1,0,False,3.0,Wolves,False,Bournemouth,1.23
Pedro Lomba Neto,Wolves,Bournemouth,False,90,3,9.8,0,1,0,False,3.0,Wolves,True,Southampton,-2.12
Pedro Lomba Neto,Wolves,Southampton,True,81,3,5.4,0,1,0,False,2.0,Wolves,True,Manchester City,3.44
Pedro Lomba Neto,Wolves,Manchester City,True,85,2,2.1,0,0,3,False,1.0,Wolves,False,West Ham,4.15
Pedro Lomba Neto,Wolves,West Ham,False,23,1,1.2,0,0,0,False,,Wolves,False,Manchester United,-0.63
