name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Lucas Rodrigues Moura da Silva,Spurs,Southampton,True,4,1,0.2,0,0,0,False,0.0,Spurs,False,Brighton,-2.68,-0.39
Lucas Rodrigues Moura da Silva,Spurs,Brighton,False,0,0,0.0,0,0,0,False,1.0,Spurs,True,Everton,-5.21,0.34
Lucas Rodrigues Moura da Silva,Spurs,Everton,True,1,1,0.0,0,0,0,False,1.0,Spurs,False,Manchester United,4.8,-0.1
Lucas Rodrigues Moura da Silva,Spurs,Manchester United,False,8,1,0.4,0,0,0,False,1.0,Spurs,True,Newcastle United,-3.79,0.73
Lucas Rodrigues Moura da Silva,Spurs,Newcastle United,True,24,1,0.9,0,0,0,False,1.0,Spurs,False,Bournemouth,,0.19
Lucas Rodrigues Moura da Silva,Spurs,Bournemouth,False,45,1,4.6,0,0,1,False,1.0,Spurs,True,Liverpool,0.32,-0.53
Lucas Rodrigues Moura da Silva,Spurs,Liverpool,True,2,1,0.6,0,0,0,False,1.0,Spurs,True,Leicester City,-0.2,0.83
Lucas Rodrigues Moura da Silva,Spurs,Leicester City,True,1,1,0.0,0,0,0,False,0.0,Spurs,False,Brentford,1.4,-0.55
Lucas Rodrigues Moura da Silva,Spurs,Brentford,False,0,0,0.0,0,0,0,False,0.0,Spurs,True,Aston Villa,-0.44,0.55
Lucas Rodrigues Moura da Silva,Spurs,Aston Villa,True,0,0,0.0,0,0,0,False,0.0,Spurs,False,Crystal Palace,7.24,0.13
Lucas Rodrigues Moura da Silva,Spurs,Crystal Palace,False,0,0,0.0,0,0,0,False,1.0,Spurs,False,Chelsea,3.74,-0.72
Lucas Rodrigues Moura da Silva,Spurs,Chelsea,False,8,1,0.2,0,0,0,False,0.0,Spurs,True,Arsenal,-2.81,0.36
Lucas Rodrigues Moura da Silva,Spurs,Arsenal,True,0,0,0.0,0,0,0,False,0.0,Spurs,False,Manchester City,-2.29,-1.26
Lucas Rodrigues Moura da Silva,Spurs,Manchester City,False,0,0,0.0,0,0,0,False,0.0,Spurs,False,Fulham,,1.37
