name,position,team,bonus,clean_sheets,goals_conceded,ict_index,kickoff_time,minutes,opponent_team,starts,total_points,was_home
Marcus Rashford,MID,Man Utd,0,0,1,1.1,2024-08-24,64,Brighton,1,2,False
Marcus Rashford,MID,Man Utd,0,1,0,2.7,2024-08-16,90,Fulham,1,3,True
Marcus Rashford,MID,Man Utd,0,0,3,5.4,2024-09-01,90,Liverpool,1,2,True
Marcus Rashford,MID,Man Utd,0,0,0,0.4,2024-09-21,29,Crystal Palace,0,1,False
Marcus Rashford,MID,Man Utd,0,1,0,4.6,2024-10-06,63,Aston Villa,1,2,False
Marcus Rashford,MID,Man Utd,0,1,0,9.5,2024-09-14,72,Southampton,1,8,False
Marcus Rashford,MID,Man Utd,0,0,0,2.9,2024-10-27,58,West Ham,1,1,False
Marcus Rashford,MID,Man Utd,0,0,2,4.2,2024-09-29,72,Tottenham,1,2,True
Marcus Rashford,MID,Man Utd,1,0,1,11.0,2024-10-19,90,Brentford,1,6,True
