name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Nicolas Jackson,FWD,Chelsea,3,15.8,2024-09-21,63,West Ham,736895,1,16,False
Nicolas Jackson,FWD,Chelsea,0,5.2,2024-10-06,80,Nottingham Forest,1965734,1,2,True
Nicolas Jackson,FWD,Chelsea,1,11.5,2024-08-25,67,Wolverhampton,241660,1,10,False
Nicolas Jackson,FWD,Chelsea,0,7.5,2024-09-28,78,Brighton,1599514,1,5,True
Nicolas Jackson,FWD,Chelsea,0,5.1,2024-08-18,65,Manchester City,159569,1,2,True
Nicolas Jackson,FWD,Chelsea,0,5.4,2024-11-03,90,Manchester United,1903560,1,1,False
Nicolas Jackson,FWD,Chelsea,0,4.3,2024-11-10,87,Arsenal,1779425,1,2,True
Nicolas Jackson,FWD,Chelsea,0,3.3,2024-09-14,78,Bournemouth,704148,1,1,False
Nicolas Jackson,FWD,Chelsea,1,5.5,2024-10-20,90,Liverpool,1775715,1,6,False
Nicolas Jackson,FWD,Chelsea,3,8.6,2024-10-27,77,Newcastle United,1817515,1,9,True
Nicolas Jackson,FWD,Chelsea,1,11.5,2024-09-01,90,Crystal Palace,536935,1,6,True
