name,position,team,bonus,ict_index,kickoff_time,minutes,opponent_team,selected,starts,total_points,was_home
Armando Broja,FWD,Everton,0,0.0,2024-11-02,0,Southampton,5647,0,0,False
Armando Broja,FWD,Everton,0,0.0,2024-09-14,0,Aston Villa,9620,0,0,False
Armando Broja,FWD,Chelsea,0,0.0,2024-08-25,0,Wolverhampton,9793,0,0,False
Armando Broja,FWD,Everton,0,0.0,2024-10-05,0,Newcastle United,6337,0,0,True
Armando Broja,FWD,Everton,0,0.0,2024-10-19,0,Ipswich Town,6048,0,0,False
Armando Broja,FWD,Chelsea,0,0.0,2024-08-18,0,Manchester City,7671,0,0,True
Armando Broja,FWD,Everton,0,0.0,2024-09-21,0,Leicester City,7933,0,0,False
Armando Broja,FWD,Everton,0,0.0,2024-09-28,0,Crystal Palace,6950,0,0,True
Armando Broja,FWD,Everton,0,0.0,2024-10-26,0,Fulham,5849,0,0,True
Armando Broja,FWD,Everton,0,0.0,2024-08-31,0,Bournemouth,9731,0,0,True
Armando Broja,FWD,Everton,0,0.0,2024-11-09,0,West Ham,5661,0,0,False
